出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","109","2","2801","彰銀","-53349900.00","-286207.00","29681697.00","-810177.00","-24764587.00","135910391.00","111145804.00"
"114/10/29","109","2","2812","台中銀","19369405.00","-11378187.00","-2656738.00","-13311.00","5321169.00","38341346.00","43662515.00"
"114/10/29","109","2","2820","華票","-1387003.00","-8175.00","1398242.00","--","3064.00","244731.00","247795.00"
"114/10/29","109","2","2834","臺企銀","-42792880.00","31591634.00","9908039.00","-11581.00","-1304788.00","31395561.00","30090773.00"
"114/10/29","109","2","2836","高雄銀","-627011.00","-164921.00","107739.00","731.00","-683462.00","15381332.00","14697870.00"
"114/10/29","109","2","2838","聯邦銀","12370826.00","-973040.00","1455801.00","-173674.00","12679913.00","64277348.00","76957261.00"
"114/10/29","109","2","2845","遠東銀","-11370863.00","-660976.00","54425.00","-174235.00","-12151649.00","34212120.00","22060471.00"
"114/10/29","109","2","2849","安泰銀","79649.00","-1061281.00","-64627.00","-1236.00","-1047495.00","3822055.00","2774560.00"
"114/10/29","109","2","2897","王道銀行","3250650.00","-840454.00","-1707606.00","-150549.00","552041.00","17550472.00","18102513.00"
"114/10/29","109","2","5876","上海商銀","-8766944.00","-1536754.00","7774524.00","-1208962.00","-3738136.00","208424935.00","204686799.00"
