代號,名稱,年度,季別,營業活動之淨現金流入（流出）
1309,台達化,108,Q4,1602732.0
1309,台達化,108,Q2,1401663.0
1309,台達化,108,Q1,630665.0
1309,台達化,108,Q3,1103360.0
1310,台苯,108,Q1,74559.0
1310,台苯,108,Q2,277984.0
1310,台苯,108,Q3,748322.0
1310,台苯,108,Q4,947800.0
1312,國喬,108,Q4,3056778.0
1312,國喬,108,Q3,2919454.0
1312,國喬,108,Q1,688568.0
1312,國喬,108,Q2,1334199.0
1313,聯成,108,Q1,620847.0
1313,聯成,108,Q3,3072839.0
1313,聯成,108,Q2,1959828.0
1313,聯成,108,Q4,4387768.0
1314,中石化,108,Q1,1529452.0
1314,中石化,108,Q3,1618439.0
1314,中石化,108,Q2,1880503.0
1314,中石化,108,Q4,8403512.0
1315,達新,108,Q2,66575.0
1315,達新,108,Q4,291393.0
1315,達新,108,Q3,351956.0
1315,達新,108,Q1,36931.0
1316,上曜,108,Q4,2484463.0
1316,上曜,108,Q2,577427.0
1316,上曜,108,Q3,944734.0
1316,上曜,108,Q1,348759.0
1319,東陽,108,Q2,2272337.0
1319,東陽,108,Q1,1175408.0
1319,東陽,108,Q4,5227191.0
1319,東陽,108,Q3,3394269.0
1321,大洋,108,Q4,364954.0
1321,大洋,108,Q1,18232.0
1321,大洋,108,Q3,187876.0
1321,大洋,108,Q2,174408.0
1323,永裕,108,Q3,504354.0
1323,永裕,108,Q2,290584.0
1323,永裕,108,Q4,740712.0
1323,永裕,108,Q1,220576.0
1324,地球,108,Q4,10806.0
1324,地球,108,Q3,21295.0
1324,地球,108,Q1,1085.0
1324,地球,108,Q2,9441.0
1325,恆大,108,Q1,42307.0
1325,恆大,108,Q4,100846.0
1325,恆大,108,Q2,83618.0
1325,恆大,108,Q3,77322.0
1326,台化,108,Q3,48261399.0
1326,台化,108,Q1,10461189.0
1326,台化,108,Q4,59012528.0
1326,台化,108,Q2,19538017.0
1336,台翰,108,Q3,346113.0
1336,台翰,108,Q2,275788.0
1336,台翰,108,Q4,386388.0
1336,台翰,108,Q1,152975.0
1337,再生-KY,108,Q3,288309.0
1337,再生-KY,108,Q1,143856.0
1337,再生-KY,108,Q2,264188.0
1337,再生-KY,108,Q4,340717.0
1338,廣華-KY,108,Q3,921780.0
1338,廣華-KY,108,Q4,1135382.0
1338,廣華-KY,108,Q1,333118.0
1338,廣華-KY,108,Q2,515425.0
1339,昭輝,108,Q4,643939.0
1339,昭輝,108,Q2,386763.0
1339,昭輝,108,Q1,304881.0
1339,昭輝,108,Q3,627475.0
1340,勝悅-KY,108,Q4,194433.0
1340,勝悅-KY,108,Q3,55800.0
1340,勝悅-KY,108,Q1,46122.0
1340,勝悅-KY,108,Q2,117076.0
1341,富林-KY,108,Q3,194351.0
1341,富林-KY,108,Q4,303291.0
1341,富林-KY,108,Q2,106272.0
1341,富林-KY,108,Q1,2448.0
1342,八貫,108,Q4,359017.0
1342,八貫,108,Q2,179095.0
1402,遠東新,108,Q2,16261702.0
1402,遠東新,108,Q3,35292977.0
1402,遠東新,108,Q4,43949286.0
1402,遠東新,108,Q1,9346357.0
1409,新纖,108,Q2,1402750.0
1409,新纖,108,Q3,1539274.0
1409,新纖,108,Q4,4765184.0
1409,新纖,108,Q1,3207744.0
1410,南染,108,Q1,38342.0
1410,南染,108,Q4,95409.0
1410,南染,108,Q3,77573.0
1410,南染,108,Q2,46956.0
1413,宏洲,108,Q1,49626.0
1413,宏洲,108,Q2,142196.0
1413,宏洲,108,Q4,5974.0
1413,宏洲,108,Q3,156374.0
1414,東和,108,Q2,31898.0
1414,東和,108,Q3,35158.0
1414,東和,108,Q4,21499.0
1414,東和,108,Q1,47017.0
1416,廣豐,108,Q4,93777.0
1416,廣豐,108,Q2,12929.0
1416,廣豐,108,Q3,65621.0
1416,廣豐,108,Q1,57274.0
1417,嘉裕,108,Q2,57457.0
1417,嘉裕,108,Q1,14573.0
1417,嘉裕,108,Q4,36836.0
1417,嘉裕,108,Q3,93648.0
1418,東華,108,Q1,88212.0
1418,東華,108,Q3,193853.0
1418,東華,108,Q4,267777.0
1418,東華,108,Q2,141617.0
1419,新紡,108,Q2,63535.0
1419,新紡,108,Q3,73466.0
1419,新紡,108,Q4,144898.0
1419,新紡,108,Q1,18118.0
1423,利華,108,Q3,158.0
1423,利華,108,Q4,89851.0
1423,利華,108,Q1,24241.0
1423,利華,108,Q2,27216.0
1432,大魯閣,108,Q4,288657.0
1432,大魯閣,108,Q2,162101.0
1432,大魯閣,108,Q1,116401.0
1432,大魯閣,108,Q3,256669.0
1434,福懋,108,Q4,6751805.0
1434,福懋,108,Q3,5084344.0
1434,福懋,108,Q1,94308.0
1434,福懋,108,Q2,1483887.0
1435,中福,108,Q1,2049.0
1435,中福,108,Q3,3634.0
1435,中福,108,Q4,3196.0
1435,中福,108,Q2,2906.0
1436,華友聯,108,Q3,1804574.0
1436,華友聯,108,Q2,808652.0
1436,華友聯,108,Q1,47372.0
1436,華友聯,108,Q4,1180358.0
1437,勤益控,108,Q1,82716.0
1437,勤益控,108,Q2,119059.0
1437,勤益控,108,Q3,213140.0
1437,勤益控,108,Q4,276887.0
1438,三地開發,108,Q2,7397.0
1438,三地開發,108,Q4,10677.0
1438,三地開發,108,Q1,778.0
1438,三地開發,108,Q3,1527.0
1439,雋揚,108,Q1,8918.0
1439,雋揚,108,Q2,110738.0
1439,雋揚,108,Q3,108118.0
1439,雋揚,108,Q4,159512.0
1440,南紡,108,Q2,134177.0
1440,南紡,108,Q1,36488.0
1440,南紡,108,Q3,1276491.0
1440,南紡,108,Q4,2346985.0
1441,大東,108,Q2,155952.0
1441,大東,108,Q1,72656.0
1441,大東,108,Q3,203857.0
1441,大東,108,Q4,242005.0
1442,名軒,108,Q4,1981420.0
1442,名軒,108,Q3,1309028.0
1442,名軒,108,Q2,596411.0
1442,名軒,108,Q1,264692.0
1443,立益物流,108,Q1,15848.0
1443,立益物流,108,Q4,141990.0
1443,立益物流,108,Q3,149783.0
1443,立益物流,108,Q2,25615.0
1444,力麗,108,Q2,611355.0
1444,力麗,108,Q1,243347.0
1444,力麗,108,Q3,871990.0
1444,力麗,108,Q4,1102189.0
1445,大宇,108,Q1,56366.0
1445,大宇,108,Q3,82877.0
1445,大宇,108,Q4,110845.0
1445,大宇,108,Q2,67459.0
1446,宏和,108,Q2,134018.0
1446,宏和,108,Q1,73467.0
1446,宏和,108,Q4,502549.0
1446,宏和,108,Q3,213025.0
1447,力鵬,108,Q2,223821.0
1447,力鵬,108,Q1,64167.0
1447,力鵬,108,Q4,469442.0
1447,力鵬,108,Q3,258487.0
1449,佳和,108,Q3,81529.0
1449,佳和,108,Q2,132199.0
1449,佳和,108,Q4,7714.0
1449,佳和,108,Q1,62106.0
1451,年興,108,Q2,135247.0
1451,年興,108,Q4,11725.0
1451,年興,108,Q1,69762.0
1451,年興,108,Q3,47688.0
1452,宏益,108,Q4,130582.0
1452,宏益,108,Q1,16476.0
1452,宏益,108,Q3,141933.0
1452,宏益,108,Q2,30348.0
1453,大將,108,Q4,15649.0
1453,大將,108,Q1,1216.0
1453,大將,108,Q3,20072.0
1453,大將,108,Q2,23610.0
1454,台富,108,Q4,130177.0
1454,台富,108,Q3,78859.0
1454,台富,108,Q1,14014.0
1454,台富,108,Q2,54906.0
1455,集盛,108,Q2,437270.0
1455,集盛,108,Q1,303689.0
1455,集盛,108,Q4,1749437.0
1455,集盛,108,Q3,904254.0
1456,怡華,108,Q2,31290.0
1456,怡華,108,Q1,22752.0
1456,怡華,108,Q3,12723.0
1456,怡華,108,Q4,61597.0
1457,宜進,108,Q2,15788.0
1457,宜進,108,Q1,397.0
1457,宜進,108,Q4,58932.0
1457,宜進,108,Q3,249432.0
1459,聯發,108,Q1,180803.0
1459,聯發,108,Q4,532792.0
1459,聯發,108,Q2,425492.0
1459,聯發,108,Q3,365467.0
