代號,名稱,年度,季別,除息交易日,收益分配基準日,收益分配發放日,配息,公告年度
0050,元大台灣50,106,M1,107年01月29日,107年02月04日,107年03月13日,2.2,107
0050,元大台灣50,106,M2,106年02月08日,106年02月14日,106年03月14日,1.7,106
0050,元大台灣50,106,M7,107年07月23日,107年07月29日,107年08月27日,0.7,107
0050,元大台灣50,106,M7,106年07月31日,106年08月06日,106年08月31日,0.7,106
0051,元大中型100,106,M11,106年11月23日,106年11月29日,106年12月27日,0.85,106
0051,元大中型100,106,M11,107年11月22日,107年11月28日,107年12月25日,1.0,107
0052,富邦科技,106,M5,106年05月03日,106年05月09日,106年06月08日,1.41,106
0052,富邦科技,106,M5,107年05月03日,107年05月09日,107年06月06日,1.72,107
0053,元大電子,106,M11,106年11月23日,106年11月29日,106年12月27日,1.15,106
0053,元大電子,106,M11,107年11月22日,107年11月28日,107年12月25日,1.1,107
0054,元大台商50,106,M11,106年11月23日,106年11月29日,106年12月27日,0.75,106
0054,元大台商50,106,M11,107年11月22日,107年11月28日,107年12月25日,0.75,107
0055,元大MSCI金融,106,M11,106年11月23日,106年11月29日,106年12月27日,0.5,106
0055,元大MSCI金融,106,M11,107年11月22日,107年11月28日,107年12月25日,0.65,107
0056,元大高股息,106,M10,106年10月30日,106年11月05日,106年12月04日,0.95,106
0056,元大高股息,106,M10,107年10月23日,107年10月29日,107年11月27日,1.45,107
006203,元大MSCI台灣,106,M2,106年02月08日,106年02月14日,106年03月14日,0.7,106
006203,元大MSCI台灣,106,M7,107年07月23日,107年07月29日,107年08月27日,0.35,107
006203,元大MSCI台灣,106,M7,106年07月31日,106年08月06日,106年08月31日,0.3,106
006203,元大MSCI台灣,106,M1,107年01月29日,107年02月04日,107年03月13日,0.8,107
006204,永豐臺灣加權,106,M10,107年10月30日,107年11月05日,107年11月20日,1.94,107
006204,永豐臺灣加權,106,M10,106年10月31日,106年11月06日,106年11月21日,1.7,106
006208,富邦台50,106,M7,107年07月26日,107年08月03日,107年08月31日,0.65,107
006208,富邦台50,106,M11,107年11月29日,107年12月05日,107年12月28日,2.0,107
006208,富邦台50,106,M11,106年11月30日,106年12月06日,106年12月29日,1.65,106
006208,富邦台50,106,M7,106年07月27日,106年08月04日,106年09月01日,1.0,106
00690,兆豐藍籌30ETF,106,M11,107年11月28日,107年12月04日,107年12月26日,0.66,107
00690,兆豐藍籌30ETF,106,M11,106年11月28日,106年12月04日,106年12月29日,0.81,106
00692,富邦公司治理,106,M7,107年07月26日,107年08月03日,107年08月31日,0.083,107
00692,富邦公司治理,106,M11,106年11月30日,106年12月06日,106年12月29日,1.12,106
00692,富邦公司治理,106,M7,106年07月27日,106年08月04日,106年09月01日,0.021,106
00692,富邦公司治理,106,M11,107年11月29日,107年12月05日,107年12月28日,0.743,107
00701,國泰臺灣低波動30,106,M7,107年07月26日,107年08月03日,107年08月17日,0.17,107
00702,國泰標普低波高息,106,M1,107年01月25日,107年02月02日,107年02月23日,0.25,107
00702,國泰標普低波高息,106,M7,107年07月26日,107年08月03日,107年08月17日,0.3,107
00710B,FH彭博高收益債,106,M10,106年10月26日,106年11月01日,106年11月22日,0.103,106
00710B,FH彭博高收益債,106,M1,107年01月24日,107年01月30日,107年03月01日,0.042,107
00710B,FH彭博高收益債,106,M12,107年12月27日,108年01月02日,108年01月24日,0.224,107
00710B,FH彭博高收益債,106,M9,107年09月26日,107年10月02日,107年10月25日,0.382,107
00710B,FH彭博高收益債,106,M3,107年03月22日,107年03月28日,107年04月24日,0.081,107
00710B,FH彭博高收益債,106,M6,107年06月21日,107年06月27日,107年07月19日,0.236,107
00711B,FH彭博新興債,106,M12,107年12月27日,108年01月02日,108年01月24日,0.079,107
00711B,FH彭博新興債,106,M10,106年10月26日,106年11月01日,106年11月22日,0.084,106
00711B,FH彭博新興債,106,M9,107年09月26日,107年10月02日,107年10月25日,0.293,107
00711B,FH彭博新興債,106,M3,107年03月22日,107年03月28日,107年04月24日,0.193,107
00711B,FH彭博新興債,106,M6,107年06月21日,107年06月27日,107年07月19日,0.178,107
00711B,FH彭博新興債,106,M1,107年01月24日,107年01月30日,107年03月01日,0.202,107
00712,FH富時不動產,106,M6,107年06月21日,107年06月27日,107年07月19日,0.555,107
00712,FH富時不動產,106,M9,107年09月26日,107年10月02日,107年10月25日,0.862,107
00712,FH富時不動產,106,M1,107年01月24日,107年01月30日,107年03月01日,0.09,107
00712,FH富時不動產,106,M3,107年03月22日,107年03月28日,107年04月24日,0.009,107
00712,FH富時不動產,106,M12,107年12月27日,108年01月02日,108年01月24日,0.357,107
00712,FH富時不動產,106,M10,106年10月26日,106年11月01日,106年11月22日,0.15,106
00713,元大台灣高息低波,106,M11,107年11月22日,107年11月28日,107年12月25日,1.55,107
00714,群益道瓊美國地產,106,M7,107年07月17日,107年07月23日,107年08月13日,0.209,107
00714,群益道瓊美國地產,106,M4,107年04月19日,107年04月25日,107年05月17日,0.23,107
00714,群益道瓊美國地產,106,M10,107年10月16日,107年10月22日,107年11月12日,0.2,107
00717,富邦美國特別股,106,M10,107年10月30日,107年11月05日,107年12月03日,0.216,107
00717,富邦美國特別股,106,M7,107年07月26日,107年08月03日,107年08月31日,0.581,107
00730,富邦臺灣優質高息,106,M10,107年10月30日,107年11月05日,107年12月03日,0.979,107
00731,FH富時高息低波,106,M12,107年12月21日,107年12月27日,108年01月19日,2.492,107
00742,新光內需收益,106,M12,107年12月27日,108年01月06日,108年02月14日,0.95,107
008201,上證50,106,M12,106年12月28日,107年01月03日,107年01月26日,0.961,106
