"Symbol","COMPANY","收盤日","收盤價","預期報酬率","貴價","淑價","預期ROE","NAV","預期常利","財報幣別","盈再率","預期配息率","股息","股子","ROE1","ROE2","ROE3","ROE4","ROE5","SECTOR","Industry","交易所","Shares","財報","最近營收年度","營收","近12月最高價","近12月最低價"
"4631","DIC CORPORATION","20260130",3780.0,8.0,7060.3,2308.02,5.55,4239.76,22282.3,"JPY",-64.5,71.1,200.0,0,5.9,-1.1,6.5,5.0,"","Process Industries","Specialty Chemicals","",94.68,"",2024,1071127.0,3965.0,2447.0
"4633","SAKATA INX CORP","20260130",2367.0,11.0,5417.83,1771.1,7.91,2281.78,8888.9,"JPY",35.5,57.0,90.0,0,8.7,11.6,3.7,7.4,"","Process Industries","Specialty Chemicals","",49.22,"",2024,245570.0,2464.0,1519.0
"4634","ARTIENCE CO LTD","20260130",3700.0,12.0,9141.62,2988.41,5.66,5382.77,14839.9,"JPY",60.2,53.4,100.0,0,6.8,4.5,2.2,5.6,"","Process Industries","Specialty Chemicals","",48.7,"",2024,351064.0,3690.0,2502.0
"4635","TOKYO PRINTING INK MFG CO","20260130",1476.0,9.0,2863.5,936.08,4.08,2338.6,1209.4,"JPY",92.7,16.6,"",0,3.8,3.0,-3.5,2.4,"","Process Industries","Specialty Chemicals","",12.67,"",2025,46806.0,1593.0,671.0
"463A","Intellex Holdings Co., Ltd.","20260130",971.0,21.0,4005.51,1413.34,10.05,1655.89,1343.6,"JPY",109.9,29.3,"",0,12.1,3.6,0.8,5.9,"","Finance","Real Estate Development","",8.1,"",2025,44793.0,1024.0,885.0
"4641","ALTECH CORPORATION","20260130",2626.0,8.0,4966.81,1926.08,19.8,952.65,3700.6,"JPY",0.0,76.4,94.0,0,21.6,22.3,22.2,24.7,"","Commercial Services","Staffing & Employment Services","",19.62,"",2024,49858.0,3170.0,2174.0
"4644","IMAGINEER CO LTD","20260130",1085.0,-8.0,544.29,177.93,1.45,1251.45,174.9,"JPY",-11.2,88.2,"",0,2.2,2.8,3.5,7.9,"","Technology Services","Internet Content & Information","",9.64,"",2025,6486.0,1172.0,925.0
"4645","ICHISHIN HOLDINGS CO LTD","20260130",453.0,19.0,1808.47,591.19,22.88,263.44,491.3,"JPY",49.3,35.1,"",0,18.8,23.2,25.3,36.2,"","Consumer Services","Education & Training Services","",8.15,"",2025,18459.0,475.0,374.0
"464A","QPS Holdings, Inc.","20260130",1825.0,"","","",-2.17,382.52,-322.3,"JPY","",0.0,"",0,-2.5,3.0,-6.2,"","","Electronic Technology","Telecommunications Equipment","",47.83,"",2025,2681.0,2419.0,806.0
"4650","SD ENTERTAINMENT INC","20260130",300.0,"","","",-3.3,176.87,-52.2,"JPY","",0.0,"",0,-1.1,0.3,-6.1,-18.3,"","Consumer Services","Entertainment","",8.95,"",2025,4201.0,335.0,242.0
"4651","SANIX HOLDINGS INC","20260130",226.0,19.0,892.23,301.32,13.41,212.76,1363.7,"JPY",71.2,14.4,"",0,18.8,46.4,29.7,-39.0,"","Industrial Services","Conglomerates","",47.8,"",2025,45352.0,294.0,192.0
"4657","ENVIRONMENTAL CONTROL CENTER CO","20260130",440.0,-22.0,62.94,20.58,0.43,488.1,10.1,"JPY",-31.5,55.1,"",0,0.0,11.0,-1.7,11.4,"","Commercial Services","Waste Management","",4.79,"",2025,6099.0,544.0,351.0
"4658","NIPPON AIR CONDITIONING SERVICES CO","20260130",1475.0,6.0,2317.93,840.74,12.1,749.03,3137.8,"JPY",81.7,42.8,"",0,13.0,12.7,9.9,7.1,"","Industrial Services","Specialty Business Services","",34.61,"",2025,64438.0,1460.0,822.0
"4659","AJIS CO LTD","20260130",3165.0,12.0,7684.12,2511.95,8.64,2965.52,2161.8,"JPY",18.0,58.4,"",0,9.0,8.6,9.3,14.2,"","Transportation","Specialty Business Services","",8.44,"",2025,33960.0,3175.0,2200.0
"4661","ORIENTAL LAND CO","20260130",2709.5,-4.0,2029.46,737.28,12.68,596.17,123957.1,"JPY",28.9,44.4,"",0,13.0,14.5,10.7,1.0,"","Consumer Services","Leisure","",1639.47,"",2025,679374.0,3715.0,2755.0
"4662","FOCUS SYSTEMS CORP","20260130",1835.0,0.0,1832.36,599.0,6.57,929.06,923.5,"JPY",62.4,18.8,"",0,11.8,27.7,"","","","Technology Services","Information Technology Services","",15.12,"",2025,32555.01,2249.0,912.0
