代號,名稱,年度,季別,出表日期,淨利,本期淨利（淨損）,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1101,台泥,107,Q2,114/10/29,10576305.0,10576305.0,10009630.0,57500246.0,41440890.0,2.14
1101,台泥,107,Q3,114/10/29,17034956.0,17034956.0,15943568.0,89657354.0,64992780.0,3.35
1101,台泥,107,Q4,114/10/29,22644071.0,22644071.0,21180821.0,124594602.0,91003063.0,4.37
1101,台泥,107,Q1,114/10/29,2865370.0,2865370.0,2945170.0,24179214.0,18388574.0,0.69
1102,亞泥,107,Q4,114/10/29,14889197.0,14889197.0,11117094.0,82741004.0,61584690.0,3.54
1102,亞泥,107,Q2,114/10/29,7780935.0,7780935.0,6226635.0,39009089.0,29679533.0,1.98
1102,亞泥,107,Q3,114/10/29,11901984.0,11901984.0,9298368.0,60908065.0,45980762.0,2.96
1102,亞泥,107,Q1,114/10/29,2415347.0,2415347.0,1897059.0,16573882.0,13244409.0,0.6
1103,嘉泥,107,Q2,114/10/29,441646.0,441646.0,399116.0,1000927.0,856092.0,0.62
1103,嘉泥,107,Q3,114/10/29,975596.0,975596.0,882966.0,1495207.0,1275757.0,1.37
1103,嘉泥,107,Q1,114/10/29,160164.0,160164.0,152305.0,471257.0,416427.0,0.24
1103,嘉泥,107,Q4,114/10/29,769123.0,769123.0,699755.0,2092406.0,1803918.0,1.09
1104,環泥,107,Q1,114/10/29,2364.0,2364.0,3306.0,1166097.0,1027573.0,0.01
1104,環泥,107,Q4,114/10/29,1051568.0,1051568.0,1057293.0,4780994.0,4209912.0,1.62
1104,環泥,107,Q2,114/10/29,408398.0,408398.0,412775.0,2314855.0,2049605.0,0.63
1104,環泥,107,Q3,114/10/29,752991.0,752991.0,759526.0,3436442.0,3031159.0,1.16
1108,幸福,107,Q3,114/10/29,-50409.0,-50409.0,-49141.0,2460423.0,2390823.0,-0.12
1108,幸福,107,Q1,114/10/29,-6133.0,-6133.0,-5002.0,832706.0,812140.0,-0.01
1108,幸福,107,Q4,114/10/29,-201614.0,-201614.0,-176971.0,3330601.0,3283834.0,-0.44
1108,幸福,107,Q2,114/10/29,-8153.0,-8153.0,-7022.0,1684246.0,1621869.0,-0.02
1109,信大,107,Q2,114/10/29,392109.0,392109.0,248086.0,2809557.0,1987278.0,0.69
