"Symbol","COMPANY","收盤日","收盤價","預期報酬率","貴價","淑價","預期ROE","NAV","預期常利","財報幣別","盈再率","預期配息率","股息","股子","ROE1","ROE2","ROE3","ROE4","ROE5","SECTOR","交易所","Shares","財報","最近營收年度","營收","近12月最高價","近12月最低價"
"5538","開曼東明控股股份有限公司","20260123.0",32.1,10.0,67.9,22.2,6.4,35.36,455.6,"NTD",72.6,40.1563,1.5,0,7.0,0.9,13.5,34.7,12.5,"鋼鐵工業","TWSE",201.2,"2025/09",2024,12543,38.0,27.5
"5543","桓鼎股份有限公司","20260123.0",31.3,"","","",-56.41,9.01,-237.5,"NTD","",0.0,"",0,-40.0,-16.5,-8.8,16.6,3.4,"建材營造業","OTC",46.7,"2025/09",2024,3403,36.9,16.85
"5546","永固集團股份有限公司","20260123.0",22.65,"","","",-0.82,26.9,-18.2,"NTD","",88.412,2.0,0,0.9,-13.7,1.0,7.3,34.4,"建材營造業","TWSE",82.4,"2025/09",2024,2817,31.4,21.4
"5548","安倉營造股份有限公司","20260123.0",23.25,6.0,37.2,12.2,6.49,19.1,71.7,"NTD",0.8,88.4131,1.4,0,14.1,12.5,12.2,14.7,11.2,"建材營造業","OTC",57.8,"2025/09",2024,2177,29.3168,21.25
"5601","臺聯貨櫃通運股份有限公司","20260123.0",36.8,-13.0,11.9,3.9,1.85,21.35,25.7,"NTD",0.0,96.8,0.35,0,1.8,2.2,2.1,1.3,1.4,"航運業","OTC",64.8,"2025/09",2024,92,39.95,32.6
"5603","陸海股份有限公司","20260123.0",18.35,3.0,23.4,7.6,4.25,18.35,81.8,"NTD",58.5,54.5723,1.0,0,6.6,10.9,9.2,10.6,4.6,"航運業","OTC",104.9,"2025/09",2024,1818,26.9,18.25
"5604","中連誠企業股份有限公司","20260123.0",37.45,-13.0,15.7,7.6,3.28,20.78,74.3,"NTD",-208.9,215.2088,2.3,0,2.0,3.8,3.1,3.3,2.0,"其他業","OTC",108.8,"2025/09",2024,159,45.75,35.95
"5607","遠雄自貿港投資控股股份有限公司","20260123.0",47.6,5.0,68.4,22.3,8.1,28.12,844.6,"NTD",239.3,27.0,1.1,0,7.1,11.0,18.3,10.4,8.6,"航運業","TWSE",370.6,"2025/09",2024,3465,53.6,28.9216
"5608","四維航業股份有限公司","20260123.0",17.6,"","","",-3.9,25.97,-394.4,"NTD",-4382.6,64.7092,"",0,-5.1,-5.7,27.5,51.4,-21.3,"航運業","TWSE",389.3,"2025/09",2024,3493,23.15,13.65
"5609","中菲行國際物流股份有限公司","20260123.0",79.4,13.0,216.4,70.7,16.21,44.49,1030.7,"NTD",0.8,79.9023,5.2,0,16.1,16.4,58.4,82.6,48.7,"航運業","OTC",142.9,"2025/09",2024,28947,85.8,66.9
"5701","劍湖山世界股份有限公司","20260123.0",4.07,"","","",-13.49,4.13,-79.9,"NTD","",0.0,"",0,-12.3,-11.5,-16.8,-32.5,-21.3,"觀光餐旅","OTC",143.0,"2025/09",2024,507,5.79,3.78
"5703","亞都麗緻大飯店股份有限公司","20260123.0",15.0,-10.0,6.5,2.1,3.12,6.96,15.3,"NTD","",0.0,"",0,2.1,7.9,-17.6,-22.1,-11.4,"觀光餐旅","OTC",70.2,"2025/09",2024,425,18.7,14.1
"5704","知本老爺大酒店股份有限公司","20260123.0",25.4,-11.0,9.9,3.2,2.38,13.83,12.8,"NTD",7.9,91.9751,"",0,2.8,21.1,18.5,9.7,18.0,"觀光餐旅","OTC",38.9,"2025/09",2024,352,36.75,22.5
"5706","鳳凰國際旅行社股份有限公司","20260123.0",50.0,8.0,89.6,30.7,13.88,21.23,250.3,"NTD",58.2,20.925,2.75,0,20.8,14.2,-2.9,-2.2,-3.4,"觀光餐旅","TWSE",84.9,"2025/09",2024,3145,67.0476,42.8571
"5820","日盛金融控股股份有限公司","20221031.0",11.7,12.0,28.0,9.2,6.73,13.88,3584.9,"NTD",-1.6,50.0,"",0,8.4,6.4,5.1,6.4,6.1,"金融保險業","OTC",3834.7,"2022/06",2021,4516,"",""
"5864","致和證券股份有限公司","20260123.0",21.8,7.0,38.0,12.4,7.95,15.92,575.3,"NTD",-5.5,58.8042,0.4,0,12.2,20.4,-4.8,17.7,13.3,"金融保險業","OTC",454.5,"2025/09",2024,276,19.05,10.8
"5871","中租控股股份有限公司","20260123.0",106.0,14.0,271.5,99.4,11.24,100.26,19862.8,"NTD",51.8,45.2927,6.1,0,13.4,15.9,23.2,21.9,23.0,"其他業","TWSE",1711.4,"2025/09",2024,102292,130.8824,92.451
"5876","上海商業儲蓄銀行股份有限公司","20260123.0",39.55,11.0,89.4,29.2,7.32,40.71,14484.3,"NTD",3.0,77.7957,1.8,0,7.4,8.6,9.5,9.2,8.8,"金融保險業","TWSE",4861.6,"2025/09",2024,85501,48.25,39.0
"5878","台名保險經紀人股份有限公司","20260123.0",41.6,7.0,72.2,23.6,11.06,21.76,60.2,"NTD",-11.1,102.7344,2.3,0,9.6,9.9,11.2,13.2,15.9,"金融保險業","OTC",25.0,"2025/09",2024,847,46.95,40.5
"5880","合作金庫金融控股股份有限公司","20260123.0",23.75,6.0,37.2,12.2,7.66,16.2,19460.5,"NTD",-1.5,77.6925,0.7,0,8.0,8.0,8.6,8.9,7.5,"金融保險業","TWSE",15680.9,"2025/09",2024,106304,25.6311,21.3107
"5902","德記洋行股份有限公司","20260123.0",41.0,5.0,62.0,20.3,15.8,13.07,195.3,"NTD",-0.3,88.7295,1.65,0,17.0,14.8,17.0,15.9,16.3,"居家生活","OTC",94.5,"2025/09",2024,2220,49.75,35.45
"5903","全家便利商店股份有限公司","20260123.0",190.5,-4.0,134.6,44.0,9.79,45.84,1001.3,"NTD",135.8,82.8077,11.5,0,9.5,19.6,18.0,16.0,32.2,"居家生活","OTC",223.2,"2025/09",2024,105104,211.5,182.5
"5904","寶雅國際股份有限公司","20260123.0",400.5,7.0,642.1,255.2,36.09,67.22,2581.4,"NTD",8.4,90.707,23.0,0,40.9,39.9,39.6,35.5,46.1,"居家生活","OTC",106.4,"2025/09",2024,23628,527.7228,420.0
"5905","南仁湖育樂股份有限公司","20260123.0",9.06,"","","",-5.59,10.06,-158.5,"NTD","",0.0,"",0,-4.9,-3.9,-9.8,-8.7,-0.3,"觀光餐旅","OTC",281.6,"2025/09",2024,979,15.6,8.8
"5906","台南生活(開曼)股份有限公司","20260123.0",52.0,0.0,50.3,16.4,8.32,20.14,59.8,"NTD",148.3,43.7767,0.8,0,8.7,18.7,19.4,23.4,16.2,"貿易百貨業","TWSE",35.7,"2025/09",2024,1809,59.8039,44.0196
"5907","Grand Ocean RetailGroupLimited","20260123.0",5.86,"","","",-15.33,24.48,-733.9,"NTD","",0.0,"",0,-11.8,-37.2,-15.9,-4.4,-2.5,"貿易百貨業","TWSE",195.5,"2025/09",2024,3235,11.2,5.42
"6005","群益金鼎證券股份有限公司","20260123.0",28.55,9.0,53.1,20.3,11.72,19.47,4955.4,"NTD",42.9,63.4733,1.5,0,12.1,11.6,2.2,14.6,10.5,"金融保險業","TWSE",2170.9,"2025/09",2024,7129,28.4,19.35
"6015","宏遠證券股份有限公司","20260123.0",13.05,2.0,15.5,5.1,3.71,13.89,202.1,"NTD",18.3,64.9326,0.5,0,7.1,4.0,-4.1,29.8,10.6,"金融保險業","OTC",391.6,"2025/09",2024,970,13.65,8.55
"6016","康和綜合證券股份有限公司","20260123.0",16.3,13.0,44.2,14.5,10.4,14.17,1012.3,"NTD",6.4,66.1206,0.23,0,12.3,12.7,-1.7,16.9,15.0,"金融保險業","OTC",686.6,"2025/09",2024,1834,16.1,9.7273
"6020","大展證券股份有限公司","20260123.0",19.2,-2.0,16.4,5.4,2.86,19.12,137.9,"NTD",300.3,34.8081,0.51,0,4.0,8.0,-5.5,20.6,6.5,"金融保險業","OTC",252.4,"2025/09",2024,83,20.8,17.15
"6021","美好證券股份有限公司","20260123.0",30.25,9.0,59.4,19.4,7.46,26.54,618.5,"NTD",155.8,0.0,2.44,0,7.6,2.3,0.9,6.4,2.3,"金融保險業","OTC",312.5,"2025/09",2024,733,30.05,19.55
"6023","元大期貨股份有限公司","20260123.0",94.6,9.0,164.5,65.5,13.91,49.75,2214.6,"NTD",13.9,81.8141,4.8,0,14.9,14.4,9.3,7.2,12.1,"金融保險業","OTC",320.0,"2025/09",2024,3715,97.5,72.1
"6024","群益期貨股份有限公司","20260123.0",51.9,11.0,105.9,42.3,14.71,30.97,1138.8,"NTD",6.2,82.7455,2.83,0,16.6,14.9,12.5,7.7,12.4,"金融保險業","TWSE",249.9,"2025/09",2024,1926,58.7,43.1
"6026","福邦證券股份有限公司","20260123.0",14.75,9.0,30.0,9.8,6.92,14.42,395.7,"NTD",-15.1,63.6023,1.1,0,7.7,13.8,-5.1,43.7,8.2,"金融保險業","OTC",396.2,"2025/09",2024,135,14.7,10.7
"6101","寬魚國際股份有限公司","20260123.0",39.4,"","","",-0.9,10.0,-10.4,"NTD",-325.0,50.0,"",0,3.0,5.8,-4.2,-6.5,-8.9,"文化創意業","OTC",114.6,"2025/09",2024,699,41.45,31.5
"6103","合邦電子股份有限公司","20260114.0",35.5,"","","",-2.85,12.13,-4.7,"NTD","",0.0,0.19,0,2.5,-7.1,-8.8,-9.9,-109.2,"半導體業","OTC",13.6,"2025/09",2024,55,54.2,31.85
"6104","創惟科技股份有限公司","20260123.0",101.0,3.0,127.6,49.7,21.46,21.92,428.5,"NTD",11.7,79.3723,3.0,0,16.8,4.9,22.2,36.8,23.1,"半導體業","OTC",91.1,"2025/09",2024,3179,189.5,87.4
"6107","華美","20171116.0",3.65,33.0,34.8,11.4,6.93,16.81,92.9,"NTD",6.2,46.925,"",0,18.7,14.8,33.9,1.2,11.2,"","",79.7,"2017/06",2016,0,"",""
"6108","競國實業股份有限公司","20260123.0",15.45,"","","",-8.25,23.71,-307.1,"NTD","",40.7512,1.0,0,-13.1,-0.5,1.4,6.0,-2.4,"電子零組件業","TWSE",157.0,"2025/09",2024,5095,17.45,12.6
"6109","亞元科技股份有限公司","20260123.0",12.4,"","","",-19.01,9.49,-122.5,"NTD","",30.4904,"",0,-16.2,1.3,11.0,-13.6,-4.6,"通信網路業","OTC",67.8,"2025/09",2024,717,14.55,7.74
"6111","光聚晶電聯合股份有限公司","20260123.0",49.6,"","","",-26.93,18.79,-552.0,"NTD","",0.0,"",0,-27.0,-19.6,-3.4,-44.7,2.9,"文化創意業","OTC",109.1,"2025/09",2024,5103,67.2,42.4
