代號,名稱,年度,季別,現金股利,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1101,台泥,114,Y1,0.8,115/05/22,114/01/01~114/12/31,股東會確認,0.0,0.0,0.8,0.0,0.0,0.0,0
1101B,台泥乙特,114,Y1,2.02625,115/05/22,114/01/01~114/12/31,股東會確認,2.02625,0.0,0.0,0.0,0.0,0.0,0
1102,亞泥,114,Q4,2.3,不適用,114/10/01~114/12/31,董事會決議,2.3,0.0,0.0,0.0,0.0,0.0,0
1102,亞泥,114,Q3,0.0,不適用,114/07/01~114/09/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1102,亞泥,114,Q1,0.0,不適用,114/01/01~114/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1102,亞泥,114,Q2,0.0,不適用,114/04/01~114/06/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1103,嘉泥,114,Y1,0.55,115/05/22,114/01/01~114/12/31,股東會確認,0.55,0.0,0.0,0.0,0.0,0.0,0
1104,環泥,114,Y1,1.85,115/05/26,114/01/01~114/12/31,股東會確認,1.85,0.0,0.0,0.0,0.0,0.0,0
1108,幸福,114,H1,0.0,不適用,114/01/01~114/06/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1108,幸福,114,H2,1.0,115/06/29,114/07/01~114/12/31,董事會擬議,1.0,0.0,0.0,0.0,0.0,0.0,0
1109,信大,114,Y1,0.9,115/06/16,114/01/01~114/12/31,股東會確認,0.9,0.0,0.0,0.0,0.0,0.0,0
1110,東泥,114,Y1,0.3,115/06/18,114/01/01~114/12/31,股東會確認,0.3,0.0,0.0,0.0,0.0,0.0,0
1201,味全,114,Y1,0.21,不適用,114/01/01~114/12/31,董事會決議,0.21,0.0,0.0,0.0,0.0,0.0,0
1203,味王,114,Y1,1.0,115/06/24,114/01/01~114/12/31,股東會確認,1.0,0.0,0.0,0.0,0.0,0.0,0
1210,大成,114,Y1,3.0,不適用,114/01/01~114/12/31,董事會決議,3.0,0.0,0.0,0.0,0.0,0.0,0
1213,大飲,114,Y1,0.0,115/06/09,114/01/01~114/12/31,股東會確認,0.0,0.0,0.0,0.0,0.0,0.0,0
1215,卜蜂,114,Y1,7.0,不適用,114/01/01~114/12/31,董事會決議,7.0,0.0,0.0,0.0,0.0,0.0,0
1216,統一,114,Y1,3.0,115/05/28,114/01/01~114/12/31,股東會確認,3.0,0.0,0.0,0.0,0.0,0.0,0
1217,愛之味,114,Y1,0.25,不適用,114/01/01~114/12/31,董事會決議,0.25,0.0,0.0,0.0,0.0,0.0,0
1218,泰山,114,Q1,0.0,不適用,114/01/01~114/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1218,泰山,114,Y1,1.32,不適用,114/01/01~114/12/31,董事會決議,1.32,0.0,0.0,0.0,0.0,0.0,0
1219,福壽,114,Y1,0.5,不適用,114/01/01~114/12/31,董事會決議,0.5,0.0,0.0,0.0,0.0,0.0,0
1220,台榮,114,Y1,0.2,115/06/24,114/01/01~114/12/31,股東會確認,0.2,0.0,0.0,0.0,0.0,0.0,0
1225,福懋油,114,Y1,1.0,不適用,114/01/01~114/12/31,董事會決議,1.0,0.0,0.0,0.0,0.0,0.0,0
1227,佳格,114,Y1,1.34,115/06/17,114/01/01~114/12/31,股東會確認,1.34,0.0,0.0,0.0,0.0,0.0,0
1229,聯華,114,Q4,1.8,115/05/28,114/10/01~114/12/31,現金股利經董事會決議、增資配股經股東會確認,1.8,0.0,0.0,0.2,0.0,0.0,35919213
1229,聯華,114,Q1,0.0,不適用,114/01/01~114/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1229,聯華,114,Q2,0.0,不適用,114/04/01~114/06/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1229,聯華,114,Q3,0.0,不適用,114/07/01~114/09/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1231,聯華食,114,Y1,1.5,115/06/24,114/01/01~114/12/31,股東會確認,1.5,0.0,0.0,1.0,0.0,0.0,29845447
1232,大統益,114,Y1,7.2,115/05/22,114/01/01~114/12/31,股東會確認,7.2,0.0,0.0,0.0,0.0,0.0,0
1233,天仁,114,Y1,0.2,不適用,114/01/01~114/12/31,董事會決議,0.06,0.0,0.14,0.0,0.0,0.0,0
1234,黑松,114,Y1,1.65,不適用,114/01/01~114/12/31,董事會決議,1.65,0.0,0.0,0.0,0.0,0.0,0
1235,興泰,114,Y1,0.5,115/06/29,114/01/01~114/12/31,股東會確認,0.5,0.0,0.0,0.5,0.0,0.0,9428891
1236,宏亞,114,Y1,1.65,不適用,114/01/01~114/12/31,董事會決議,1.65,0.0,0.0,0.0,0.0,0.0,0
1240,茂生農經,114,Y1,3.0,115/06/22,114/01/01~114/12/31,股東會確認,3.0,0.0,0.0,0.5,0.0,0.0,2211619
1256,鮮活果汁-KY,114,Y1,6.6,115/05/27,114/01/01~114/12/31,股東會確認,6.6,0.0,0.0,0.0,0.0,0.0,0
1259,安心,114,Y1,1.2,不適用,114/01/01~114/12/31,董事會決議,1.2,0.0,0.0,0.0,0.0,0.0,0
1264,德麥,114,Y1,15.0,不適用,114/01/01~114/12/31,董事會決議,15.0,0.0,0.0,0.0,0.0,0.0,0
1268,漢來美食,114,Y1,8.0,不適用,114/01/01~114/12/31,董事會決議,8.0,0.0,0.0,0.0,0.0,0.0,0
1294,漢田生技,114,Y1,3.0,115/05/20,114/01/01~114/12/31,現金股利經董事會決議、增資配股經股東會確認,3.0,0.0,0.0,2.0,0.0,0.0,6054312
1295,生合,114,Y1,3.0,不適用,114/01/01~114/12/31,董事會決議,3.0,0.0,0.0,0.0,0.0,0.0,0
1301,台塑,114,Y1,0.5,不適用,114/01/01~114/12/31,董事會決議,0.5,0.0,0.0,0.0,0.0,0.0,0
1303,南亞,114,Y1,0.8,不適用,114/01/01~114/12/31,董事會決議,0.8,0.0,0.0,0.0,0.0,0.0,0
1304,台聚,114,Y1,0.15,115/05/29,114/01/01~114/12/31,股東會確認,0.15,0.0,0.0,0.0,0.0,0.0,0
1305,華夏,114,Y1,0.1,115/05/26,114/01/01~114/12/31,股東會確認,0.1,0.0,0.0,0.0,0.0,0.0,0
1307,三芳,114,Y1,2.2,不適用,114/01/01~114/12/31,董事會決議,2.2,0.0,0.0,0.0,0.0,0.0,0
1308,亞聚,114,Y1,0.2,115/05/28,114/01/01~114/12/31,股東會確認,0.2,0.0,0.0,0.0,0.0,0.0,0
1309,台達化,114,Y1,0.15,115/05/28,114/01/01~114/12/31,股東會確認,0.15,0.0,0.0,0.0,0.0,0.0,0
1310,台苯,114,Y1,0.0,不適用,114/01/01~114/12/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1312A,國喬特,114,Y1,0.0,不適用,114/01/01~114/12/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1312,國喬,114,Y1,0.0,不適用,114/01/01~114/12/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1313,聯成,114,Y1,0.1,不適用,114/01/01~114/12/31,董事會決議,0.0,0.0,0.1,0.0,0.0,0.0,0
1314,中石化,114,Y1,0.0,115/05/22,114/01/01~114/12/31,股東會確認,0.0,0.0,0.0,0.0,0.0,0.0,0
1315,達新,114,H2,2.5,不適用,114/07/01~114/12/31,董事會決議,2.5,0.0,0.0,0.0,0.0,0.0,0
1315,達新,114,H1,2.0,不適用,114/01/01~114/06/30,董事會決議,2.0,0.0,0.0,0.0,0.0,0.0,0
1316,上曜,114,H1,0.0,不適用,114/01/01~114/06/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1316,上曜,114,H2,0.0,不適用,114/07/01~114/12/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1319,東陽,114,Y1,5.0,不適用,114/01/01~114/12/31,董事會決議,5.0,0.0,0.0,0.0,0.0,0.0,0
1321,大洋,114,Y1,0.0,115/06/04,114/01/01~114/12/31,股東會確認,0.0,0.0,0.0,0.0,0.0,0.0,0
1323,永裕,114,Y1,0.9,不適用,114/01/01~114/12/31,董事會決議,0.9,0.0,0.0,0.0,0.0,0.0,0
1324,地球,114,Y1,0.0,不適用,114/01/01~114/12/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1325,恆大,114,Y1,0.0,不適用,114/01/01~114/12/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1326,台化,114,Y1,0.6,不適用,114/01/01~114/12/31,董事會決議,0.6,0.0,0.0,0.0,0.0,0.0,0
1336,台翰,114,Y1,0.26,不適用,114/01/01~114/12/31,董事會決議,0.26,0.0,0.0,0.0,0.0,0.0,0
1337,再生-KY,114,Y1,0.0,115/06/12,114/01/01~114/12/31,股東會確認,0.0,0.0,0.0,0.0,0.0,0.0,0
1338,廣華-KY,114,Y1,0.3,115/05/22,114/01/01~114/12/31,股東會確認,0.3,0.0,0.0,0.0,0.0,0.0,0
1339,昭輝,114,Y1,2.5,不適用,114/01/01~114/12/31,董事會決議,2.5,0.0,0.0,0.0,0.0,0.0,0
1340,勝悅-KY,114,Y1,0.0,115/06/08,114/01/01~114/12/31,股東會確認,0.0,0.0,0.0,0.0,0.0,0.0,0
1341,富林-KY,114,Q2,0.0,不適用,114/04/01~114/06/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1341,富林-KY,114,Q3,0.0,不適用,114/07/01~114/09/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1341,富林-KY,114,Q4,4.0,不適用,114/10/01~114/12/31,董事會決議,2.5,0.0,1.5,0.0,0.0,0.0,0
1341,富林-KY,114,Q1,0.0,不適用,114/01/01~114/03/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1342,八貫,114,Y1,6.0,不適用,114/01/01~114/12/31,董事會決議,6.0,0.0,0.0,0.0,0.0,0.0,0
1402,遠東新,114,Y1,1.25,115/05/29,114/01/01~114/12/31,股東會確認,1.25,0.0,0.0,0.0,0.0,0.0,0
1409,新纖,114,Y1,0.9,不適用,114/01/01~114/12/31,董事會決議,0.9,0.0,0.0,0.0,0.0,0.0,0
1410,南染,114,Y1,0.2,不適用,114/01/01~114/12/31,董事會決議,0.2,0.0,0.0,0.0,0.0,0.0,0
1413,宏洲,114,Y1,0.0,不適用,114/01/01~114/12/31,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1414,東和,114,Y1,0.2,不適用,114/01/01~114/12/31,董事會決議,0.2,0.0,0.0,0.0,0.0,0.0,0
1416,廣豐,114,Y1,0.57,115/05/22,114/01/01~114/12/31,股東會確認,0.57,0.0,0.0,0.0,0.0,0.0,0
1417,嘉裕,114,Y1,0.25,115/05/22,114/01/01~114/12/31,股東會確認,0.25,0.0,0.0,0.0,0.0,0.0,0
1418,東華,114,Y1,0.0,115/06/08,114/01/01~114/12/31,股東會確認,0.0,0.0,0.0,0.0,0.0,0.0,0
1419,新紡,114,Y1,1.8,不適用,114/01/01~114/12/31,董事會決議,1.8,0.0,0.0,0.0,0.0,0.0,0
1423,利華,114,Y1,3.6,不適用,114/01/01~114/12/31,董事會決議,3.6,0.0,0.0,0.0,0.0,0.0,0
1432,大魯閣,114,Y1,2.0,115/05/28,114/01/01~114/12/31,董事會擬議,2.0,0.0,0.0,0.0,0.0,0.0,0
1434,福懋,114,Y1,0.5,不適用,114/01/01~114/12/31,董事會決議,0.5,0.0,0.0,0.0,0.0,0.0,0
1435,中福,114,Y1,0.0,115/06/18,114/01/01~114/12/31,股東會確認,0.0,0.0,0.0,0.0,0.0,0.0,0
1436,華友聯,114,Y1,5.0475969,不適用,114/01/01~114/12/31,董事會決議,4.51153472,0.0,0.53606218,0.0,0.0,0.0,0
1437,勤益控,114,Q3,0.48,不適用,114/07/01~114/09/30,董事會決議,0.48,0.0,0.0,0.0,0.0,0.0,0
1437,勤益控,114,Q4,0.48,不適用,114/10/01~114/12/31,董事會決議,0.48,0.0,0.0,0.0,0.0,0.0,0
1437,勤益控,114,Q2,0.0,不適用,114/04/01~114/06/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1438,三地開發,114,Y1,0.2,115/06/25,114/01/01~114/12/31,股東會確認,0.2,0.0,0.0,0.0,0.0,0.8,8896461
