代號,名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1268,漢來美食,114,Q3,114/11/13,,4617097.0,2505806.0,7.7
1268,漢來美食,114,Q2,114/11/13,,3150533.0,1678276.0,6.15
1294,漢田生技,114,Q1,114/11/13,,174677.0,109414.0,1.17
1294,漢田生技,114,Q2,114/11/13,,369142.0,229544.0,2.35
1295,生合,114,Q2,114/11/13,,542837.0,236991.0,3.18
1295,生合,114,Q1,114/11/13,,233724.0,107997.0,1.26
1295,生合,114,Q3,114/11/13,,754124.0,341126.0,4.07
1301,台塑,114,Q3,114/11/13,,134307258.0,129683090.0,1.13
1301,台塑,114,Q2,114/11/13,,92589306.0,88541190.0,1.03
1301,台塑,114,Q1,114/11/13,,47202204.0,44741833.0,0.01
1303,南亞,114,Q1,114/11/13,,65551631.0,60928591.0,0.06
1303,南亞,114,Q2,114/11/13,,131267601.0,120966118.0,0.46
1303,南亞,114,Q3,114/11/13,,195445091.0,179822347.0,0.05
1304,台聚,114,Q2,114/11/13,,23721688.0,23077937.0,1.4
1304,台聚,114,Q1,114/11/13,,12147495.0,11711524.0,0.59
1305,華夏,114,Q3,114/11/13,,7385398.0,7747248.0,1.34
1305,華夏,114,Q2,114/11/13,,5120293.0,5418070.0,1.16
1305,華夏,114,Q1,114/11/13,,2462129.0,2567654.0,0.46
1307,三芳,114,Q1,114/11/13,,2931014.0,1965652.0,1.08
1307,三芳,114,Q3,114/11/13,,8251584.0,5648838.0,2.01
1307,三芳,114,Q2,114/11/13,,5405637.0,3680655.0,0.96
1308,亞聚,114,Q1,114/11/13,,1534387.0,1432751.0,0.4
1308,亞聚,114,Q3,114/11/13,,4340671.0,4182798.0,1.16
1308,亞聚,114,Q2,114/11/13,,2874834.0,2726489.0,0.9
1309,台達化,114,Q3,114/11/13,,11474808.0,10981453.0,0.93
1309,台達化,114,Q1,114/11/13,,4232767.0,4023409.0,0.14
1309,台達化,114,Q2,114/11/13,,8082368.0,7715349.0,0.75
1310,台苯,114,Q3,114/11/13,,6960168.0,7376121.0,0.94
1310,台苯,114,Q1,114/11/13,,2293712.0,2461338.0,0.34
1310,台苯,114,Q2,114/11/13,,4740083.0,5038766.0,0.7
1312,國喬,114,Q1,114/11/13,,5698704.0,5830084.0,0.61
1312,國喬,114,Q2,114/11/13,,11017134.0,11537872.0,1.53
1313,聯成,114,Q1,114/11/13,,14552602.0,14119079.0,0.2
1313,聯成,114,Q2,114/11/13,,29532637.0,28720140.0,0.31
1313,聯成,114,Q3,114/11/13,,44121423.0,43169236.0,0.56
1314,中石化,114,Q2,114/11/13,,11405055.0,11965515.0,0.51
1314,中石化,114,Q1,114/11/13,,6517655.0,6561718.0,0.08
1315,達新,114,Q2,114/11/13,,1157524.0,997456.0,0.44
1315,達新,114,Q1,114/11/13,,541183.0,468721.0,0.16
1316,上曜,114,Q2,114/11/13,,1710042.0,1006710.0,0.58
1316,上曜,114,Q3,114/11/13,,2821272.0,1590300.0,0.71
1316,上曜,114,Q1,114/11/13,,761254.0,345584.0,0.31
1319,東陽,114,Q3,114/11/13,,18586567.0,12350750.0,4.36
1319,東陽,114,Q2,114/11/13,,13184726.0,8461359.0,3.25
1319,東陽,114,Q1,114/11/13,,7290680.0,4513899.0,2.48
1321,大洋,114,Q2,114/11/13,,1944585.0,1776212.0,0.6
1321,大洋,114,Q1,114/11/13,,991106.0,904611.0,0.21
1321,大洋,114,Q3,114/11/13,,2742892.0,2542876.0,0.74
1323,永裕,114,Q3,114/11/13,,1525301.0,1330749.0,0.06
1323,永裕,114,Q1,114/11/13,,526020.0,466506.0,0.05
1323,永裕,114,Q2,114/11/13,,1042153.0,905100.0,0.0
1324,地球,114,Q2,114/11/13,,376762.0,318481.0,0.53
1324,地球,114,Q3,114/11/13,,552240.0,472127.0,0.66
1324,地球,114,Q1,114/11/13,,184764.0,154070.0,0.08
1325,恆大,114,Q2,114/11/13,,166126.0,182643.0,0.6
1325,恆大,114,Q1,114/11/13,,82236.0,88160.0,0.02
1326,台化,114,Q1,114/11/13,,78909389.0,75888795.0,0.08
1326,台化,114,Q2,114/11/13,,152456956.0,148793742.0,1.24
1326,台化,114,Q3,114/11/13,,222032935.0,215335696.0,0.94
1336,台翰,114,Q2,114/11/13,,1268303.0,1043173.0,0.38
1336,台翰,114,Q3,114/11/13,,1887167.0,1575730.0,0.6
1336,台翰,114,Q1,114/11/13,,622572.0,510284.0,0.44
1337,再生-KY,114,Q2,114/11/13,,349522.0,395307.0,0.8
1337,再生-KY,114,Q3,114/11/13,,502010.0,593348.0,1.24
1337,再生-KY,114,Q1,114/11/13,,182531.0,210662.0,0.41
1338,廣華-KY,114,Q1,114/11/13,,1298134.0,964294.0,0.13
1338,廣華-KY,114,Q3,114/11/13,,3884458.0,2960831.0,2.0
1338,廣華-KY,114,Q2,114/11/13,,2528274.0,1961047.0,2.13
1339,昭輝,114,Q1,114/11/13,,494807.0,300361.0,0.97
1339,昭輝,114,Q2,114/11/13,,907210.0,560096.0,0.21
1340,勝悅-KY,114,Q1,114/11/13,,61054.0,57252.0,0.27
1340,勝悅-KY,114,Q3,114/11/13,,32737.0,57734.0,0.95
1340,勝悅-KY,114,Q2,114/11/13,,132949.0,173955.0,0.69
1341,富林-KY,114,Q3,114/11/13,,1878778.0,1456097.0,2.32
1341,富林-KY,114,Q2,114/11/13,,1273262.0,981741.0,1.53
1341,富林-KY,114,Q1,114/11/13,,690050.0,531526.0,1.25
1342,八貫,114,Q1,114/11/13,,778890.0,554281.0,1.79
1342,八貫,114,Q2,114/11/13,,1485091.0,1077746.0,2.67
1342,八貫,114,Q3,114/11/13,,2099531.0,1526959.0,4.02
1402,遠東新,114,Q1,114/11/13,,63715160.0,48908141.0,0.46
1402,遠東新,114,Q2,114/11/13,,123800719.0,97027061.0,0.66
1409,新纖,114,Q1,114/11/13,,,,0.25
1409,新纖,114,Q2,114/11/13,,,,0.18
1410,南染,114,Q1,114/11/13,,50256.0,32376.0,0.08
1410,南染,114,Q2,114/11/13,,102748.0,68090.0,0.02
1410,南染,114,Q3,114/11/13,,142707.0,101792.0,0.41
1413,宏洲,114,Q3,114/11/13,,1662012.0,1561596.0,0.43
1413,宏洲,114,Q1,114/11/13,,599962.0,580251.0,0.1
1413,宏洲,114,Q2,114/11/13,,1208937.0,1131543.0,0.32
1414,東和,114,Q2,114/11/13,,259780.0,225878.0,0.02
1414,東和,114,Q1,114/11/13,,133301.0,115549.0,0.02
