代號,名稱,年度,季別,除息交易日,收益分配基準日,收益分配發放日,配息,公告年度
0050,元大台灣50,113,M7,114年07月21日,114年07月27日,114年08月08日,0.36,114
0050,元大台灣50,113,M7,113年07月16日,113年07月22日,113年08月09日,1.0,113
0050,元大台灣50,113,M1,114年01月17日,114年01月25日,114年02月20日,2.7,114
0050,元大台灣50,113,M1,113年01月17日,113年01月23日,113年02月21日,3.0,113
0051,元大中型100,113,M11,113年11月18日,113年11月24日,113年12月12日,2.46,113
0051,元大中型100,113,M11,114年11月21日,114年11月29日,114年12月12日,,114
0052,富邦科技,113,M4,114年04月23日,114年04月29日,114年05月19日,3.23,114
0052,富邦科技,113,M4,113年04月18日,113年04月24日,113年05月15日,6.43,113
0053,元大電子,113,M11,113年11月18日,113年11月24日,113年12月12日,2.0,113
0053,元大電子,113,M11,114年11月21日,114年11月29日,114年12月12日,,114
0055,元大MSCI金融,113,M11,114年11月21日,114年11月29日,114年12月12日,,114
0055,元大MSCI金融,113,M11,113年11月18日,113年11月24日,113年12月12日,1.18,113
0056,元大高股息,113,M4,113年04月18日,113年04月24日,113年05月15日,0.79,113
0056,元大高股息,113,M4,114年04月23日,114年04月29日,114年05月14日,1.07,114
0056,元大高股息,113,M1,114年01月17日,114年01月25日,114年02月20日,1.07,114
0056,元大高股息,113,M10,114年10月23日,114年11月01日,114年11月14日,0.866,114
0056,元大高股息,113,M10,113年10月17日,113年10月23日,113年11月12日,1.07,113
0056,元大高股息,113,M7,114年07月21日,114年07月27日,114年08月08日,0.866,114
0056,元大高股息,113,M7,113年07月16日,113年07月22日,113年08月09日,1.07,113
0056,元大高股息,113,M1,113年01月17日,113年01月23日,113年02月21日,0.7,113
006203,元大MSCI台灣,113,M1,114年01月17日,114年01月25日,114年02月20日,1.9,114
006203,元大MSCI台灣,113,M7,114年07月21日,114年07月27日,114年08月08日,0.55,114
006203,元大MSCI台灣,113,M1,113年01月17日,113年01月23日,113年02月21日,1.8,113
006203,元大MSCI台灣,113,M7,113年07月16日,113年07月22日,113年08月09日,0.9,113
