代號,名稱,年度,季別,現金股利,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1101,台泥,110,Y1,1.0,111/05/26,110/01/01~110/12/31,股東會確認,1.0,0.0,0.0,1.0,0.0,0.0,611617340
1101B,台泥乙特,110,Y1,1.75,111/05/26,110/01/01~110/12/31,股東會確認,1.75,0.0,0.0,0.0,0.0,0.0,0
1101,台泥,110,Y1,1.0,111/05/26,110/01/01~110/12/31,股東會確認,1.0,0.0,0.0,1.0,0.0,0.0,611617340
1101,台泥,110,Y1,1.0,111/05/26,110/01/01~110/12/31,股東會確認,1.0,0.0,0.0,1.0,0.0,0.0,611617340
1101B,台泥乙特,110,Y1,1.75,111/05/26,110/01/01~110/12/31,股東會確認,1.75,0.0,0.0,0.0,0.0,0.0,0
1101B,台泥乙特,110,Y1,1.75,111/05/26,110/01/01~110/12/31,股東會確認,1.75,0.0,0.0,0.0,0.0,0.0,0
1101,台泥,110,Y1,1.0,111/05/26,110/01/01~110/12/31,股東會確認,1.0,0.0,0.0,1.0,0.0,0.0,611617340
1101B,台泥乙特,110,Y1,1.75,111/05/26,110/01/01~110/12/31,股東會確認,1.75,0.0,0.0,0.0,0.0,0.0,0
1102,亞泥,110,Y1,3.4,111/06/29,110/01/01~110/12/31,股東會確認,3.4,0.0,0.0,0.0,0.0,0.0,0
1102,亞泥,110,Y1,3.4,111/06/29,110/01/01~110/12/31,股東會確認,3.4,0.0,0.0,0.0,0.0,0.0,0
1102,亞泥,110,Y1,3.4,111/06/29,110/01/01~110/12/31,股東會確認,3.4,0.0,0.0,0.0,0.0,0.0,0
1102,亞泥,110,Y1,3.4,111/06/29,110/01/01~110/12/31,股東會確認,3.4,0.0,0.0,0.0,0.0,0.0,0
1103,嘉泥,110,Y1,0.65,111/06/14,110/01/01~110/12/31,股東會確認,0.65,0.0,0.0,0.0,0.0,0.0,0
1103,嘉泥,110,Y1,0.65,111/06/14,110/01/01~110/12/31,股東會確認,0.65,0.0,0.0,0.0,0.0,0.0,0
1103,嘉泥,110,Y1,0.65,111/06/14,110/01/01~110/12/31,股東會確認,0.65,0.0,0.0,0.0,0.0,0.0,0
1103,嘉泥,110,Y1,0.65,111/06/14,110/01/01~110/12/31,股東會確認,0.65,0.0,0.0,0.0,0.0,0.0,0
1104,環泥,110,Y1,1.0,111/06/14,110/01/01~110/12/31,股東會確認,1.0,0.0,0.0,0.0,0.0,0.0,0
1104,環泥,110,Y1,1.0,111/06/14,110/01/01~110/12/31,股東會確認,1.0,0.0,0.0,0.0,0.0,0.0,0
1104,環泥,110,Y1,1.0,111/06/14,110/01/01~110/12/31,股東會確認,1.0,0.0,0.0,0.0,0.0,0.0,0
1104,環泥,110,Y1,1.0,111/06/14,110/01/01~110/12/31,股東會確認,1.0,0.0,0.0,0.0,0.0,0.0,0
1108,幸福,110,H2,0.6,111/06/30,110/07/01~110/12/31,股東會確認,0.6,0.0,0.0,0.0,0.0,0.0,0
1108,幸福,110,H1,0.0,不適用,110/01/01~110/06/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1108,幸福,110,H2,0.6,111/06/30,110/07/01~110/12/31,股東會確認,0.6,0.0,0.0,0.0,0.0,0.0,0
1108,幸福,110,H2,0.6,111/06/30,110/07/01~110/12/31,股東會確認,0.6,0.0,0.0,0.0,0.0,0.0,0
1108,幸福,110,H1,0.0,不適用,110/01/01~110/06/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1108,幸福,110,H1,0.0,不適用,110/01/01~110/06/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1108,幸福,110,H2,0.6,111/06/30,110/07/01~110/12/31,股東會確認,0.6,0.0,0.0,0.0,0.0,0.0,0
1108,幸福,110,H1,0.0,不適用,110/01/01~110/06/30,董事會決議,0.0,0.0,0.0,0.0,0.0,0.0,0
1109,信大,110,Y1,1.5,111/06/22,110/01/01~110/12/31,股東會確認,1.5,0.0,0.0,0.0,0.0,0.0,0
1109,信大,110,Y1,1.5,111/06/22,110/01/01~110/12/31,股東會確認,1.5,0.0,0.0,0.0,0.0,0.0,0
1109,信大,110,Y1,1.5,111/06/22,110/01/01~110/12/31,股東會確認,1.5,0.0,0.0,0.0,0.0,0.0,0
1109,信大,110,Y1,1.5,111/06/22,110/01/01~110/12/31,股東會確認,1.5,0.0,0.0,0.0,0.0,0.0,0
1110,東泥,110,Y1,0.2,111/06/28,110/01/01~110/12/31,股東會確認,0.2,0.0,0.0,0.0,0.0,0.0,0
1110,東泥,110,Y1,0.2,111/06/28,110/01/01~110/12/31,股東會確認,0.2,0.0,0.0,0.0,0.0,0.0,0
1110,東泥,110,Y1,0.2,111/06/28,110/01/01~110/12/31,股東會確認,0.2,0.0,0.0,0.0,0.0,0.0,0
1110,東泥,110,Y1,0.2,111/06/28,110/01/01~110/12/31,股東會確認,0.2,0.0,0.0,0.0,0.0,0.0,0
1201,味全,110,Y1,0.501,不適用,110/01/01~110/12/31,董事會決議,0.501,0.0,0.0,0.0,0.0,0.0,0
1201,味全,110,Y1,0.501,不適用,110/01/01~110/12/31,董事會決議,0.501,0.0,0.0,0.0,0.0,0.0,0
