代號,名稱,年度,季別,出表日期,淨利,本期淨利（淨損）,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1101,台泥,108,Q3,114/10/29,18905196.0,18905196.0,17719524.0,87561878.0,62031223.0,3.24
1101,台泥,108,Q2,114/10/29,11860786.0,11860786.0,11181977.0,56723486.0,40912170.0,2.19
1101,台泥,108,Q1,114/10/29,4229970.0,4229970.0,3951920.0,25356328.0,18868464.0,0.77
1101,台泥,108,Q4,114/10/29,25455090.0,25455090.0,24211081.0,122783014.0,86872759.0,4.43
1102,亞泥,108,Q3,114/10/29,16936538.0,16936538.0,13458582.0,66206883.0,47102035.0,4.29
1102,亞泥,108,Q2,114/10/29,11434941.0,11434941.0,9119017.0,43805590.0,31070878.0,2.91
1102,亞泥,108,Q4,114/10/29,22243953.0,22243953.0,17459673.0,89347637.0,63746928.0,5.56
1102,亞泥,108,Q1,114/10/29,3810086.0,3810086.0,2929272.0,19385675.0,14727174.0,0.93
1103,嘉泥,108,Q1,114/10/29,148581.0,148581.0,126476.0,452376.0,387155.0,0.2
1103,嘉泥,108,Q2,114/10/29,788331.0,788331.0,728351.0,890409.0,771777.0,1.13
1103,嘉泥,108,Q3,114/10/29,1596519.0,1596519.0,1485119.0,1362993.0,1202807.0,2.31
1103,嘉泥,108,Q4,114/10/29,1408671.0,1408671.0,1297473.0,1884002.0,1685405.0,2.02
1104,環泥,108,Q4,114/10/29,1141682.0,1141682.0,1135477.0,5005731.0,4418966.0,1.74
1104,環泥,108,Q3,114/10/29,703363.0,703363.0,699299.0,3551356.0,3185655.0,1.07
1104,環泥,108,Q2,114/10/29,459312.0,459312.0,456928.0,2381467.0,2150489.0,0.7
1104,環泥,108,Q1,114/10/29,156601.0,156601.0,155181.0,1187296.0,1080876.0,0.24
1108,幸福,108,Q2,114/10/29,-15601.0,-15601.0,-15601.0,1735453.0,1638679.0,-0.04
1108,幸福,108,Q4,114/10/29,45904.0,45904.0,45905.0,3731696.0,3432815.0,0.11
1108,幸福,108,Q1,114/10/29,-29773.0,-29773.0,-29773.0,834345.0,807682.0,-0.07
1108,幸福,108,Q3,114/10/29,-899.0,-899.0,-899.0,2660105.0,2473905.0,0.0
1109,信大,108,Q3,114/10/29,1003452.0,1003452.0,640589.0,5620429.0,3772459.0,1.87
1109,信大,108,Q2,114/10/29,581131.0,581131.0,355818.0,3572170.0,2418983.0,1.04
1109,信大,108,Q4,114/10/29,1458617.0,1458617.0,963670.0,7822895.0,5218440.0,2.82
1109,信大,108,Q1,114/10/29,202592.0,202592.0,128050.0,1360434.0,971109.0,0.37
1110,東泥,108,Q2,114/10/29,25036.0,25036.0,24861.0,781597.0,747413.0,0.04
1110,東泥,108,Q1,114/10/29,29820.0,29820.0,29748.0,417039.0,382106.0,0.05
1110,東泥,108,Q3,114/10/29,39047.0,39047.0,38890.0,1138816.0,1087470.0,0.07
1110,東泥,108,Q4,114/10/29,33243.0,33243.0,33133.0,1584940.0,1502651.0,0.06
1201,味全,108,Q4,114/10/29,1350879.0,1350879.0,1349985.0,20228119.0,14105933.0,2.67
1201,味全,108,Q1,114/10/29,1119246.0,1119246.0,1119005.0,4540795.0,3190931.0,2.21
1201,味全,108,Q3,114/10/29,1292356.0,1292356.0,1291702.0,15431845.0,10628859.0,2.55
1201,味全,108,Q2,114/10/29,1167795.0,1167795.0,1167361.0,9773386.0,6817356.0,2.31
1203,味王,108,Q3,114/10/29,529610.0,529610.0,346651.0,4703855.0,3236501.0,1.46
1203,味王,108,Q1,114/10/29,180585.0,180585.0,119333.0,1486287.0,1022486.0,0.5
1203,味王,108,Q4,114/10/29,717479.0,717479.0,456880.0,6323237.0,4343282.0,1.92
1203,味王,108,Q2,114/10/29,359908.0,359908.0,243209.0,3052938.0,2086767.0,1.02
1210,大成,108,Q2,114/10/29,1213490.0,1213490.0,1052034.0,37169736.0,31691578.0,1.42
1210,大成,108,Q4,114/10/29,2974027.0,2974027.0,2283601.0,77769986.0,66038732.0,2.93
1210,大成,108,Q1,114/10/29,499745.0,499745.0,479948.0,18186187.0,15531111.0,0.65
1210,大成,108,Q3,114/10/29,2188058.0,2188058.0,1808402.0,56773250.0,48106408.0,2.32
1213,大飲,108,Q4,114/10/29,-43093.0,-43093.0,-43093.0,435368.0,408362.0,-0.76
1213,大飲,108,Q3,114/10/29,-35694.0,-35694.0,-35694.0,354947.0,333656.0,-0.63
1213,大飲,108,Q2,114/10/29,-22990.0,-22990.0,-22990.0,226003.0,208371.0,-0.41
1213,大飲,108,Q1,114/10/29,-9256.0,-9256.0,-9256.0,132403.0,117576.0,-0.16
1215,卜蜂,108,Q4,114/10/29,1823383.0,1823383.0,1463926.0,21173634.0,18151257.0,5.46
1215,卜蜂,108,Q3,114/10/29,957471.0,957471.0,939821.0,15575358.0,13244203.0,3.51
1215,卜蜂,108,Q1,114/10/29,249305.0,249305.0,242130.0,5035297.0,4312694.0,0.9
1215,卜蜂,108,Q2,114/10/29,649247.0,649247.0,631874.0,10185768.0,8629252.0,2.36
1216,統一,108,Q2,114/10/29,16397827.0,16397827.0,11045991.0,222271655.0,144681557.0,1.94
1216,統一,108,Q3,114/10/29,24044483.0,24044483.0,16193209.0,343353755.0,223075955.0,2.85
1216,統一,108,Q1,114/10/29,7824113.0,7824113.0,5275915.0,107791643.0,70689331.0,0.93
1216,統一,108,Q4,114/10/29,28483554.0,28483554.0,19007255.0,447977703.0,294014598.0,3.35
1217,愛之味,108,Q2,114/10/29,25570.0,25570.0,17569.0,2052804.0,1387470.0,0.04
1217,愛之味,108,Q4,114/10/29,65333.0,65333.0,48069.0,4468238.0,3057727.0,0.1
1217,愛之味,108,Q1,114/10/29,16528.0,16528.0,13114.0,996828.0,688627.0,0.03
1217,愛之味,108,Q3,114/10/29,110310.0,110310.0,97221.0,3614468.0,2448000.0,0.2
1218,泰山,108,Q1,114/10/29,105533.0,105533.0,105471.0,1731205.0,1417423.0,0.22
1218,泰山,108,Q3,114/10/29,507934.0,507934.0,507658.0,6080600.0,4922457.0,1.04
1218,泰山,108,Q2,114/10/29,242840.0,242840.0,242654.0,3616876.0,2967991.0,0.5
1218,泰山,108,Q4,114/10/29,582201.0,582201.0,582073.0,8000584.0,6545893.0,1.2
1219,福壽,108,Q3,114/10/29,19408.0,19408.0,72561.0,9044423.0,8300942.0,0.23
1219,福壽,108,Q4,114/10/29,141379.0,141379.0,203114.0,12259254.0,11262328.0,0.63
1219,福壽,108,Q2,114/10/29,7021.0,7021.0,44315.0,5978789.0,5492213.0,0.14
1219,福壽,108,Q1,114/10/29,15063.0,15063.0,32849.0,2966586.0,2697140.0,0.1
1220,台榮,108,Q2,114/10/29,43633.0,43633.0,34184.0,1307138.0,1135898.0,0.19
1220,台榮,108,Q3,114/10/29,92161.0,92161.0,81096.0,2075906.0,1780953.0,0.46
1220,台榮,108,Q1,114/10/29,15096.0,15096.0,9106.0,612597.0,544462.0,0.05
1220,台榮,108,Q4,114/10/29,140084.0,140084.0,125748.0,2982351.0,2563623.0,0.71
1225,福懋油,108,Q2,114/10/29,172152.0,172152.0,150752.0,5111461.0,4645095.0,0.69
1225,福懋油,108,Q4,114/10/29,395480.0,395480.0,339004.0,10646506.0,9633963.0,1.55
1225,福懋油,108,Q3,114/10/29,279965.0,279965.0,242607.0,7838370.0,7116626.0,1.11
1225,福懋油,108,Q1,114/10/29,86918.0,86918.0,78216.0,2477770.0,2238002.0,0.36
1227,佳格,108,Q4,114/10/29,3454836.0,3454836.0,3416097.0,31266232.0,21635219.0,3.76
1227,佳格,108,Q1,114/10/29,798264.0,798264.0,788649.0,7337166.0,5101301.0,0.87
1227,佳格,108,Q3,114/10/29,2466147.0,2466147.0,2439979.0,21404896.0,14674715.0,2.69
1227,佳格,108,Q2,114/10/29,1415264.0,1415264.0,1399795.0,13407620.0,9319511.0,1.54
1229,聯華,108,Q2,114/10/29,1285233.0,1285233.0,1309712.0,3253332.0,2726267.0,1.25
1229,聯華,108,Q4,114/10/29,3146096.0,3146096.0,2766816.0,8271293.0,6401664.0,2.51
1229,聯華,108,Q1,114/10/29,1050155.0,1050155.0,1050100.0,1228699.0,1027385.0,1.0
1229,聯華,108,Q3,114/10/29,2677060.0,2677060.0,2311739.0,5970777.0,4474654.0,2.1
1231,聯華食,108,Q1,114/10/29,110576.0,110576.0,109862.0,2118070.0,1674529.0,0.66
1231,聯華食,108,Q3,114/10/29,308736.0,308736.0,307865.0,6316123.0,5020616.0,1.76
1231,聯華食,108,Q4,114/10/29,524680.0,524680.0,523633.0,8588903.0,6729864.0,3.0
1231,聯華食,108,Q2,114/10/29,204004.0,204004.0,203247.0,4149226.0,3298972.0,1.22
1232,大統益,108,Q3,114/10/29,759629.0,759629.0,741000.0,12609329.0,11108998.0,4.63
1232,大統益,108,Q2,114/10/29,520990.0,520990.0,508786.0,8230892.0,7218718.0,3.18
1232,大統益,108,Q4,114/10/29,999104.0,999104.0,974572.0,17150108.0,15131192.0,6.09
1232,大統益,108,Q1,114/10/29,303519.0,303519.0,297132.0,4159273.0,3591668.0,1.86
1233,天仁,108,Q4,114/10/29,156896.0,156896.0,156589.0,2247585.0,946584.0,1.73
1233,天仁,108,Q2,114/10/29,85845.0,85845.0,85639.0,1099704.0,461333.0,0.95
1233,天仁,108,Q1,114/10/29,44237.0,44237.0,44107.0,562634.0,231594.0,0.49
1233,天仁,108,Q3,114/10/29,124838.0,124838.0,124583.0,1670542.0,702756.0,1.38
1234,黑松,108,Q2,114/10/29,322329.0,322329.0,322329.0,4151197.0,3164772.0,0.8
1234,黑松,108,Q3,114/10/29,684699.0,684699.0,684699.0,6751798.0,4946361.0,1.7
1234,黑松,108,Q1,114/10/29,164898.0,164898.0,164898.0,2145267.0,1698764.0,0.41
1234,黑松,108,Q4,114/10/29,846511.0,846511.0,846511.0,9145655.0,6695015.0,2.11
1235,興泰,108,Q1,114/10/29,-36145.0,-36145.0,-36145.0,4696.0,4607.0,-0.42
1235,興泰,108,Q3,114/10/29,52123.0,52123.0,52123.0,47978.0,21555.0,0.54
1235,興泰,108,Q4,114/10/29,46889.0,46889.0,46889.0,61778.0,30508.0,0.49
1235,興泰,108,Q2,114/10/29,-53354.0,-53354.0,-53354.0,13371.0,12260.0,-0.56
1236,宏亞,108,Q4,114/10/29,15779.0,15779.0,15779.0,1864663.0,1362092.0,0.15
1236,宏亞,108,Q2,114/10/29,-43595.0,-43595.0,-43595.0,820821.0,634518.0,-0.4
