代號,名稱,年度,季別,除息交易日,收益分配基準日,收益分配發放日,配息,公告年度
0050,元大台灣50,112,M01,112年01月30日,112年02月05日,112年03月07日,2.6,112
0050,元大台灣50,112,M07,113年07月16日,113年07月22日,113年08月09日,1.0,113
0050,元大台灣50,112,M01,113年01月17日,113年01月23日,113年02月21日,3.0,113
0050,元大台灣50,112,M07,112年07月18日,112年07月24日,112年08月11日,1.9,112
0051,元大中型100,112,M11,113年11月18日,113年11月24日,113年12月12日,2.46,113
0051,元大中型100,112,M11,112年11月16日,112年11月22日,112年12月12日,2.5,112
0052,富邦科技,112,M04,113年04月18日,113年04月24日,113年05月15日,6.43,113
0052,富邦科技,112,M04,112年04月21日,112年04月29日,112年05月18日,4.0,112
0053,元大電子,112,M11,113年11月18日,113年11月24日,113年12月12日,2.0,113
0053,元大電子,112,M11,112年11月16日,112年11月22日,112年12月12日,1.9,112
0055,元大MSCI金融,112,M11,113年11月18日,113年11月24日,113年12月12日,1.18,113
0055,元大MSCI金融,112,M11,112年11月16日,112年11月22日,112年12月12日,0.6,112
0056,元大高股息,112,M10,112年10月19日,112年10月25日,112年11月14日,1.2,112
0056,元大高股息,112,M07,112年07月18日,112年07月24日,112年08月11日,1.0,112
0056,元大高股息,112,M01,113年01月17日,113年01月23日,113年02月21日,0.7,113
0056,元大高股息,112,M07,113年07月16日,113年07月22日,113年08月09日,1.07,113
0056,元大高股息,112,M10,113年10月17日,113年10月23日,113年11月12日,1.07,113
0056,元大高股息,112,M01,114年01月17日,114年01月25日,114年02月20日,,113
0056,元大高股息,112,M04,113年04月18日,113年04月24日,113年05月15日,0.79,113
006203,元大MSCI台灣,112,M01,112年01月30日,112年02月05日,112年03月02日,1.23,112
006203,元大MSCI台灣,112,M01,113年01月17日,113年01月23日,113年02月21日,1.8,113
006203,元大MSCI台灣,112,M07,113年07月16日,113年07月22日,113年08月09日,0.9,113
006203,元大MSCI台灣,112,M07,112年07月18日,112年07月24日,112年08月11日,0.9,112
006204,永豐臺灣加權,112,M10,112年10月19日,112年10月27日,112年11月17日,3.959,112
006204,永豐臺灣加權,112,M10,113年10月24日,113年10月30日,113年11月19日,0.7,113
006208,富邦台50,112,M11,113年11月18日,113年11月24日,113年12月12日,0.9,113
006208,富邦台50,112,M07,112年07月18日,112年07月24日,112年08月11日,1.352,112
006208,富邦台50,112,M11,112年11月16日,112年11月22日,112年12月12日,0.861,112
006208,富邦台50,112,M07,113年07月16日,113年07月22日,113年08月09日,0.783,113
00690,兆豐臺灣藍籌30,112,M11,113年11月19日,113年11月25日,113年12月06日,0.8,113
00690,兆豐臺灣藍籌30ETF,112,M05,112年05月22日,112年05月28日,112年06月14日,1.5,112
00690,兆豐臺灣藍籌30,112,M08,113年08月16日,113年08月24日,113年09月04日,1.0,113
00690,兆豐臺灣藍籌30ETF,112,M03,113年03月04日,113年03月10日,113年03月26日,0.75,113
00690,兆豐臺灣藍籌30,112,M11,112年11月21日,112年11月27日,112年12月14日,1.0,112
00690,兆豐臺灣藍籌30,112,M05,113年05月16日,113年05月24日,113年06月17日,0.9,113
00692,富邦公司治理,112,M11,113年11月18日,113年11月24日,113年12月12日,0.6,113
00692,富邦公司治理,112,M11,112年11月16日,112年11月22日,112年12月12日,1.062,112
00692,富邦公司治理,112,M07,113年07月16日,113年07月22日,113年08月09日,0.415,113
00692,富邦公司治理,112,M07,112年07月18日,112年07月24日,112年08月11日,0.732,112
00701,國泰股利精選30,112,M01,114年01月17日,114年01月25日,114年02月18日,,113
00701,國泰股利精選30,112,M01,112年01月30日,112年02月05日,112年03月02日,0.66,112
00701,國泰股利精選30,112,M08,113年08月16日,113年08月24日,113年09月11日,0.3,113
00701,國泰股利精選30,112,M01,113年01月17日,113年01月23日,113年02月17日,0.79,113
00701,國泰股利精選30,112,M08,112年08月16日,112年08月22日,112年09月11日,0.2,112
00702,國泰標普低波高息,112,M07,113年07月16日,113年07月22日,113年08月09日,0.66,113
00702,國泰標普低波高息,112,M01,113年01月17日,113年01月23日,113年02月17日,0.3,113
00702,國泰標普低波高息,112,M07,112年07月18日,112年07月24日,112年08月11日,0.3,112
00702,國泰標普低波高息,112,M01,112年01月30日,112年02月05日,112年03月02日,0.29,112
00710B,FH彭博非投等債,112,M03,112年03月21日,112年03月27日,112年04月20日,0.26,112
00710B,復華彭博非投等債,112,M09,113年09月19日,113年09月25日,113年10月16日,0.24,113
00710B,復華彭博非投等債,112,M03,113年03月19日,113年03月25日,113年04月16日,0.23,113
00710B,復華彭博非投等債,112,M09,112年09月19日,112年09月25日,112年10月18日,0.26,112
00710B,復華彭博非投等債,112,M12,113年12月18日,113年12月24日,114年01月14日,0.26,113
00710B,復華彭博非投等債,112,M06,112年06月20日,112年06月26日,112年07月14日,0.26,112
00710B,復華彭博非投等債,112,M06,113年06月20日,113年06月26日,113年07月16日,0.26,113
00710B,復華彭博非投等債,112,M12,112年12月20日,112年12月26日,113年01月17日,0.26,112
00711B,復華彭博新興債,112,M06,113年06月20日,113年06月26日,113年07月16日,0.19,113
00711B,復華彭博新興債,112,M12,112年12月20日,112年12月26日,113年01月17日,0.19,112
00711B,復華彭博新興債,112,M09,113年09月19日,113年09月25日,113年10月16日,0.2,113
00711B,復華彭博新興債,112,M03,113年03月19日,113年03月25日,113年04月16日,0.2,113
00711B,復華彭博新興債,112,M06,112年06月20日,112年06月26日,112年07月14日,0.19,112
00711B,FH彭博新興債,112,M03,112年03月21日,112年03月27日,112年04月20日,0.19,112
00711B,復華彭博新興債,112,M12,113年12月18日,113年12月24日,114年01月14日,0.19,113
00711B,復華彭博新興債,112,M09,112年09月19日,112年09月25日,112年10月18日,0.19,112
00712,復華富時不動產,112,M03,113年03月19日,113年03月25日,113年04月16日,0.18,113
00712,復華富時不動產,112,M06,113年06月20日,113年06月26日,113年07月16日,0.22,113
00712,復華富時不動產,112,M06,112年06月20日,112年06月26日,112年07月14日,0.27,112
00712,復華富時不動產,112,M09,112年09月19日,112年09月25日,112年10月18日,0.19,112
00712,復華富時不動產,112,M12,113年12月18日,113年12月24日,114年01月14日,0.185,113
00712,FH富時不動產,112,M03,112年03月21日,112年03月27日,112年04月20日,0.24,112
00712,復華富時不動產,112,M09,113年09月19日,113年09月25日,113年10月16日,0.2,113
00712,復華富時不動產,112,M12,112年12月20日,112年12月26日,113年01月17日,0.2,112
00713,元大台灣高息低波,112,M03,112年03月17日,112年03月25日,112年04月25日,0.68,112
00713,元大台灣高息低波,112,M06,112年06月16日,112年06月24日,112年07月14日,0.68,112
00713,元大台灣高息低波,112,M09,112年09月18日,112年09月24日,112年10月17日,0.84,112
00713,元大台灣高息低波,112,M12,113年12月17日,113年12月23日,114年01月13日,1.4,113
00713,元大台灣高息低波,112,M09,113年09月18日,113年09月24日,113年10月15日,1.5,113
00713,元大台灣高息低波,112,M03,113年03月18日,113年03月24日,113年04月15日,0.88,113
00713,元大台灣高息低波,112,M12,112年12月18日,112年12月24日,113年01月12日,0.84,112
00713,元大台灣高息低波,112,M06,113年06月19日,113年06月25日,113年07月15日,1.5,113
00714,群益道瓊美國地產,112,M10,113年10月22日,113年10月28日,113年11月12日,0.123,113
00714,群益道瓊美國地產,112,M07,113年07月19日,113年07月27日,113年08月09日,0.123,113
00714,群益道瓊美國地產,112,M07,112年07月18日,112年07月24日,112年08月11日,0.12,112
00714,群益道瓊美國地產,112,M04,112年04月21日,112年04月29日,112年05月18日,0.133,112
00714,群益道瓊美國地產,112,M10,112年10月19日,112年10月25日,112年11月14日,0.112,112
00714,群益道瓊美國地產,112,M04,113年04月18日,113年04月24日,113年05月15日,0.123,113
00714,群益道瓊美國地產,112,M01,112年01月30日,112年02月05日,112年02月23日,0.117,112
00714,群益道瓊美國地產,112,M01,113年01月17日,113年01月23日,113年02月21日,0.123,113
00717,富邦美國特別股,112,M07,113年07月16日,113年07月22日,113年08月09日,0.173,113
00717,富邦美國特別股,112,M10,113年10月17日,113年10月23日,113年11月11日,0.167,113
00717,富邦美國特別股,112,M01,113年01月17日,113年01月23日,113年02月17日,0.159,113
00717,富邦美國特別股,112,M10,112年10月19日,112年10月25日,112年11月14日,0.176,112
00717,富邦美國特別股,112,M01,112年01月31日,112年02月06日,112年02月24日,0.154,112
00717,富邦美國特別股,112,M04,112年04月21日,112年04月29日,112年05月18日,0.144,112
00717,富邦美國特別股,112,M07,112年07月18日,112年07月24日,112年08月11日,0.156,112
00717,富邦美國特別股,112,M04,113年04月18日,113年04月24日,113年05月15日,0.166,113
00728,第一金工業30,112,M12,113年12月19日,113年12月27日,114年01月13日,0.771,113
00728,第一金工業30,112,M01,113年01月19日,113年01月27日,113年02月21日,1.3,113
00728,第一金工業30,112,M02,112年02月01日,112年02月07日,112年03月06日,0.93,112
00730,富邦臺灣優質高息,112,M12,113年12月17日,113年12月23日,114年01月10日,0.086,113
00730,富邦臺灣優質高息,112,M10,112年10月19日,112年10月25日,112年11月14日,1.136,112
00730,富邦臺灣優質高息,112,M10,113年10月17日,113年10月23日,113年11月11日,1.3,113
00731,復華富時高息低波,112,M08,113年08月20日,113年08月26日,113年09月13日,3.38,113
00731,復華富時高息低波,112,M05,113年05月21日,113年05月27日,113年06月17日,3.38,113
00731,復華富時高息低波,112,M11,113年11月19日,113年11月25日,113年12月13日,2.38,113
00731,復華富時高息低波,112,M02,113年02月29日,113年03月06日,113年03月26日,1.21,113
00731,復華富時高息低波,112,M11,112年11月21日,112年11月27日,112年12月15日,1.1,112
00731,復華富時高息低波,112,M08,112年08月17日,112年08月23日,112年09月12日,1.22,112
00733,富邦臺灣中小,112,M04,112年04月21日,112年04月29日,112年05月18日,0.114,112
00733,富邦臺灣中小,112,M04,113年04月18日,113年04月24日,113年05月15日,5.153,113
00733,富邦臺灣中小,112,M10,113年10月17日,113年10月23日,113年11月11日,1.321,113
00733,富邦臺灣中小,112,M10,112年10月19日,112年10月25日,112年11月14日,1.2,112
00735,國泰臺韓科技,112,M07,112年07月18日,112年07月24日,112年08月11日,1.2,112
00735,國泰臺韓科技,112,M01,113年01月17日,113年01月23日,113年02月17日,1.1,113
00735,國泰臺韓科技,112,M01,112年01月30日,112年02月05日,112年03月02日,0.32,112
00735,國泰臺韓科技,112,M07,113年07月16日,113年07月22日,113年08月09日,2.73,113
00736,國泰富時新興市場,112,M07,112年07月18日,112年07月24日,112年08月11日,0.13,112
00736,國泰新興市場,112,M07,113年07月16日,113年07月22日,113年08月09日,0.13,113
00736,國泰富時新興市場,112,M01,112年01月30日,112年02月05日,112年03月02日,0.19,112
00736,國泰新興市場,112,M01,113年01月17日,113年01月23日,113年02月17日,0.1,113
00739,元大MSCI A股,112,M10,113年10月17日,113年10月23日,113年11月12日,0.5,113
00770,國泰北美科技,112,M01,113年01月17日,113年01月23日,113年02月17日,4.0,113
00770,國泰北美科技,112,M01,112年01月30日,112年02月05日,112年03月02日,2.8,112
00771,元大US高息特別股,112,M08,112年08月16日,112年08月22日,112年09月11日,0.19,112
00771,元大US高息特別股,112,M02,113年02月27日,113年03月05日,113年03月25日,0.2,113
00771,元大US高息特別股,112,M11,112年11月16日,112年11月22日,112年12月12日,0.18,112
00771,元大US高息特別股,112,M02,112年02月16日,112年02月22日,112年03月21日,0.18,112
00771,元大US高息特別股,112,M05,112年05月17日,112年05月23日,112年06月15日,0.18,112
00771,元大US高息特別股,112,M11,113年11月18日,113年11月24日,113年12月12日,0.22,113
00771,元大US高息特別股,112,M05,113年05月17日,113年05月25日,113年06月14日,0.21,113
00771,元大US高息特別股,112,M08,113年08月16日,113年08月24日,113年09月12日,0.22,113
00775B,新光投等債15+,112,M05,113年05月21日,113年05月27日,113年06月18日,0.32,113
00775B,新光投等債15+,112,M08,112年08月18日,112年08月26日,112年09月15日,0.3,112
00775B,新光投等債15+,112,M05,112年05月19日,112年05月27日,112年06月16日,0.32,112
00775B,新光投等債15+,112,M11,113年11月20日,113年11月26日,113年12月17日,0.57,113
00775B,新光投等債15+,112,M11,112年11月20日,112年11月26日,112年12月15日,0.35,112
00775B,新光投等債15+,112,M02,112年02月20日,112年02月26日,112年03月23日,0.39,112
00775B,新光投等債15+,112,M08,113年08月20日,113年08月26日,113年09月16日,0.43,113
00775B,新光投等債15+,112,M03,113年03月01日,113年03月09日,113年03月29日,0.145,113
00830,國泰費城半導體,112,M01,112年01月30日,112年02月05日,112年03月02日,0.12,112
00830,國泰費城半導體,112,M01,113年01月17日,113年01月23日,113年02月17日,1.51,113
00850,元大臺灣ESG永續,112,M08,112年08月16日,112年08月22日,112年09月11日,0.68,112
00850,元大臺灣ESG永續,112,M02,113年02月27日,113年03月05日,113年03月25日,0.43,113
00850,元大臺灣ESG永續,112,M08,113年08月16日,113年08月24日,113年09月12日,0.62,113
00850,元大臺灣ESG永續,112,M11,113年11月18日,113年11月24日,113年12月12日,0.65,113
00850,元大臺灣ESG永續,112,M11,112年11月16日,112年11月22日,112年12月12日,0.7,112
00850,元大臺灣ESG永續,112,M05,113年05月17日,113年05月25日,113年06月14日,0.54,113
00878,國泰永續高股息,112,M02,112年02月16日,112年02月22日,112年03月22日,0.27,112
00878,國泰永續高股息,112,M11,112年11月16日,112年11月24日,112年12月12日,0.35,112
00878,國泰永續高股息,112,M11,113年11月18日,113年11月24日,113年12月12日,0.55,113
00878,國泰永續高股息,112,M08,112年08月16日,112年08月22日,112年09月11日,0.35,112
00878,國泰永續高股息,112,M05,113年05月17日,113年05月25日,113年06月13日,0.51,113
00878,國泰永續高股息,112,M02,113年02月27日,113年03月05日,113年03月25日,0.4,113
00878,國泰永續高股息,112,M05,112年05月17日,112年05月23日,112年06月12日,0.27,112
00878,國泰永續高股息,112,M08,113年08月16日,113年08月24日,113年09月11日,0.55,113
00881,國泰台灣5G+,112,M08,112年08月16日,112年08月22日,112年09月11日,0.46,112
00881,國泰台灣5G+,112,M01,114年01月17日,114年01月25日,114年02月18日,,113
00881,國泰台灣5G+,112,M01,113年01月17日,113年01月23日,113年02月17日,0.75,113
00881,國泰台灣5G+,112,M01,112年01月30日,112年02月05日,112年03月02日,0.35,112
00881,國泰台灣5G+,112,M08,113年08月16日,113年08月24日,113年09月11日,1.0,113
00882,中信中國高股息,112,M01,113年01月17日,113年01月23日,113年02月21日,0.26,113
00882,中信中國高股息,112,M07,113年07月16日,113年07月22日,113年08月09日,0.4,113
00882,中信中國高股息,112,M01,112年01月17日,112年01月23日,112年02月20日,0.3,112
00882,中信中國高股息,112,M07,112年07月18日,112年07月24日,112年08月11日,0.4,112
00891,中信關鍵半導體,112,M08,112年08月16日,112年08月22日,112年09月11日,0.22,112
00891,中信關鍵半導體,112,M02,112年02月16日,112年02月22日,112年03月20日,0.11,112
00891,中信關鍵半導體,112,M05,113年05月17日,113年05月25日,113年06月13日,0.4,113
00891,中信關鍵半導體,112,M11,112年11月16日,112年11月22日,112年12月12日,0.27,112
00891,中信關鍵半導體,112,M02,113年02月27日,113年03月05日,113年03月25日,0.32,113
00891,中信關鍵半導體,112,M05,112年05月17日,112年05月23日,112年06月12日,0.13,112
00891,中信關鍵半導體,112,M11,113年11月18日,113年11月24日,113年12月12日,0.49,113
00891,中信關鍵半導體,112,M08,113年08月16日,113年08月24日,113年09月11日,0.41,113
00892,富邦台灣半導體,112,M11,112年11月16日,112年11月22日,112年12月12日,0.198,112
00892,富邦台灣半導體,112,M07,112年07月18日,112年07月24日,112年08月11日,0.281,112
00892,富邦台灣半導體,112,M11,113年11月18日,113年11月24日,113年12月12日,0.24,113
00892,富邦台灣半導體,112,M07,113年07月16日,113年07月22日,113年08月09日,0.145,113
00894,中信小資高價30,112,M11,112年11月16日,112年11月22日,112年12月12日,0.09,112
00894,中信小資高價30,112,M02,113年02月27日,113年03月05日,113年03月25日,0.1,113
00894,中信小資高價30,112,M02,112年02月16日,112年02月22日,112年03月20日,0.1,112
00894,中信小資高價30,112,M08,112年08月16日,112年08月22日,112年09月11日,0.26,112
00894,中信小資高價30,112,M08,113年08月16日,113年08月24日,113年09月11日,0.7,113
00894,中信小資高價30,112,M11,113年11月18日,113年11月24日,113年12月12日,0.6,113
00894,中信小資高價30,112,M05,113年05月17日,113年05月25日,113年06月13日,0.1,113
00894,中信小資高價30,112,M05,112年05月17日,112年05月23日,112年06月12日,0.1,112
00896,中信綠能及電動車,112,M03,112年03月16日,112年03月22日,112年04月14日,0.15,112
00896,中信綠能及電動車,112,M09,113年09月18日,113年09月24日,113年10月15日,0.27,113
00896,中信綠能及電動車,112,M12,113年12月17日,113年12月23日,114年01月13日,0.45,113
00896,中信綠能及電動車,112,M06,113年06月19日,113年06月25日,113年07月15日,0.45,113
00896,中信綠能及電動車,112,M06,112年06月16日,112年06月24日,112年07月14日,0.15,112
00896,中信綠能及電動車,112,M09,112年09月18日,112年09月24日,112年10月17日,0.33,112
00896,中信綠能及電動車,112,M12,112年12月18日,112年12月24日,113年01月12日,0.3,112
00896,中信綠能及電動車,112,M06,113年06月20日,113年06月26日,113年07月15日,,113
00896,中信綠能及電動車,112,M03,113年03月18日,113年03月24日,113年04月15日,0.34,113
00900,富邦特選高股息30,112,M11,113年11月18日,113年11月24日,113年12月12日,0.1,113
00900,富邦特選高股息30,112,M11,112年11月16日,112年11月22日,112年12月12日,0.224,112
00900,富邦特選高股息30,112,M08,113年08月16日,113年08月24日,113年09月11日,0.792,113
00900,富邦特選高股息30,112,M02,112年02月16日,112年02月22日,112年03月21日,0.12,112
00900,富邦特選高股息30,112,M02,113年02月27日,113年03月05日,113年03月25日,0.12,113
00900,富邦特選高股息30,112,M05,112年05月17日,112年05月23日,112年06月12日,0.017,112
00900,富邦特選高股息30,112,M08,112年08月16日,112年08月22日,112年09月11日,0.61,112
00900,富邦特選高股息30,112,M12,113年12月17日,113年12月23日,114年01月10日,0.1,113
00900,富邦特選高股息30,112,M05,113年05月17日,113年05月25日,113年06月13日,0.1,113
00901,永豐智能車供應鏈,112,M11,113年11月26日,113年12月02日,113年12月20日,0.9,113
00901,永豐智能車供應鏈,112,M11,112年11月16日,112年11月22日,112年12月13日,0.628,112
00904,新光臺灣半導體30,112,M07,112年07月20日,112年07月28日,112年08月18日,0.11,112
00904,新光臺灣半導體30,112,M04,113年04月22日,113年04月28日,113年05月20日,0.05,113
00904,新光臺灣半導體30,112,M04,112年04月25日,112年05月01日,112年05月22日,0.105,112
00904,新光臺灣半導體30,112,M01,113年01月19日,113年01月27日,113年02月27日,0.35,113
00904,新光臺灣半導體30,112,M10,113年10月21日,113年10月27日,113年11月15日,0.15,113
00904,新光臺灣半導體30,112,M07,113年07月18日,113年07月24日,113年08月14日,0.1,113
00904,新光臺灣半導體30,112,M10,112年10月23日,112年10月29日,112年11月17日,0.13,112
00904,新光臺灣半導體30,112,M02,112年02月01日,112年02月07日,112年03月06日,0.095,112
00905,FT臺灣Smart,112,M07,113年07月16日,113年07月22日,113年08月08日,0.37,113
00905,FT臺灣Smart,112,M10,112年10月19日,112年10月27日,112年11月17日,0.17,112
00905,FT臺灣Smart,112,M10,113年10月22日,113年10月28日,113年11月13日,0.32,113
00905,FT臺灣Smart,112,M02,112年02月01日,112年02月07日,112年03月06日,0.27,112
00905,FT臺灣Smart,112,M04,113年04月18日,113年04月26日,113年05月16日,0.21,113
00905,FT臺灣Smart,112,M07,112年07月18日,112年07月24日,112年08月14日,0.18,112
00907,永豐優息存股,112,M06,113年06月25日,113年07月01日,113年07月19日,0.33,113
00907,永豐優息存股,112,M08,113年08月23日,113年08月31日,113年09月20日,0.33,113
00907,永豐優息存股,112,M12,113年12月24日,113年12月30日,114年01月20日,0.22,113
00907,永豐優息存股,112,M10,113年10月24日,113年10月30日,113年11月19日,0.28,113
00907,永豐優息存股,112,M08,112年08月16日,112年08月22日,112年09月12日,0.308,112
00907,永豐優息存股,112,M10,112年10月19日,112年10月27日,112年11月17日,0.141,112
00907,永豐優息存股,112,M02,113年02月26日,113年03月04日,113年03月20日,0.141,113
00907,永豐優息存股,112,M12,112年12月18日,112年12月24日,113年01月15日,0.141,112
00907,永豐優息存股,112,M06,112年06月16日,112年06月24日,112年07月14日,0.074,112
00907,永豐優息存股,112,M04,112年04月21日,112年04月29日,112年05月22日,0.141,112
00907,永豐優息存股,112,M02,112年02月16日,112年02月22日,112年03月23日,0.141,112
00907,永豐優息存股,112,M04,113年04月22日,113年04月28日,113年05月20日,0.141,113
00908,富邦入息REITs+,112,M10,113年10月17日,113年10月23日,113年11月11日,0.133,113
00908,富邦入息REITs+,112,M01,113年01月17日,113年01月23日,113年02月17日,0.122,113
00908,富邦入息REITs+,112,M04,113年04月18日,113年04月24日,113年05月15日,0.144,113
00908,富邦入息REITs+,112,M10,112年10月19日,112年10月25日,112年11月14日,0.147,112
00908,富邦入息REITs+,112,M07,113年07月16日,113年07月22日,113年08月09日,0.245,113
00908,富邦入息REITs+,112,M01,112年01月31日,112年02月06日,112年02月24日,0.138,112
00908,富邦入息REITs+,112,M07,112年07月18日,112年07月24日,112年08月11日,0.175,112
00908,富邦入息REITs+,112,M04,112年04月21日,112年04月29日,112年05月18日,0.113,112
00909,國泰數位支付服務,112,M04,113年04月18日,113年04月26日,113年05月15日,1.81,113
00909,國泰數位支付服務,112,M04,112年04月21日,112年04月29日,112年05月18日,0.225,112
00911,兆豐洲際半導體,112,M07,113年07月17日,113年07月23日,113年08月13日,1.2,113
00911,兆豐洲際半導體,112,M01,113年01月22日,113年01月28日,113年02月22日,1.0,113
00912,中信臺灣智慧50,112,M04,112年04月21日,112年04月29日,112年05月18日,0.29,112
00912,中信臺灣智慧50,112,M10,113年10月17日,113年10月23日,113年11月12日,0.66,113
00912,中信臺灣智慧50,112,M10,112年10月19日,112年10月25日,112年11月14日,0.2,112
00912,中信臺灣智慧50,112,M01,112年01月17日,112年01月23日,112年02月20日,0.2,112
00912,中信臺灣智慧50,112,M07,112年07月18日,112年07月24日,112年08月11日,0.18,112
00912,中信臺灣智慧50,112,M04,113年04月18日,113年04月24日,113年05月15日,0.23,113
00912,中信臺灣智慧50,112,M07,113年07月16日,113年07月22日,113年08月09日,0.25,113
00912,中信臺灣智慧50,112,M01,113年01月17日,113年01月23日,113年02月21日,0.24,113
00913,兆豐台灣晶圓製造,112,M08,113年08月16日,113年08月24日,113年09月04日,0.66,113
00913,兆豐台灣晶圓製造,112,M02,112年02月21日,112年02月27日,112年03月20日,0.1,112
00913,兆豐台灣晶圓製造,112,M08,112年08月21日,112年08月27日,112年09月12日,0.7,112
00913,兆豐台灣晶圓製造,112,M03,113年03月04日,113年03月10日,113年03月26日,0.46,113
00915,凱基優選高股息30,112,M06,113年06月19日,113年06月25日,113年07月15日,0.72,113
00915,凱基優選高股息30,112,M09,112年09月18日,112年09月24日,112年10月17日,0.7,112
00915,凱基優選高股息30,112,M03,112年03月16日,112年03月22日,112年04月21日,0.22,112
00915,凱基優選高股息30,112,M12,112年12月18日,112年12月24日,113年01月12日,0.45,112
00915,凱基優選高股息30,112,M09,113年09月19日,113年09月25日,113年10月16日,0.82,113
00915,凱基優選高股息30,112,M06,112年06月16日,112年06月24日,112年07月13日,0.32,112
00915,凱基優選高股息30,112,M03,113年03月18日,113年03月24日,113年04月15日,0.72,113
00915,凱基優選高股息30,112,M12,113年12月17日,113年12月23日,114年01月13日,0.75,113
00916,國泰全球品牌50,112,M06,113年06月20日,113年06月26日,113年07月15日,0.22,113
00916,國泰全球品牌50,112,M06,112年06月16日,112年06月24日,112年07月14日,0.17,112
00917,中信特選金融,112,M01,113年01月17日,113年01月23日,113年02月21日,0.29,113
00918,大華優利高填息30,112,M03,113年03月18日,113年03月24日,113年04月15日,0.7,113
00918,大華優利高填息30,112,M06,113年06月19日,113年06月25日,113年07月15日,0.8,113
00918,大華優利高填息30,112,M09,112年09月18日,112年09月24日,112年10月17日,0.75,112
00918,大華優利高填息30,112,M12,113年12月19日,113年12月25日,114年01月13日,0.84,113
00918,大華優利高填息30,112,M09,113年09月19日,113年09月25日,113年10月15日,0.78,113
