代號,名稱,年度,季別,權益總計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
2736,富野,115,Q1,1457291.0,,,355253.0,2364131.0,298081.0,608759.0,47617.0,17.63
2740,華軒,115,Q1,141977.0,,,146423.0,199183.0,23191.0,34015.0,,8.47
2743,山富,115,Q1,1256327.0,,,2444054.0,3216754.0,1651178.0,309249.0,,26.84
2745,五福,115,Q1,1115006.0,,,2720730.0,2950940.0,1477375.0,358559.0,,32.98
2751,王座,115,Q1,472924.0,,,443340.0,1207931.0,407968.0,327039.0,67540.0,20.51
2752,豆府,115,Q1,1152999.0,,,1396458.0,2536069.0,968504.0,414566.0,21150.0,42.4
2754,亞洲藏壽司,115,Q1,1818451.0,,,799419.0,4965009.0,990967.0,2155591.0,,38.8
2755,揚秦,115,Q1,1147823.0,,,924424.0,2179243.0,521854.0,509566.0,,30.71
2756,聯發國際,115,Q1,524673.0,,,666431.0,1306499.0,555161.0,226665.0,,21.64
2801,彰銀,115,Q1,225976725.0,22046268.0,990491.0,,3481563454.0,,,,19.21
2812,台中銀,115,Q1,93585219.0,21256314.0,528541.0,,1016904606.0,,,0.0,15.54
2816,旺旺保,115,Q1,8481841.0,,,,25125030.0,,,,37.93
2820,華票,115,Q1,27875094.0,154719.0,,,264308740.0,,,,20.76
2832,台產,115,Q1,12230514.0,,,,25841065.0,,,,48.24
2834,臺企銀,115,Q1,149109625.0,13693539.0,1378038.0,,2555347612.0,,,,15.34
2836,高雄銀,115,Q1,27030013.0,3723413.0,141149.0,,352880627.0,,,,14.38
2838,聯邦銀,115,Q1,86105943.0,17445342.0,2150078.0,,1066591884.0,,,2043967.0,18.51
2845,遠東銀,115,Q1,71201864.0,5190367.0,1538210.0,,891493396.0,,,,14.63
2849,安泰銀,115,Q1,36508786.0,784016.0,278272.0,,398942212.0,,,,18.65
2850,新產,115,Q1,21839158.0,,,,58099283.0,,,,69.12
2851,中再保,115,Q1,23536611.0,,,,59204658.0,,,,29.41
2852,第一保,115,Q1,9412359.0,,,,19910531.0,,,,31.25
2855,統一證,115,Q1,41880051.0,,,256323628.0,267670154.0,220745648.0,5044455.0,174956.0,26.04
2867,三商壽,115,Q1,78115792.0,,,,1583200325.0,,,,13.24
2884,玉山金,115,Q1,285146822.0,34131566.0,7853265.0,,4679436007.0,,,410658.0,17.6
2885,元大金,115,Q1,386536982.0,30659710.0,30390164.0,,4640879682.0,,,27654989.0,26.92
2886,兆豐金,115,Q1,401953394.0,23281958.0,1629956.0,,5003279677.0,,,,27.1
2889,國票金,115,Q1,54765949.0,6916616.0,267455.0,,469578158.0,,,8212749.0,12.81
2891,中信金,115,Q1,594389506.0,54968342.0,40189688.0,,9627795130.0,,,30084463.0,27.97
2897,王道銀行,115,Q1,65297724.0,2592322.0,1750979.0,,714942709.0,,,20650919.0,14.72
2905,三商,115,Q1,86764624.0,,,133124099.0,1617410517.0,62246052.0,1468399841.0,57277804.0,28.0
2916,滿心,115,Q1,1485257.0,,,1454124.0,2192410.0,639099.0,68054.0,,22.98
2924,宏太-KY,115,Q1,463070.0,,,968298.0,1008637.0,544535.0,1032.0,,8.9
2926,誠品生活,115,Q1,613418.0,,,4238883.0,15323315.0,5246886.0,9463011.0,6378.0,12.81
2937,集雅社,115,Q1,1059919.0,,,2318223.0,3171870.0,2078051.0,33900.0,,24.34
2941,米斯特,115,Q1,338586.0,,,421409.0,629147.0,225190.0,65371.0,,22.0
2947,振宇五金,115,Q1,795623.0,,,888512.0,3055559.0,780973.0,1478963.0,,37.02
