代號,名稱,年度,季別,出表日期,淨利,本期淨利（淨損）,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1101,台泥,106,Q1,114/12/08,1163708.0,1163708.0,832244.0,21179771.0,18181041.0,0.23
1101,台泥,106,Q2,114/12/08,4234491.0,4234491.0,2981955.0,45893851.0,37627091.0,0.81
1101,台泥,106,Q4,114/12/08,10322800.0,10322800.0,7594247.0,98311776.0,79398862.0,2.03
1101,台泥,106,Q3,114/12/08,6921541.0,6921541.0,4948812.0,68952108.0,56428105.0,1.34
1102,亞泥,106,Q3,114/12/08,4329452.0,4329452.0,3777548.0,45349036.0,39387373.0,1.2
1102,亞泥,106,Q1,114/12/08,145793.0,145793.0,236681.0,12512699.0,11579630.0,0.08
1102,亞泥,106,Q4,114/12/08,6665541.0,6665541.0,5469007.0,64899248.0,54728230.0,1.74
1102,亞泥,106,Q2,114/12/08,2094945.0,2094945.0,1852449.0,28810785.0,25332829.0,0.59
1103,嘉泥,106,Q1,114/12/08,-107868.0,-107868.0,-111320.0,598477.0,465922.0,-0.17
1103,嘉泥,106,Q2,114/12/08,-85306.0,-85306.0,-100730.0,1058884.0,880761.0,-0.16
1103,嘉泥,106,Q3,114/12/08,-11400.0,-11400.0,-43054.0,1565230.0,1329146.0,-0.07
1103,嘉泥,106,Q4,114/12/08,977309.0,977309.0,895198.0,2095607.0,1813286.0,1.39
1104,環泥,106,Q4,114/12/08,1389535.0,1389535.0,1411666.0,4405376.0,3867468.0,2.16
1104,環泥,106,Q1,114/12/08,279247.0,279247.0,283869.0,1100655.0,961614.0,0.45
1104,環泥,106,Q3,114/12/08,1005954.0,1005954.0,1024017.0,3287855.0,2864059.0,1.57
1104,環泥,106,Q2,114/12/08,665869.0,665869.0,677570.0,2159763.0,1888763.0,1.04
1108,幸福,106,Q2,114/12/08,28389.0,28389.0,28764.0,1762458.0,1601301.0,0.07
1108,幸福,106,Q1,114/12/08,18645.0,18645.0,18766.0,894903.0,814049.0,0.05
