stock_code,stock_name,price,market,date,updated_at
00690,兆豐藍籌30,74.25,TSE,2026-07-24,2026-07-25 19:05:03
00692,富邦公司治理,87.15,TSE,2026-07-24,2026-07-25 19:05:03
00693U,期街口S&P黃豆,22.89,TSE,2026-07-24,2026-07-25 19:05:03
00700,富邦恒生國企,17.16,TSE,2026-07-24,2026-07-25 19:05:03
00701,國泰股利精選30,38.23,TSE,2026-07-24,2026-07-25 19:05:03
00702,國泰標普低波高息,25.0,TSE,2026-07-24,2026-07-25 19:05:03
00703,台新MSCI中國,19.44,TSE,2026-07-24,2026-07-25 19:05:03
00706L,期元大S&P日圓正2,18.05,TSE,2026-07-24,2026-07-25 19:05:03
00707R,期元大S&P日圓反1,0.0,TSE,2026-07-24,2026-07-25 19:05:03
00708L,期元大S&P黃金正2,69.5,TSE,2026-07-24,2026-07-25 19:05:03
00709,富邦歐洲,40.55,TSE,2026-07-24,2026-07-25 19:05:03
00710B,復華彭博非投等債,19.21,TSE,2026-07-24,2026-07-25 19:05:03
00711B,復華彭博新興債,15.88,TSE,2026-07-24,2026-07-25 19:05:03
00712,復華富時不動產,8.78,TSE,2026-07-24,2026-07-25 19:05:03
00713,元大台灣高息低波,61.0,TSE,2026-07-24,2026-07-25 19:05:03
00714,群益道瓊美國地產,22.68,TSE,2026-07-24,2026-07-25 19:05:03
00715L,期街口布蘭特正2,55.35,TSE,2026-07-24,2026-07-25 19:05:03
00717,富邦美國特別股,14.7,TSE,2026-07-24,2026-07-25 19:05:03
00728,第一金工業30,60.8,TSE,2026-07-24,2026-07-25 19:05:03
00730,富邦臺灣優質高息,28.18,TSE,2026-07-24,2026-07-25 19:05:03
00731,復華富時高息低波,89.1,TSE,2026-07-24,2026-07-25 19:05:03
00733,富邦臺灣中小,63.65,TSE,2026-07-24,2026-07-25 19:05:03
00735,國泰臺韓科技,97.5,TSE,2026-07-24,2026-07-25 19:05:03
00736,國泰新興市場,31.04,TSE,2026-07-24,2026-07-25 19:05:03
00737,國泰AI機器人,37.03,TSE,2026-07-24,2026-07-25 19:05:03
00738U,期元大道瓊白銀,46.27,TSE,2026-07-24,2026-07-25 19:05:03
00739,元大MSCI A股,28.3,TSE,2026-07-24,2026-07-25 19:05:03
00752,中信中國50,22.82,TSE,2026-07-24,2026-07-25 19:05:03
00753L,中信中國50正2,9.18,TSE,2026-07-24,2026-07-25 19:05:03
00757,統一FANG+,128.6,TSE,2026-07-24,2026-07-25 19:05:03
