代號,名稱,年度,季別,出表日期,淨利,本期淨利（淨損）,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1101,台泥,113,Q3,114/11/13,10367924.0,10367924.0,7363974.0,105588489.0,84276541.0,0.93
1101,台泥,113,Q1,114/11/13,2239346.0,2239346.0,1955674.0,25544599.0,21657138.0,0.26
1101,台泥,113,Q4,114/11/13,15629497.0,15629497.0,11259317.0,154606511.0,121878486.0,1.45
1101,台泥,113,Q2,114/11/13,5748808.0,5748808.0,4222745.0,64513447.0,53170416.0,0.51
1102,亞泥,113,Q1,114/11/13,2815657.0,2815657.0,2948055.0,16499750.0,14742676.0,0.89
1102,亞泥,113,Q3,114/11/13,8587134.0,8587134.0,9087900.0,55437725.0,48018509.0,2.72
1102,亞泥,113,Q4,114/11/13,12653279.0,12653279.0,12889728.0,76297459.0,65190325.0,3.86
1102,亞泥,113,Q2,114/11/13,6725058.0,6725058.0,7191646.0,35484522.0,30873861.0,2.16
1103,嘉泥,113,Q1,114/11/13,-43560.0,-43560.0,-38698.0,699142.0,594879.0,-0.06
1103,嘉泥,113,Q3,114/11/13,542701.0,542701.0,517895.0,2213179.0,1862363.0,0.79
1103,嘉泥,113,Q4,114/11/13,337411.0,337411.0,319580.0,2985357.0,2550390.0,0.48
1103,嘉泥,113,Q2,114/11/13,32192.0,32192.0,33298.0,1437444.0,1213991.0,0.05
1104,環泥,113,Q4,114/11/13,1530338.0,1530338.0,1482287.0,7953734.0,6355678.0,2.16
1104,環泥,113,Q2,114/11/13,651159.0,651159.0,631110.0,4000652.0,3183420.0,0.92
1104,環泥,113,Q3,114/11/13,1136550.0,1136550.0,1105588.0,5873438.0,4710193.0,1.61
1104,環泥,113,Q1,114/11/13,254582.0,254582.0,248142.0,1908572.0,1525149.0,0.37
1108,幸福,113,Q2,114/11/13,254736.0,254736.0,254736.0,2410081.0,1932515.0,0.63
1108,幸福,113,Q3,114/11/13,362658.0,362658.0,362658.0,3554781.0,2886591.0,0.9
1108,幸福,113,Q1,114/11/13,122112.0,122112.0,122112.0,1192968.0,967758.0,0.3
1108,幸福,113,Q4,114/11/13,493937.0,493937.0,493938.0,4867094.0,3939390.0,1.22
1109,信大,113,Q2,114/11/13,316928.0,316928.0,308724.0,2473105.0,1924825.0,0.9
1109,信大,113,Q3,114/11/13,391560.0,391560.0,370699.0,3532176.0,2799499.0,1.08
1109,信大,113,Q4,114/11/13,524281.0,524281.0,469398.0,4656290.0,3664642.0,1.38
1109,信大,113,Q1,114/11/13,106129.0,106129.0,119059.0,1097070.0,887220.0,0.35
1110,東泥,113,Q2,114/11/13,114170.0,114170.0,87886.0,1181516.0,986410.0,0.15
1110,東泥,113,Q1,114/11/13,45234.0,45234.0,28580.0,576896.0,478917.0,0.05
1110,東泥,113,Q3,114/11/13,326704.0,326704.0,287746.0,2072159.0,1686064.0,0.5
1110,東泥,113,Q4,114/11/13,377223.0,377223.0,348485.0,2872958.0,2349919.0,0.61
1201,味全,113,Q1,114/11/13,131559.0,131559.0,131329.0,5334450.0,3850093.0,0.26
1201,味全,113,Q3,114/11/13,375787.0,375787.0,375110.0,17746414.0,12843818.0,0.74
1201,味全,113,Q2,114/11/13,235161.0,235161.0,234707.0,11240318.0,8121489.0,0.46
