代號,名稱,年度,季別,權益總計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
1101,台泥,106,Q4,152647216.0,,,92719914.0,272557049.0,65192960.0,54716873.0,16299012.0,32.11
1101,台泥,106,Q2,145365403.0,,,79333009.0,262152090.0,63839647.0,52947040.0,39193194.0,28.76
1101,台泥,106,Q3,152966569.0,,,85320202.0,269457896.0,65268003.0,51223324.0,40744347.0,30.39
1101,台泥,106,Q1,147548321.0,,,76640360.0,259545778.0,55787736.0,56209721.0,39786724.0,29.19
1102,亞泥,106,Q3,144027917.0,,,47911706.0,246251990.0,53007414.0,49216659.0,17744886.0,37.57
1102,亞泥,106,Q1,138373448.0,,,44074607.0,242555857.0,49363721.0,54818688.0,17153073.0,36.06
1102,亞泥,106,Q4,145796364.0,,,50262702.0,247064348.0,53948167.0,47319817.0,18360799.0,37.91
1102,亞泥,106,Q2,137620469.0,,,53104700.0,247827318.0,61225180.0,48981669.0,17233289.0,35.81
1103,嘉泥,106,Q4,19260840.0,,,9106166.0,28317986.0,2317056.0,6740090.0,1749054.0,27.21
1103,嘉泥,106,Q3,18789797.0,,,8486539.0,27607315.0,1866524.0,6950994.0,1842671.0,26.33
1103,嘉泥,106,Q2,18568328.0,,,8190702.0,27598574.0,1801802.0,7228444.0,1823731.0,26.02
1103,嘉泥,106,Q1,16733484.0,,,8299482.0,25755820.0,1534639.0,7487697.0,1747818.0,23.29
1104,環泥,106,Q2,16059355.0,,,4208658.0,20721408.0,3311933.0,1350120.0,115318.0,25.13
1104,環泥,106,Q4,17154761.0,,,3863038.0,21229208.0,2730633.0,1343814.0,117858.0,26.07
1104,環泥,106,Q3,16262050.0,,,3726077.0,20443648.0,2831441.0,1350157.0,122282.0,24.69
1104,環泥,106,Q1,16397203.0,,,3710344.0,20320247.0,2573433.0,1349611.0,126898.0,25.64
1108,幸福,106,Q4,4428542.0,,,5121071.0,7236852.0,1925148.0,883162.0,26423.0,10.88
1108,幸福,106,Q3,4556062.0,,,5086181.0,7274366.0,2005914.0,712390.0,27040.0,11.19
1108,幸福,106,Q2,4567473.0,,,5097864.0,7373146.0,2092893.0,712780.0,29639.0,11.21
1108,幸福,106,Q1,4807863.0,,,5288809.0,7604033.0,2230857.0,565313.0,30016.0,11.8
1109,信大,106,Q3,6454012.0,,,2841309.0,8508197.0,1226137.0,828048.0,1021172.0,15.09
1109,信大,106,Q1,6275596.0,,,2576155.0,8274389.0,1061584.0,937209.0,898405.0,14.19
1109,信大,106,Q4,6795076.0,,,2977260.0,8576925.0,965063.0,816786.0,1132103.0,15.73
1109,信大,106,Q2,6453958.0,,,2895785.0,8555429.0,1172102.0,929369.0,966282.0,14.48
1110,東泥,106,Q3,8546049.0,,,1931616.0,9257637.0,394878.0,316710.0,40768.0,14.92
1110,東泥,106,Q4,8579809.0,,,2117646.0,9365291.0,460946.0,324536.0,39651.0,14.99
1110,東泥,106,Q1,8735315.0,,,1945925.0,9314471.0,264311.0,314845.0,131333.0,15.1
1110,東泥,106,Q2,8573009.0,,,1932784.0,9309384.0,420726.0,315649.0,40785.0,14.97
1201,味全,106,Q3,7159544.0,,,20365873.0,34382442.0,19866400.0,7356498.0,2496288.0,9.21
1201,味全,106,Q1,7068422.0,,,19955974.0,33780006.0,19170412.0,7541172.0,2546106.0,8.94
1201,味全,106,Q2,7101711.0,,,20079546.0,34015009.0,17943919.0,8969379.0,2516402.0,9.06
1201,味全,106,Q4,7807916.0,,,19706970.0,32862642.0,19050319.0,6004407.0,2633586.0,10.22
1203,味王,106,Q2,5192310.0,,,3950522.0,8716937.0,1948464.0,1576163.0,882295.0,18.13
1203,味王,106,Q3,5444944.0,,,4293561.0,9020407.0,1979971.0,1595492.0,979501.0,18.79
1203,味王,106,Q1,5362147.0,,,3886358.0,8649781.0,1699079.0,1588555.0,956089.0,18.54
1203,味王,106,Q4,5609073.0,,,4448701.0,9192281.0,1996670.0,1586538.0,1064961.0,19.12
1210,大成,106,Q1,20397119.0,,,20184033.0,37987904.0,15883874.0,1706911.0,5321553.0,22.06
1210,大成,106,Q2,20078776.0,,,19494101.0,37713380.0,16128995.0,1505609.0,5527398.0,21.29
1210,大成,106,Q3,20820376.0,,,19531764.0,38662801.0,15844994.0,1997431.0,5536052.0,22.36
1210,大成,106,Q4,21722937.0,,,21046907.0,40747852.0,16006605.0,3018310.0,5719609.0,23.41
1213,大飲,106,Q2,693772.0,,,480274.0,932858.0,207027.0,32059.0,,12.25
1213,大飲,106,Q4,696026.0,,,419697.0,864866.0,137183.0,31657.0,,12.29
1213,大飲,106,Q3,705754.0,,,477907.0,924919.0,187395.0,31770.0,,12.46
1213,大飲,106,Q1,699415.0,,,382554.0,831355.0,100139.0,31801.0,,12.35
1215,卜蜂,106,Q2,6279371.0,,,4961111.0,11717051.0,4453430.0,984250.0,256052.0,22.48
1215,卜蜂,106,Q4,6957514.0,,,5169541.0,13886122.0,5143742.0,1784866.0,280016.0,24.92
1215,卜蜂,106,Q1,6908001.0,,,4905028.0,11497168.0,3594768.0,994399.0,256191.0,24.82
1215,卜蜂,106,Q3,6761916.0,,,4843615.0,13257164.0,5170705.0,1324543.0,269017.0,24.23
1216,統一,106,Q1,154656827.0,,,121662493.0,353964073.0,127952285.0,71354961.0,58962565.0,16.84
1216,統一,106,Q2,145284831.0,,,136657651.0,369434330.0,137972496.0,86177003.0,55781304.0,15.75
1216,統一,106,Q3,154845374.0,,,130475488.0,359783043.0,133448472.0,71489197.0,58979960.0,16.87
1216,統一,106,Q4,191300194.0,,,174909878.0,414655454.0,140208164.0,83147096.0,71224917.0,21.13
1217,愛之味,106,Q3,6018646.0,,,2433245.0,12594664.0,3595121.0,2980897.0,698921.0,10.76
1217,愛之味,106,Q4,6123799.0,,,1929163.0,12242288.0,2733860.0,3384629.0,707264.0,10.95
1217,愛之味,106,Q1,5955390.0,,,1969735.0,11501999.0,2805411.0,2741198.0,692065.0,10.64
1217,愛之味,106,Q2,5953264.0,,,2095830.0,11727111.0,3203556.0,2570291.0,694531.0,10.63
1218,泰山,106,Q3,3766187.0,,,3157140.0,7756466.0,2021295.0,1968984.0,5234.0,11.07
1218,泰山,106,Q1,3484202.0,,,2517376.0,7260136.0,1921385.0,1854549.0,5547.0,10.24
1218,泰山,106,Q4,3821989.0,,,2798150.0,7482013.0,1836438.0,1823586.0,5293.0,11.19
1218,泰山,106,Q2,3479421.0,,,3249796.0,8028661.0,2460505.0,2088735.0,5159.0,10.23
1219,福壽,106,Q2,3854489.0,,,4038547.0,8178697.0,2053733.0,2270475.0,67029.0,11.88
1219,福壽,106,Q1,3875155.0,,,3978422.0,8109050.0,2130445.0,2103450.0,-12395.0,12.19
1219,福壽,106,Q3,3868607.0,,,4035944.0,8285288.0,2233022.0,2183659.0,51020.0,11.86
1219,福壽,106,Q4,3947659.0,,,4099966.0,8461787.0,2071681.0,2442447.0,43878.0,12.12
1220,台榮,106,Q2,2334018.0,,,1866840.0,2950063.0,410765.0,205280.0,164434.0,12.25
1220,台榮,106,Q4,2386159.0,,,1937305.0,3027503.0,438617.0,202727.0,168998.0,12.52
1220,台榮,106,Q3,2364119.0,,,1866117.0,2925331.0,358059.0,203153.0,166299.0,12.41
1220,台榮,106,Q1,2425149.0,,,1861534.0,2932169.0,300123.0,206897.0,165190.0,12.76
1225,福懋油,106,Q3,3617663.0,,,3952887.0,6490776.0,1986576.0,886537.0,425513.0,14.6
1225,福懋油,106,Q2,3496941.0,,,3816386.0,6359191.0,1885074.0,977176.0,403469.0,14.14
1225,福懋油,106,Q4,3637558.0,,,4453395.0,7017020.0,2433654.0,945808.0,441574.0,14.61
1225,福懋油,106,Q1,3740575.0,,,3851370.0,6423114.0,1633702.0,1048837.0,459856.0,15.0
1227,佳格,106,Q2,13588506.0,,,14931754.0,22190228.0,8111486.0,490236.0,178914.0,15.35
1227,佳格,106,Q4,15023608.0,,,15496940.0,22709488.0,7137271.0,548609.0,237868.0,16.28
1227,佳格,106,Q3,14368393.0,,,13720500.0,20947776.0,6114406.0,464977.0,227123.0,15.57
1227,佳格,106,Q1,14669389.0,,,14965172.0,21778346.0,6577030.0,531927.0,202045.0,16.56
1229,聯華,106,Q4,25285915.0,,,2654296.0,29653231.0,3193879.0,1173437.0,66451.0,26.37
1229,聯華,106,Q1,22719079.0,,,2185345.0,26708791.0,2814991.0,1174721.0,77432.0,24.86
1229,聯華,106,Q3,24048259.0,,,2447249.0,28084582.0,2864077.0,1172246.0,65967.0,25.08
1229,聯華,106,Q2,22771482.0,,,3765140.0,28428452.0,4484168.0,1172802.0,65151.0,24.93
1231,聯華食,106,Q3,3025763.0,,,3192612.0,6540246.0,2030566.0,1483917.0,17382.0,18.82
1231,聯華食,106,Q2,2889472.0,,,3229515.0,6593421.0,2175063.0,1528886.0,17050.0,18.77
1231,聯華食,106,Q4,3127240.0,,,3156949.0,6483870.0,1890660.0,1465970.0,18079.0,19.45
1231,聯華食,106,Q1,3082246.0,,,3182289.0,6549434.0,1892478.0,1574710.0,16624.0,20.04
1232,大統益,106,Q4,3825227.0,,,4821436.0,5452648.0,1557193.0,70228.0,53886.0,23.57
1232,大統益,106,Q3,3616010.0,,,4282540.0,4902453.0,1221711.0,64732.0,50263.0,22.29
1232,大統益,106,Q1,3979625.0,,,4380970.0,4969420.0,926858.0,62937.0,49916.0,24.56
1232,大統益,106,Q2,3376999.0,,,4625334.0,5221944.0,1782289.0,62656.0,45249.0,20.83
1233,天仁,106,Q3,1395794.0,,,770789.0,1937212.0,421723.0,119695.0,4282.0,15.37
1233,天仁,106,Q4,1501952.0,,,846395.0,2072683.0,450116.0,120615.0,4142.0,16.54
1233,天仁,106,Q2,1343649.0,,,716562.0,1891560.0,427652.0,120259.0,4030.0,14.8
1233,天仁,106,Q1,1427011.0,,,723883.0,1890445.0,342542.0,120892.0,4587.0,15.71
1234,黑松,106,Q3,17489699.0,,,8025553.0,23393736.0,3545945.0,2358092.0,0.0,43.52
1234,黑松,106,Q2,17179086.0,,,8297692.0,23688544.0,4150490.0,2358968.0,0.0,42.75
1234,黑松,106,Q1,17900719.0,,,7459534.0,22661134.0,2401312.0,2359103.0,0.0,44.54
1234,黑松,106,Q4,17562146.0,,,7508494.0,22855928.0,2912716.0,2381066.0,0.0,43.7
1235,興泰,106,Q3,4041153.0,,,4044816.0,5559322.0,1463162.0,55007.0,404.0,68.86
1235,興泰,106,Q4,4158465.0,,,4187111.0,5735515.0,1522126.0,54924.0,0.0,70.86
1235,興泰,106,Q2,3312007.0,,,3587366.0,4850506.0,1483426.0,55073.0,406.0,56.43
1235,興泰,106,Q1,3122941.0,,,3531331.0,4630290.0,1452209.0,55140.0,405.0,53.21
1236,宏亞,106,Q1,1815405.0,,,616993.0,2882596.0,349668.0,717523.0,0.0,16.76
1236,宏亞,106,Q3,1737667.0,,,712111.0,2891164.0,383458.0,770039.0,0.0,16.04
1236,宏亞,106,Q4,1758224.0,,,789246.0,2933264.0,454465.0,720575.0,0.0,16.23
1236,宏亞,106,Q2,1727960.0,,,533894.0,2749577.0,385811.0,635806.0,0.0,15.95
1240,茂生農經,106,Q2,783275.0,,,782719.0,1424788.0,605766.0,35747.0,,26.06
1240,茂生農經,106,Q4,919690.0,,,909639.0,1587872.0,625142.0,43040.0,,30.6
1256,鮮活果汁-KY,106,Q4,1525251.0,,,1446523.0,2322095.0,677575.0,119269.0,34503.0,48.46
1256,鮮活果汁-KY,106,Q2,921434.0,,,1475991.0,2159467.0,1123203.0,114830.0,4016.0,33.77
1256,鮮活果汁-KY,106,Q3,1462577.0,,,1945258.0,2688265.0,1102755.0,122933.0,4516.0,47.39
1256,鮮活果汁-KY,106,Q1,924536.0,,,1082516.0,1674098.0,626226.0,123336.0,3513.0,33.9
1259,安心,106,Q4,1780933.0,,,2388168.0,2953839.0,1136696.0,36210.0,44659.0,53.8
1259,安心,106,Q3,1769760.0,,,2228159.0,2753224.0,952628.0,30836.0,50334.0,53.28
1259,安心,106,Q1,1733694.0,,,2185174.0,2666662.0,902884.0,30084.0,22311.0,53.03
1259,安心,106,Q2,1719897.0,,,2309702.0,2797711.0,1047246.0,30568.0,54064.0,51.62
1264,德麥,106,Q2,2310528.0,,,2164815.0,3041868.0,668936.0,62404.0,359839.0,63.68
1264,德麥,106,Q1,2483615.0,,,2122599.0,2963671.0,415356.0,64700.0,343667.0,69.86
1264,德麥,106,Q3,2449837.0,,,1996737.0,2890856.0,377021.0,63998.0,379432.0,61.44
1264,德麥,106,Q4,2578393.0,,,2198802.0,3088701.0,450033.0,60275.0,391853.0,64.89
1268,漢來美食,106,Q4,1907083.0,,,2047324.0,3213208.0,1215225.0,90900.0,,50.2
1268,漢來美食,106,Q2,1190094.0,,,1572693.0,2598974.0,1314280.0,94600.0,,35.29
1268,漢來美食,106,Q3,1703286.0,,,1866810.0,2950630.0,1156706.0,90638.0,,44.83
1268,漢來美食,106,Q1,1296856.0,,,1511329.0,2536737.0,1141168.0,98713.0,,38.6
1301,台塑,106,Q4,345010166.0,,,184212236.0,476071036.0,71274256.0,59786614.0,,54.2
1301,台塑,106,Q2,304942727.0,,,188915346.0,462015589.0,91896962.0,65175900.0,,47.9
1301,台塑,106,Q1,317231741.0,,,177433640.0,459472515.0,83042810.0,59197964.0,,49.83
1301,台塑,106,Q3,335652005.0,,,182118678.0,468272554.0,69223024.0,63397525.0,,52.73
1303,南亞,106,Q3,352154255.0,,,199341298.0,524032711.0,69613489.0,102264967.0,11686936.0,42.93
1303,南亞,106,Q4,367219759.0,,,212066791.0,544071389.0,79681194.0,97170436.0,11599899.0,44.84
1303,南亞,106,Q2,331732741.0,,,222821902.0,535763334.0,103990070.0,100040523.0,11757006.0,40.35
1303,南亞,106,Q1,355604984.0,,,214230640.0,534932838.0,76977571.0,102350283.0,12073656.0,43.32
1304,台聚,106,Q3,34246197.0,,,29538148.0,63318747.0,14267065.0,14805485.0,16297883.0,17.07
1304,台聚,106,Q4,34808419.0,,,30484428.0,64393851.0,12863294.0,16722138.0,16684012.0,17.24
1304,台聚,106,Q2,32697809.0,,,32536892.0,63629176.0,16811058.0,14120309.0,15108149.0,17.07
1304,台聚,106,Q1,33368929.0,,,34735174.0,62864190.0,14728665.0,14766596.0,15514976.0,17.32
1305,華夏,106,Q2,7539826.0,,,6552291.0,12978969.0,2741227.0,2697916.0,373370.0,15.0
