代號,名稱,年度,季別,除息交易日,收益分配基準日,收益分配發放日,配息,公告年度
0050,元大台灣50,111,M7,112年07月18日,112年07月24日,112年08月11日,1.9,112
0050,元大台灣50,111,M1,111年01月21日,111年01月29日,111年03月04日,3.2,111
0050,元大台灣50,111,M7,111年07月18日,111年07月24日,111年08月19日,1.8,111
0050,元大台灣50,111,M1,112年01月30日,112年02月05日,112年03月07日,2.6,112
0051,元大中型100,111,M11,111年11月16日,111年11月22日,111年12月15日,2.4,111
0051,元大中型100,111,M11,112年11月16日,112年11月22日,112年12月12日,2.5,112
0052,富邦科技,111,M4,111年04月20日,111年04月26日,111年05月24日,10.19,111
0052,富邦科技,111,M4,112年04月21日,112年04月29日,112年05月18日,4.0,112
0053,元大電子,111,M11,111年11月16日,111年11月22日,111年12月15日,1.71,111
0053,元大電子,111,M11,112年11月16日,112年11月22日,112年12月12日,1.9,112
0055,元大MSCI金融,111,M11,111年11月16日,111年11月22日,111年12月20日,0.87,111
0055,元大MSCI金融,111,M11,112年11月16日,112年11月22日,112年12月12日,0.6,112
0056,元大高股息,111,M10,112年10月19日,112年10月25日,112年11月14日,1.2,112
0056,元大高股息,111,M10,111年10月19日,111年10月25日,111年11月22日,2.1,111
0056,元大高股息,111,M7,112年07月18日,112年07月24日,112年08月11日,1.0,112
006203,元大MSCI台灣,111,M7,111年07月18日,111年07月24日,111年08月16日,0.83,111
006203,元大MSCI台灣,111,M1,111年01月21日,111年01月29日,111年03月02日,1.4,111
006203,元大MSCI台灣,111,M7,112年07月18日,112年07月24日,112年08月11日,0.9,112
006203,元大MSCI台灣,111,M1,112年01月30日,112年02月05日,112年03月02日,1.23,112
006204,永豐臺灣加權,111,M10,112年10月19日,112年10月27日,112年11月17日,3.959,112
006204,永豐臺灣加權,111,M10,111年10月19日,111年10月25日,111年11月21日,2.677,111
006208,富邦台 50,111,M11,111年11月16日,111年11月22日,111年12月19日,1.03,111
006208,富邦台50,111,M7,112年07月18日,112年07月24日,112年08月11日,1.352,112
006208,富邦台50,111,M7,111年07月18日,111年07月24日,111年08月18日,1.248,111
006208,富邦台50,111,M11,112年11月16日,112年11月22日,112年12月12日,0.861,112
00690,兆豐臺灣藍籌30,111,M11,112年11月21日,112年11月27日,112年12月14日,1.0,112
00690,兆豐臺灣藍籌30ETF,111,M5,112年05月22日,112年05月28日,112年06月14日,1.5,112
00690,兆豐臺灣藍籌30ETF,111,M11,111年11月28日,111年12月04日,111年12月27日,2.4,111
00692,富邦公司治理,111,M7,112年07月18日,112年07月24日,112年08月11日,0.732,112
00692,富邦公司治理,111,M11,111年11月16日,111年11月22日,111年12月19日,0.55,111
00692,富邦公司治理,111,M7,111年07月18日,111年07月24日,111年08月18日,1.483,111
00692,富邦公司治理,111,M11,112年11月16日,112年11月22日,112年12月12日,1.062,112
00701,國泰股利精選30,111,M1,111年01月18日,111年01月24日,111年02月25日,1.65,111
00701,國泰股利精選30,111,M8,111年08月16日,111年08月22日,111年09月19日,0.25,111
00701,國泰股利精選30,111,M8,112年08月16日,112年08月22日,112年09月11日,0.2,112
00701,國泰股利精選30,111,M1,112年01月30日,112年02月05日,112年03月02日,0.66,112
00702,國泰標普低波高息,111,M1,111年01月18日,111年01月24日,111年02月25日,0.27,111
00702,國泰標普低波高息,111,M7,111年07月18日,111年07月24日,111年08月18日,0.31,111
00702,國泰標普低波高息,111,M7,112年07月18日,112年07月24日,112年08月11日,0.3,112
