代號,名稱,年度,季別,營業活動之淨現金流入（流出）
1101,台泥,115,Q1,3358179.0
1101,台泥,115,Q2,7903379.0
1102,亞泥,115,Q2,3028658.0
1102,亞泥,115,Q1,1751457.0
1103,嘉泥,115,Q1,159842.0
1103,嘉泥,115,Q2,-324485.0
1104,環泥,115,Q2,752168.0
1104,環泥,115,Q1,342188.0
1108,幸福,115,Q1,85790.0
1108,幸福,115,Q2,149111.0
1109,信大,115,Q2,139410.0
1109,信大,115,Q1,-5125.0
1110,東泥,115,Q1,351028.0
1110,東泥,115,Q2,402552.0
1201,味全,115,Q2,256095.0
1201,味全,115,Q1,2747.0
1203,味王,115,Q1,366551.0
1203,味王,115,Q2,496918.0
1210,大成,115,Q2,2726228.0
1210,大成,115,Q1,2047783.0
1213,大飲,115,Q1,5984.0
1213,大飲,115,Q2,4784.0
1215,卜蜂,115,Q2,1251944.0
1215,卜蜂,115,Q1,945624.0
1216,統一,115,Q2,30750026.0
1216,統一,115,Q1,12205671.0
1217,愛之味,115,Q1,-73778.0
1217,愛之味,115,Q2,102130.0
1218,泰山,115,Q2,356968.0
1218,泰山,115,Q1,377524.0
1219,福壽,115,Q1,206580.0
1219,福壽,115,Q2,-220394.0
1220,台榮,115,Q2,10149.0
1220,台榮,115,Q1,132459.0
1225,福懋油,115,Q1,460564.0
1225,福懋油,115,Q2,183315.0
1227,佳格,115,Q2,180710.0
1227,佳格,115,Q1,416505.0
1229,聯華,115,Q2,1287962.0
1229,聯華,115,Q1,844179.0
1231,聯華食,115,Q2,274492.0
1231,聯華食,115,Q1,-939.0
1232,大統益,115,Q2,696778.0
1232,大統益,115,Q1,833593.0
1233,天仁,115,Q1,54884.0
1233,天仁,115,Q2,148645.0
1234,黑松,115,Q2,430475.0
1234,黑松,115,Q1,469527.0
1235,興泰,115,Q2,-3370.0
1235,興泰,115,Q1,-10162.0
1236,宏亞,115,Q1,62072.0
1236,宏亞,115,Q2,97110.0
1240,茂生農經,115,Q1,11292.0
1240,茂生農經,115,Q2,25464.0
1256,鮮活果汁-KY,115,Q1,107348.0
1259,安心,115,Q2,439646.0
1259,安心,115,Q1,152072.0
1264,德麥,115,Q1,348447.0
1264,德麥,115,Q2,386806.0
1268,漢來美食,115,Q2,515879.0
1268,漢來美食,115,Q1,246668.0
1294,漢田生技,115,Q1,35977.0
1294,漢田生技,115,Q2,79888.0
1295,生合,115,Q2,93153.0
1295,生合,115,Q1,21662.0
1301,台塑,115,Q1,1178822.0
1301,台塑,115,Q2,-4083686.0
1303,南亞,115,Q1,158451.0
1303,南亞,115,Q2,3278205.0
1304,台聚,115,Q2,-538301.0
1304,台聚,115,Q1,583710.0
1305,華夏,115,Q2,242286.0
1305,華夏,115,Q1,330773.0
1307,三芳,115,Q2,-149507.0
1307,三芳,115,Q1,51391.0
1308,亞聚,115,Q1,185198.0
1308,亞聚,115,Q2,375052.0
1309,台達化,115,Q1,-266691.0
1309,台達化,115,Q2,-1101560.0
1310,台苯,115,Q1,-65334.0
1310,台苯,115,Q2,-326302.0
1312,國喬,115,Q2,47405.0
1312,國喬,115,Q1,-2347831.0
1313,聯成,115,Q1,-940768.0
1313,聯成,115,Q2,-327364.0
1314,中石化,115,Q2,348987.0
1314,中石化,115,Q1,-142286.0
1315,達新,115,Q2,44793.0
1315,達新,115,Q1,135097.0
1316,上曜,115,Q1,-566493.0
1316,上曜,115,Q2,-1025962.0
1319,東陽,115,Q2,4436563.0
1319,東陽,115,Q1,2371166.0
1321,大洋,115,Q2,148212.0
1321,大洋,115,Q1,-62229.0
1323,永裕,115,Q1,32371.0
1323,永裕,115,Q2,71869.0
1324,地球,115,Q2,25341.0
1324,地球,115,Q1,16911.0
1325,恆大,115,Q1,25.0
1325,恆大,115,Q2,-24534.0
1326,台化,115,Q1,-1527116.0
1326,台化,115,Q2,-446000.0
1336,台翰,115,Q1,-1924.0
1336,台翰,115,Q2,-89417.0
1337,再生-KY,115,Q2,-80018.0
1337,再生-KY,115,Q1,-22364.0
1338,廣華-KY,115,Q1,56947.0
1339,昭輝,115,Q2,222008.0
1339,昭輝,115,Q1,256532.0
1340,勝悅-KY,115,Q1,10877.0
1341,富林-KY,115,Q1,50432.0
1342,八貫,115,Q1,86007.0
1342,八貫,115,Q2,179323.0
1402,遠東新,115,Q2,15841786.0
1402,遠東新,115,Q1,7539694.0
1409,新纖,115,Q2,-1696647.0
1409,新纖,115,Q1,-1597451.0
1410,南染,115,Q2,7132.0
1410,南染,115,Q1,4993.0
1413,宏洲,115,Q1,95065.0
1413,宏洲,115,Q2,124238.0
1414,東和,115,Q2,137926.0
1414,東和,115,Q1,45769.0
1416,廣豐,115,Q1,52554.0
1416,廣豐,115,Q2,161042.0
1417,嘉裕,115,Q2,14488.0
1417,嘉裕,115,Q1,30394.0
1418,東華,115,Q2,-113070.0
1418,東華,115,Q1,-55298.0
1419,新紡,115,Q1,-159670.0
1419,新紡,115,Q2,-181609.0
1423,利華,115,Q1,7732.0
1423,利華,115,Q2,13130.0
1432,大魯閣,115,Q2,-435774.0
1432,大魯閣,115,Q1,-113876.0
1434,福懋,115,Q1,-119531.0
1434,福懋,115,Q2,941944.0
1435,中福,115,Q2,-69110.0
1435,中福,115,Q1,-6998.0
1436,華友聯,115,Q1,105820.0
1436,華友聯,115,Q2,661249.0
1437,勤益控,115,Q2,21533.0
1437,勤益控,115,Q1,41278.0
1438,三地開發,115,Q1,-126615.0
1438,三地開發,115,Q2,-557387.0
1439,雋揚,115,Q2,-171824.0
1439,雋揚,115,Q1,-74437.0
1440,南紡,115,Q1,125133.0
1440,南紡,115,Q2,266972.0
1441,大東,115,Q2,-22693.0
1441,大東,115,Q1,-72124.0
1442,名軒,115,Q1,-272793.0
1442,名軒,115,Q2,-413496.0
1443,立益物流,115,Q2,213383.0
1443,立益物流,115,Q1,137964.0
1444,力麗,115,Q1,127548.0
1444,力麗,115,Q2,317396.0
1445,大宇,115,Q2,-14570.0
1445,大宇,115,Q1,-14388.0
1446,宏和,115,Q1,147497.0
1446,宏和,115,Q2,145035.0
1447,力鵬,115,Q2,296492.0
1447,力鵬,115,Q1,144022.0
1449,佳和,115,Q2,-200392.0
1449,佳和,115,Q1,-22429.0
1451,年興,115,Q1,167744.0
1451,年興,115,Q2,-23489.0
1452,宏益,115,Q2,90023.0
1452,宏益,115,Q1,-61233.0
1453,大將,115,Q1,-82442.0
1453,大將,115,Q2,-118174.0
1454,台富,115,Q2,7127.0
1454,台富,115,Q1,-13491.0
1455,集盛,115,Q1,62189.0
1455,集盛,115,Q2,22351.0
1456,怡華,115,Q2,-175566.0
1456,怡華,115,Q1,-99351.0
1457,宜進,115,Q1,450956.0
1457,宜進,115,Q2,731081.0
1459,聯發,115,Q2,112526.0
1459,聯發,115,Q1,26784.0
1460,宏遠,115,Q2,361216.0
1460,宏遠,115,Q1,334544.0
1463,強盛新,115,Q2,-15226.0
1463,強盛新,115,Q1,-16252.0
1464,得力,115,Q1,59726.0
1464,得力,115,Q2,645586.0
1465,偉全,115,Q2,-8236.0
1465,偉全,115,Q1,-600.0
1466,聚隆,115,Q2,82500.0
1466,聚隆,115,Q1,-25595.0
1467,南緯,115,Q2,-105041.0
1467,南緯,115,Q1,-34209.0
1468,昶和,115,Q1,-7434.0
1468,昶和,115,Q2,-10001.0
1470,大統新創,115,Q2,58900.0
1470,大統新創,115,Q1,38414.0
1471,首利,115,Q1,-104504.0
1471,首利,115,Q2,-128738.0
1472,三洋實業,115,Q1,40947.0
1472,三洋實業,115,Q2,-60814.0
1473,台南,115,Q2,-94543.0
1473,台南,115,Q1,-311664.0
1474,弘裕,115,Q2,240808.0
1474,弘裕,115,Q1,111286.0
1475,業旺,115,Q1,30267.0
1475,業旺,115,Q2,86163.0
1476,儒鴻,115,Q2,3150337.0
1476,儒鴻,115,Q1,2323083.0
1477,聚陽,115,Q2,2239617.0
1477,聚陽,115,Q1,1283017.0
1503,士電,115,Q2,546592.0
1503,士電,115,Q1,-1329823.0
1504,東元,115,Q1,1208591.0
1504,東元,115,Q2,3669127.0
1506,正道,115,Q2,-31863.0
1506,正道,115,Q1,-47176.0
1512,瑞利,115,Q1,-28142.0
1512,瑞利,115,Q2,-33010.0
1513,中興電,115,Q2,1865669.0
1513,中興電,115,Q1,748847.0
1514,亞力,115,Q1,339698.0
1514,亞力,115,Q2,80860.0
1515,力山,115,Q2,-177293.0
1515,力山,115,Q1,138903.0
1516,川飛,115,Q1,-10318.0
1516,川飛,115,Q2,-3917.0
1517,利奇,115,Q2,1836.0
1517,利奇,115,Q1,6410.0
1519,華城,115,Q1,1517429.0
1519,華城,115,Q2,3496632.0
1521,大億,115,Q1,-38935.0
1521,大億,115,Q2,89732.0
1522,堤維西,115,Q1,632504.0
1522,堤維西,115,Q2,703232.0
1524,耿鼎,115,Q2,315442.0
1524,耿鼎,115,Q1,184138.0
1525,江申,115,Q1,-80419.0
1525,江申,115,Q2,-104418.0
1526,日馳,115,Q2,36127.0
1526,日馳,115,Q1,-83057.0
1527,鑽全,115,Q1,83468.0
1527,鑽全,115,Q2,165544.0
1528,恩德,115,Q2,-49027.0
1528,恩德,115,Q1,20796.0
1529,樂事綠能,115,Q2,67271.0
1529,樂事綠能,115,Q1,53636.0
1530,亞崴,115,Q2,-15346.0
1530,亞崴,115,Q1,-4386.0
1531,高林股,115,Q2,216847.0
1531,高林股,115,Q1,48331.0
1532,勤美,115,Q1,-475502.0
