代號,名稱,年度,季別,歸屬於母公司業主之權益合計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
1233,天仁,114,Q3,1336148.0,,,698294.0,,599480.0,254846.0,2946.0,14.76
1233,天仁,114,Q1,1359176.0,,,673965.0,,596517.0,294657.0,3242.0,15.01
1233,天仁,114,Q2,1325806.0,,,690890.0,,608014.0,268624.0,2845.0,14.64
1234,黑松,114,Q2,18439221.0,,,9039837.0,,3173596.0,2333564.0,,45.88
1234,黑松,114,Q1,18322963.0,,,8843508.0,,3272638.0,2338787.0,,45.59
1234,黑松,114,Q3,18693294.0,,,9185338.0,,3100802.0,2357706.0,,46.52
1235,興泰,114,Q2,2654821.0,,,973221.0,,2488866.0,54430.0,274738.0,70.08
1235,興泰,114,Q1,2750016.0,,,1295488.0,,2301255.0,433688.0,273082.0,72.59
1236,宏亞,114,Q2,2479664.0,,,631035.0,,496198.0,837008.0,,28.61
1236,宏亞,114,Q1,2410105.0,,,714379.0,,516085.0,928527.0,,27.81
1236,宏亞,114,Q3,2507581.0,,,769389.0,,485355.0,776830.0,,28.93
1240,茂生農經,114,Q1,1462540.0,,,1164199.0,,562008.0,75054.0,46281.0,35.38
1256,鮮活果汁-KY,114,Q2,3120244.0,,,2166769.0,,1162302.0,77083.0,6336.0,92.2
1256,鮮活果汁-KY,114,Q1,3524748.0,,,1905963.0,,704582.0,74796.0,0.0,104.15
1259,安心,114,Q3,3173554.0,,,1179355.0,,2049215.0,1769810.0,8424.0,97.98
1259,安心,114,Q1,2379557.0,,,1230629.0,,1963780.0,1904065.0,14534.0,73.47
1264,德麥,114,Q1,3129502.0,,,3212525.0,,1529700.0,96975.0,847498.0,84.46
1268,漢來美食,114,Q3,2213313.0,,,2484533.0,,2284241.0,2635139.0,,52.42
1268,漢來美食,114,Q1,2436794.0,,,2406114.0,,1865806.0,2637207.0,,57.71
1294,漢田生技,114,Q1,821861.0,,,567733.0,,231546.0,92295.0,3039.0,30.08
1295,生合,114,Q3,1270146.0,,,772339.0,,528677.0,1053196.0,,36.84
1295,生合,114,Q1,1019841.0,,,730347.0,,582107.0,911810.0,,32.53
1301,台塑,114,Q1,290352526.0,,,111752484.0,,97681183.0,117884943.0,0.0,45.61
1301,台塑,114,Q3,291896930.0,,,108447513.0,,92826018.0,104694212.0,0.0,45.85
1301,台塑,114,Q2,266595428.0,,,99688082.0,,91279625.0,112167932.0,0.0,41.88
1303,南亞,114,Q3,328987874.0,,,175360882.0,,151111586.0,92535710.0,15578191.0,41.48
1303,南亞,114,Q2,315318797.0,,,173953680.0,,115700954.0,134219456.0,15242177.0,39.76
1303,南亞,114,Q1,343995733.0,,,187971571.0,,125995755.0,132980298.0,15932805.0,43.37
1304,台聚,114,Q1,20263821.0,,,27868046.0,,14688598.0,13869018.0,21232113.0,18.9
1304,台聚,114,Q2,18052824.0,,,24608466.0,,15038011.0,12923506.0,18969653.0,16.84
1305,華夏,114,Q2,7917752.0,,,5474823.0,,5722164.0,3198996.0,539925.0,13.63
1305,華夏,114,Q1,8476303.0,,,6163179.0,,5274469.0,3413434.0,560693.0,14.59
1305,華夏,114,Q3,7837633.0,,,4570931.0,,4942628.0,3843525.0,517757.0,13.49
1307,三芳,114,Q2,8716402.0,,,8981985.0,,5165214.0,2508651.0,,21.91
1307,三芳,114,Q1,9777987.0,,,9898510.0,,4921587.0,3150319.0,,24.58
1307,三芳,114,Q3,9438534.0,,,8986001.0,,4712311.0,2831581.0,,23.73
1308,亞聚,114,Q2,10228649.0,,,2990031.0,,1237035.0,803423.0,,17.23
1308,亞聚,114,Q1,11293171.0,,,3270624.0,,1173253.0,917656.0,,19.02
1308,亞聚,114,Q3,10454389.0,,,2841511.0,,1115081.0,704482.0,,17.61
1309,台達化,114,Q2,5612430.0,,,5566604.0,,2922739.0,280765.0,,14.12
1309,台達化,114,Q1,6281475.0,,,6287034.0,,2957157.0,355020.0,,15.8
1309,台達化,114,Q3,5670365.0,,,5467925.0,,2787323.0,295100.0,,14.26
1310,台苯,114,Q3,6778306.0,,,2150723.0,,2282318.0,255870.0,125924.0,12.84
1310,台苯,114,Q1,7154517.0,,,2406568.0,,2353281.0,262043.0,127547.0,13.55
1310,台苯,114,Q2,6903119.0,,,2065503.0,,2109916.0,257930.0,126632.0,13.08
1312,國喬,114,Q1,33146491.0,,,15859190.0,,9896641.0,20900377.0,3395260.0,29.47
1312,國喬,114,Q2,29267973.0,,,15322565.0,,10592786.0,19514103.0,3191261.0,26.02
1313,聯成,114,Q1,27672371.0,,,19914138.0,,8827284.0,18037927.0,,20.81
1313,聯成,114,Q2,24523113.0,,,16800853.0,,7455134.0,17279619.0,,18.44
1313,聯成,114,Q3,29710668.0,,,17886648.0,,8045729.0,17450113.0,,22.32
