出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/28","110","2","2801","彰銀","25607281.00","223665163.00","52866024.00","156438555.00","349150688.00","190301.00","--","23197784.00","515250.00","--","--","1523351146.00","--","--","20672510.00","20851771.00","1973365.00","13855438.00","624318.00","3490379.00","1471932.00","2417921905.00","92879270.00","19032740.00","3470280.00","--","1433128.00","33709750.00","641489.00","--","2026263562.00","51317955.00","--","--","1479308.00","4930603.00","1789064.00","8431980.00","2726426.00","2248105555.00","103847236.00","--","--","61508441.00","4460673.00","0.00","169816350.00","--","--","--","169816350.00","--","0.00","0.00","16.35"
"114/10/28","110","2","2812","台中銀","14186460.00","34680652.00","34374715.00","44972375.00","109833434.00","--","14604913.00","16336250.00","20.00","--","--","467027787.00","162407.00","499392.00","0.00","12390865.00","971753.00","17969.00","208515.00","813340.00","2513552.00","753594399.00","5985648.00","10052952.00","644176.00","--","2963834.00","7957207.00","348933.00","--","648078120.00","11500000.00","--","--","2618348.00","1408395.00","1003692.00","111021.00","1012837.00","693685163.00","41516943.00","--","803606.00","16055338.00","1533349.00","0.00","59909236.00","0.00","--","0.00","59909236.00","0.00","0.00","0.00","14.43"
"114/10/28","110","2","2820","華票","300544.00","0.00","103829380.00","100279565.00","--","--","6934804.00","858424.00","141516.00","--","--","--","--","--","40763.00","150441.00","4665.00","--","--","70712.00","573867.00","213184681.00","10250000.00","--","47856.00","--","169579323.00","1566233.00","191529.00","--","--","--","--","--","4499371.00","1431582.00","4690.00","102314.00","346839.00","188019737.00","13429600.00","--","10236.00","10422648.00","1302460.00","--","--","--","--","--","25164944.00","0.00","0.00","0.00","18.74"
"114/10/28","110","2","2834","臺企銀","38394344.00","149934249.00","36275729.00","134459219.00","239882344.00","--","3496416.00","8417336.00","349410.00","--","--","1221163973.00","--","--","13256.00","14458411.00","1237160.00","--","533826.00","2101756.00","4964419.00","1855681848.00","111361998.00","38792110.00","8386279.00","--","2136418.00","25065949.00","367087.00","--","1503120896.00","52250000.00","--","--","4980053.00","3324299.00","1232496.00","897457.00","2590731.00","1754505773.00","74885834.00","0.00","815900.00","21746310.00","3728031.00","0.00","101176075.00","0.00","--","0.00","101176075.00","0.00","0.00","0.00","13.51"
"114/10/28","110","2","2836","高雄銀","2686261.00","10205887.00","1063138.00","29398415.00","53439718.00","--","5802513.00","1773120.00","0.00","--","--","175676090.00","--","--","188822.00","3131139.00","336992.00","--","117474.00","166589.00","146402.00","284132560.00","9631810.00","2272510.00","33594.00","--","7647550.00","4171698.00","47631.00","--","237917908.00","4300000.00","--","--","0.00","349984.00","334411.00","--","98602.00","266805698.00","12034444.00","--","1610519.00","3178669.00","503230.00","--","--","--","--","--","17326862.00","0.00","0.00","0.00","14.81"
"114/10/28","110","2","2838","聯邦銀","10971055.00","27482960.00","56147853.00","72283330.00","81498594.00","--","60420359.00","25852803.00","58495.00","--","--","444399408.00","1522723.00","--","1659709.00","7864026.00","1646222.00","5037234.00","2183356.00","919182.00","10450000.00","810397309.00","13983131.00","4804940.00","575039.00","--","68180630.00","6939422.00","322769.00","--","624761044.00","7700000.00","1330095.00","495500.00","9588525.00","344620.00","1627712.00","1786182.00","3592458.00","746032067.00","32933688.00","--","8040035.00","16067546.00","6922388.00","--","63963657.00","--","--","401585.00","64365242.00","--","0.00","0.00","19.42"
"114/10/28","110","2","2845","遠東銀","7007881.00","29054846.00","28007635.00","175131389.00","497896.00","--","7778401.00","20962581.00","--","--","--","415859730.00","1935893.00","--","7182938.00","2978750.00","1119361.00","--","1635895.00","184801.00","243422.00","699581419.00","296172.00","40540.00","3013418.00","--","5102.00","12485321.00","111765.00","--","583843941.00","25001900.00","--","--","23247972.00","989959.00","1125279.00","--","638090.00","650799459.00","35139632.00","--","456426.00","12719156.00","466746.00","--","48781960.00","--","--","--","48781960.00","--","0.00","0.00","14.15"
"114/10/28","110","2","2849","安泰銀","2072082.00","11918364.00","14706574.00","40059125.00","37624255.00","--","3613491.00","5289956.00","0.00","--","--","204673388.00","--","--","313.00","663473.00","554014.00","--","203445.00","492098.00","1326115.00","323196693.00","5319090.00","30700.00","446601.00","--","1630816.00","4153168.00","150968.00","--","275406842.00","--","--","0.00","717522.00","470631.00","560410.00","18975.00","151391.00","289057114.00","19579101.00","--","404990.00","13714408.00","441080.00","0.00","--","--","--","--","34139579.00","0.00","0.00","0.00","17.44"
"114/10/28","110","2","2897","王道銀行","11000195.00","13481326.00","151473563.00","175547128.00","--","--","6934804.00","17720966.00","314717.00","--","--","174734520.00","743968.00","--","879839.00","2609219.00","380261.00","--","2046373.00","890843.00","1344354.00","560102076.00","27802498.00","--","447743.00","--","172657250.00","5922265.00","285890.00","--","258197198.00","15100000.00","--","--","19697423.00","2106047.00","397628.00","784209.00","2458080.00","505856231.00","30330063.00","--","6743.00","5616007.00","-164766.00","-38304.00","35749743.00","--","--","18496102.00","54245845.00","--","5737000.00","0.00","11.81"
"114/10/28","110","2","5876","上海商銀","76777023.00","176436191.00","11993284.00","497642595.00","183607759.00","--","280873.00","15964273.00","131350.00","0.00","--","1114555961.00","2082232.00","--","876926.00","20542834.00","1929985.00","5981512.00","1662737.00","832174.00","9192777.00","2120490486.00","56556101.00","9830040.00","3409569.00","--","28560269.00","31339595.00","1033930.00","--","1674066295.00","80515912.00","--","--","4439015.00","2841592.00","1999473.00","9005250.00","3566618.00","1907163659.00","44816031.00","--","16550661.00","96271523.00","4419691.00","-83144.00","161974762.00","--","--","51352065.00","213326827.00","--","11397439.00","0.00","36.23"
