出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","107","3","2880","華南金","20113760.00","15163133.00","35276893.00","2370989.00","293768.00","19315438.00","13296698.00","1506591.00","11790107.00","--","11790107.00","-168692.00","11621415.00","11790013.00","--","94.00","11621274.00","--","141.00","1.02"
"114/10/29","107","3","2881","富邦金","95535207.00","233590684.00","329125891.00","843180.00","225054843.00","41904570.00","61323298.00","11039674.00","50283624.00","--","50283624.00","-47630723.00","2652901.00","50320559.00","--","-36935.00","2674994.00","--","-22093.00","4.77"
"114/10/29","107","3","2882","國泰金","132405284.00","226793717.00","359199001.00","2065376.00","239321154.00","58404934.00","59407537.00","4810558.00","54596979.00","--","54596979.00","-95583343.00","-40986364.00","54356108.00","--","240871.00","-41094907.00","--","108543.00","4.18"
"114/10/29","107","3","2883","凱基金","41575483.00","149130196.00","190705679.00","115554.00","156267699.00","19209424.00","15113002.00","1012450.00","14100552.00","--","14100552.00","-18678052.00","-4577500.00","8489532.00","--","5611020.00","1515969.00","--","-6093469.00","0.59"
"114/10/29","107","3","2884","玉山金","15255462.00","22087158.00","37342620.00","2267818.00","--","19020306.00","16054496.00","2693479.00","13361017.00","--","13361017.00","-139736.00","13221281.00","13349948.00","--","11069.00","13210134.00","--","11147.00","1.23"
"114/10/29","107","3","2885","元大金","19438904.00","56003206.00","75442110.00","791905.00","22956933.00","30164010.00","21529262.00","3395290.00","18133972.00","0.00","18133972.00","-1896771.00","16237201.00","16694990.00","--","1438982.00","14948731.00","--","1288470.00","1.42"
"114/10/29","107","3","2886","兆豐金","28745810.00","19043696.00","47789506.00","1519861.00","45463.00","20693511.00","25530671.00","2600551.00","22930120.00","--","22930120.00","678750.00","23608870.00","22927843.00","--","2277.00","23606593.00","--","2277.00","1.69"
"114/10/29","107","3","2887","台新新光金","14666549.00","16180770.00","30847319.00","2104130.00","--","16463546.00","12279643.00","1027292.00","11252351.00","--","11252351.00","6669.00","11259020.00","11252704.00","--","-353.00","11259373.00","--","-353.00","0.97"
"114/10/29","107","3","2889","國票金","1364007.00","2934045.00","4298052.00","4590.00","--","2256922.00","2036540.00","342080.00","1694460.00","--","1694460.00","-610649.00","1083811.00","1548248.00","--","146212.00","958180.00","--","125631.00","0.55"
"114/10/29","107","3","2890","永豐金","11839032.00","13249368.00","25088400.00","983726.00","--","14650543.00","9454131.00","1532698.00","7921433.00","--","7921433.00","-536108.00","7385325.00","7921540.00","--","-107.00","7385432.00","--","-107.00","0.70"
"114/10/29","107","3","2891","中信金","75300199.00","154102489.00","229402688.00","3357036.00","141266237.00","48447148.00","36332267.00","5085546.00","31246721.00","--","31246721.00","-19556874.00","11689847.00","31244257.00","--","2464.00","11692895.00","--","-3048.00","1.60"
"114/10/29","107","3","2892","第一金","22652638.00","23901148.00","46553786.00","4178029.00","8778408.00","16972737.00","16624612.00","2321074.00","14303538.00","--","14303538.00","1641716.00","15945254.00","14303538.00","--","0.00","15945254.00","0.00","--","1.16"
"114/10/29","107","3","5880","合庫金","26643952.00","8330395.00","34974347.00","2391109.00","-858715.00","18582306.00","14859647.00","2269651.00","12589996.00","--","12589996.00","-152458.00","12437538.00","12250431.00","--","339565.00","12364789.00","--","72749.00","0.97"
