代號,名稱,年度,季別,除息交易日,收益分配基準日,收益分配發放日,配息,公告年度
0050,元大台灣50,110,M01,111年01月21日,111年01月29日,111年03月04日,3.2,111
0050,元大台灣50,110,M01,110年01月22日,110年01月30日,110年03月09日,3.05,110
0050,元大台灣50,110,M07,111年07月18日,111年07月24日,111年08月19日,1.8,111
0050,元大台灣50,110,M07,110年07月21日,110年07月27日,110年08月24日,0.35,110
0051,元大中型100,110,M11,111年11月16日,111年11月22日,111年12月15日,2.4,111
0051,元大中型100,110,M11,110年11月19日,110年11月27日,110年12月20日,1.75,110
0052,富邦科技,110,M04,110年04月20日,110年04月26日,110年05月24日,1.032,110
0052,富邦科技,110,M04,111年04月20日,111年04月26日,111年05月24日,10.19,111
0053,元大電子,110,M11,111年11月16日,111年11月22日,111年12月15日,1.71,111
0053,元大電子,110,M11,110年11月19日,110年11月27日,110年12月20日,1.7,110
0054,元大台商50,110,M11,110年11月19日,110年11月27日,110年12月20日,0.7,110
0055,元大MSCI金融,110,M11,110年11月19日,110年11月27日,110年12月20日,0.75,110
0055,元大MSCI金融,110,M11,111年11月16日,111年11月22日,111年12月20日,0.87,111
0056,元大高股息,110,M10,111年10月19日,111年10月25日,111年11月22日,2.1,111
0056,元大高股息,110,M10,110年10月22日,110年10月30日,110年11月25日,1.8,110
006203,元大MSCI台灣,110,M07,110年07月21日,110年07月27日,110年08月19日,0.19,110
006203,元大MSCI台灣,110,M01,111年01月21日,111年01月29日,111年03月02日,1.4,111
006203,元大MSCI台灣,110,M01,110年01月22日,110年01月30日,110年03月04日,1.15,110
006203,元大MSCI台灣,110,M07,111年07月18日,111年07月24日,111年08月16日,0.83,111
006204,永豐臺灣加權,110,M10,111年10月19日,111年10月25日,111年11月21日,2.677,111
006204,永豐臺灣加權,110,M10,110年10月19日,110年10月25日,110年11月19日,5.3,110
006208,富邦台50,110,M07,110年07月16日,110年07月24日,110年08月18日,0.314,110
006208,富邦台50,110,M07,111年07月18日,111年07月24日,111年08月18日,1.248,111
006208,富邦台 50,110,M11,110年11月16日,110年11月22日,110年12月17日,1.641,110
006208,富邦台 50,110,M11,111年11月16日,111年11月22日,111年12月19日,1.03,111
00687B,國泰20年美債,110,M01,110年01月19日,110年01月25日,110年02月26日,0.19,110
00687B,國泰20年美債,110,M01,110年01月19日,110年01月25日,110年02月26日,0.19,110
00690,兆豐藍籌30ETF,110,M11,110年11月26日,110年12月04日,110年12月27日,0.84,110
00690,兆豐臺灣藍籌30ETF,110,M11,111年11月28日,111年12月04日,111年12月27日,2.4,111
00692,富邦公司治理,110,M07,110年07月16日,110年07月24日,110年08月18日,0.172,110
00692,富邦公司治理,110,M11,111年11月16日,111年11月22日,111年12月19日,0.55,111
00692,富邦公司治理,110,M07,111年07月18日,111年07月24日,111年08月18日,1.483,111
00692,富邦公司治理,110,M11,110年11月16日,110年11月22日,110年12月17日,1.798,110
00701,國泰股利精選30,110,M01,110年01月19日,110年01月25日,110年02月26日,0.73,110
00701,國泰股利精選30,110,M08,110年08月17日,110年08月23日,110年09月17日,0.25,110
00701,國泰股利精選30,110,M08,111年08月16日,111年08月22日,111年09月19日,0.25,111
00701,國泰股利精選30,110,M01,111年01月18日,111年01月24日,111年02月25日,1.65,111
00702,國泰標普低波高息,110,M01,111年01月18日,111年01月24日,111年02月25日,0.27,111
00702,國泰標普低波高息,110,M07,111年07月18日,111年07月24日,111年08月18日,0.31,111
00702,國泰標普低波高息,110,M01,110年01月19日,110年01月25日,110年02月26日,0.18,110
00702,國泰標普低波高息,110,M07,110年07月16日,110年07月24日,110年08月18日,0.28,110
00710B,FH彭博非投等債,110,M06,111年06月21日,111年06月27日,111年07月19日,0.24,111
00710B,FH彭博高收益債,110,M12,110年12月21日,110年12月27日,111年01月19日,0.24,110
00710B,FH彭博非投等債,110,M12,111年12月21日,111年12月27日,112年01月31日,0.26,111
00710B,FH彭博非投等債,110,M09,111年09月20日,111年09月26日,111年10月18日,0.26,111
00710B,FH彭博高收益債,110,M09,110年09月17日,110年09月27日,110年10月19日,0.24,110
00710B,FH彭博高收益債,110,M03,110年03月18日,110年03月24日,110年04月16日,0.24,110
00710B,FH彭博高收益債,110,M06,110年06月22日,110年06月28日,110年07月20日,0.24,110
00710B,FH彭博高收益債,110,M03,111年03月17日,111年03月23日,111年04月18日,0.24,111
00711B,FH彭博新興債,110,M06,111年06月21日,111年06月27日,111年07月19日,0.2,111
