代號,名稱,年度,季別,歸屬於母公司業主之權益合計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
1101,台泥,111,Q1,214796763.00,,,181032587.00,,109658131.00,107422385.00,20960992.00,34.01
1101,台泥,111,Q2,200422354.00,,,182214459.00,,86861356.00,146453922.00,18536577.00,31.71
1101,台泥,111,Q3,201413996.00,,,178596913.00,,76481831.00,160581322.00,20256450.00,29.05
1101,台泥,111,Q4,217894766.00,,,175624058.00,,75209411.00,147323770.00,20381014.00,29.64
1102,亞泥,111,Q3,161503895.00,,,113126909.00,,71668777.00,70383896.00,23710480.00,45.55
1102,亞泥,111,Q1,164918419.00,,,106203789.00,,65912135.00,66489698.00,24421235.00,46.51
1102,亞泥,111,Q4,160816847.00,,,111449752.00,,70962661.00,69047221.00,23416398.00,45.35
1102,亞泥,111,Q2,154720156.00,,,115705226.00,,81017768.00,67297053.00,23352721.00,43.63
1103,嘉泥,111,Q4,21285995.00,,,10395347.00,,3431484.00,10981403.00,713432.00,32.95
1103,嘉泥,111,Q1,25585802.00,,,11387618.00,,2858602.00,11458642.00,917488.00,39.61
1103,嘉泥,111,Q2,21560103.00,,,10494246.00,,3751313.00,10697903.00,717781.00,33.38
1103,嘉泥,111,Q3,21301617.00,,,10384138.00,,3340576.00,10789196.00,717430.00,32.98
1104,環泥,111,Q4,20917904.00,,,5648586.00,,4751310.00,1534107.00,608574.00,32.00
1104,環泥,111,Q3,20146025.00,,,5427911.00,,4808919.00,1584954.00,488918.00,30.82
1104,環泥,111,Q2,19584075.00,,,5493715.00,,5092388.00,1545651.00,381412.00,29.96
1104,環泥,111,Q1,20261535.00,,,5304079.00,,4313548.00,1557502.00,491117.00,31.00
1108,幸福,111,Q4,4905719.00,,,5919810.00,,3488531.00,1267551.00,70.00,12.12
1108,幸福,111,Q1,4455709.00,,,5207737.00,,3291723.00,352631.00,65.00,11.01
1108,幸福,111,Q2,4505921.00,,,5479064.00,,3626578.00,641112.00,65.00,11.13
1108,幸福,111,Q3,4609101.00,,,5675895.00,,3875757.00,747924.00,65.00,11.39
1109,信大,111,Q3,7696688.00,,,6326985.00,,1624623.00,128101.00,1882890.00,22.56
1109,信大,111,Q4,7765913.00,,,6560477.00,,1629093.00,197381.00,1897639.00,22.76
1109,信大,111,Q1,8052949.00,,,6582708.00,,1297800.00,103628.00,2111199.00,23.55
1109,信大,111,Q2,7469241.00,,,6651002.00,,2223545.00,99787.00,1837272.00,21.85
1110,東泥,111,Q3,8474171.00,,,1986120.00,,1783137.00,911508.00,110650.00,14.87
1110,東泥,111,Q2,8430395.00,,,1935982.00,,1737332.00,899709.00,129181.00,14.79
1110,東泥,111,Q1,8677210.00,,,1775189.00,,1442134.00,924969.00,85080.00,15.23
1110,東泥,111,Q4,8631706.00,,,2486102.00,,2381025.00,881996.00,94962.00,15.15
1201,味全,111,Q1,7021703.00,,,6442338.00,,6749443.00,4849697.00,8321.00,13.88
1201,味全,111,Q3,7252665.00,,,6481683.00,,6633380.00,4507674.00,7953.00,14.33
1201,味全,111,Q2,7063102.00,,,7226703.00,,8012497.00,4127572.00,7675.00,13.96
1201,味全,111,Q4,7224426.00,,,5723029.00,,6206831.00,4168739.00,8230.00,14.28
1203,味王,111,Q2,5201309.00,,,4716929.00,,2140409.00,1435942.00,862454.00,21.88
