代號,名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1229,聯華,107,Q1,114/10/29,,1224453.0,1021008.0,0.57
1229,聯華,107,Q2,114/10/29,,2488302.0,2078908.0,1.24
1229,聯華,107,Q3,114/10/29,,3766018.0,3152695.0,1.84
1229,聯華,107,Q4,114/10/29,,5097818.0,4265761.0,2.35
1231,聯華食,107,Q4,114/10/29,,8116880.0,6338806.0,3.26
1231,聯華食,107,Q2,114/10/29,,3767881.0,2996087.0,1.27
1231,聯華食,107,Q1,114/10/29,,2016950.0,1557862.0,0.84
1231,聯華食,107,Q3,114/10/29,,5993552.0,4710790.0,2.22
1232,大統益,107,Q4,114/10/29,,16948746.0,15091718.0,5.67
1232,大統益,107,Q2,114/10/29,,8382090.0,7492684.0,2.69
1232,大統益,107,Q3,114/10/29,,12555938.0,11249187.0,3.9
1232,大統益,107,Q1,114/10/29,,4117718.0,3688378.0,1.23
1233,天仁,107,Q1,114/10/29,,553440.0,231843.0,0.43
1233,天仁,107,Q4,114/10/29,,2193118.0,936979.0,1.93
1233,天仁,107,Q2,114/10/29,,1086757.0,457461.0,1.04
1233,天仁,107,Q3,114/10/29,,1649459.0,702004.0,1.56
1234,黑松,107,Q3,114/10/29,,7003696.0,5130554.0,1.43
1234,黑松,107,Q1,114/10/29,,2316158.0,1841778.0,0.3
1234,黑松,107,Q4,114/10/29,,8901634.0,6783973.0,1.73
1234,黑松,107,Q2,114/10/29,,4454176.0,3374339.0,0.72
1235,興泰,107,Q4,114/10/29,,57652.0,30891.0,1.25
1235,興泰,107,Q1,114/10/29,,6033.0,6654.0,0.15
1235,興泰,107,Q3,114/10/29,,50030.0,22911.0,1.8
1235,興泰,107,Q2,114/10/29,,13381.0,13454.0,0.33
1236,宏亞,107,Q3,114/10/29,,1410715.0,1072189.0,0.33
1236,宏亞,107,Q2,114/10/29,,898907.0,679554.0,0.16
1236,宏亞,107,Q1,114/10/29,,571543.0,410383.0,0.31
1236,宏亞,107,Q4,114/10/29,,1972592.0,1445695.0,0.12
1240,茂生農經,107,Q4,114/10/29,,1488400.0,1323303.0,3.2
1240,茂生農經,107,Q1,114/10/29,,375299.0,325295.0,0.93
1240,茂生農經,107,Q3,114/10/29,,1066528.0,958808.0,2.02
1240,茂生農經,107,Q2,114/10/29,,721109.0,638564.0,1.55
1256,鮮活果汁-KY,107,Q3,114/10/29,,2661941.0,1717606.0,12.47
1256,鮮活果汁-KY,107,Q2,114/10/29,,1634338.0,1080644.0,7.21
1256,鮮活果汁-KY,107,Q1,114/10/29,,699961.0,478591.0,2.13
1256,鮮活果汁-KY,107,Q4,114/10/29,,3221239.0,2077143.0,14.35
1259,安心,107,Q3,114/10/29,,3945423.0,2960833.0,3.66
1259,安心,107,Q1,114/10/29,,1235482.0,934619.0,0.8
1259,安心,107,Q2,114/10/29,,2543588.0,1910364.0,2.05
1259,安心,107,Q4,114/10/29,,5252104.0,3894871.0,4.36
1264,德麥,107,Q3,114/10/29,,2929325.0,1843978.0,10.0
1264,德麥,107,Q2,114/10/29,,1918781.0,1205557.0,6.32
1264,德麥,107,Q1,114/10/29,,959944.0,603366.0,2.85
1264,德麥,107,Q4,114/10/29,,3957774.0,2491726.0,13.27
1268,漢來美食,107,Q1,114/10/29,,979454.0,546025.0,2.31
1268,漢來美食,107,Q3,114/10/29,,2704749.0,1543580.0,4.54
1268,漢來美食,107,Q4,114/10/29,,3565658.0,2029403.0,6.13
1268,漢來美食,107,Q2,114/10/29,,1818063.0,1029803.0,3.4
1301,台塑,107,Q1,114/10/29,,54167368.0,44818153.0,1.87
1301,台塑,107,Q2,114/10/29,,116643451.0,95774876.0,4.56
1301,台塑,107,Q4,114/10/29,,230370027.0,193061959.0,7.78
1301,台塑,107,Q3,114/10/29,,174017580.0,144712245.0,7.42
1303,南亞,107,Q4,114/10/29,,333061560.0,284054265.0,6.65
1303,南亞,107,Q3,114/10/29,,255361902.0,215019489.0,6.1
1303,南亞,107,Q2,114/10/29,,168674081.0,141237162.0,3.8
1303,南亞,107,Q1,114/10/29,,82219991.0,68463037.0,1.7
1304,台聚,107,Q4,114/10/29,,60892513.0,55097773.0,0.5
1304,台聚,107,Q2,114/10/29,,30332479.0,26618432.0,0.49
1304,台聚,107,Q3,114/10/29,,45648482.0,40719474.0,0.6
1304,台聚,107,Q1,114/10/29,,14670146.0,12824540.0,0.24
1305,華夏,107,Q2,114/10/29,,7822558.0,6052776.0,1.82
1305,華夏,107,Q4,114/10/29,,15192621.0,12490058.0,2.52
1305,華夏,107,Q1,114/10/29,,4144200.0,3174086.0,1.1
1305,華夏,107,Q3,114/10/29,,11298548.0,8993440.0,2.3
1307,三芳,107,Q2,114/10/29,,4457733.0,3494471.0,0.41
