代號,名稱,年度,季別,營業活動之淨現金流入（流出）
1101,台泥,114,Q2,11637296.00
1101,台泥,114,Q1,6829705.00
1101,台泥,114,Q3,18912998.00
1102,亞泥,114,Q2,5374001.00
1102,亞泥,114,Q1,2773756.00
1103,嘉泥,114,Q3,329261.00
1103,嘉泥,114,Q1,94199.00
1103,嘉泥,114,Q2,177047.00
1104,環泥,114,Q1,183480.00
1104,環泥,114,Q2,355359.00
1108,幸福,114,Q2,815676.00
1108,幸福,114,Q1,248107.00
1109,信大,114,Q2,322589.00
1109,信大,114,Q1,10773.00
1109,信大,114,Q3,370726.00
1110,東泥,114,Q3,152800.00
1110,東泥,114,Q1,32025.00
1110,東泥,114,Q2,11630.00
1201,味全,114,Q3,830557.00
1201,味全,114,Q1,-30711.00
1201,味全,114,Q2,543561.00
1203,味王,114,Q1,516180.00
1203,味王,114,Q2,650792.00
1203,味王,114,Q3,1026964.00
1210,大成,114,Q1,1737327.00
1210,大成,114,Q2,2929237.00
1210,大成,114,Q3,5139926.00
1213,大飲,114,Q1,-116742.00
1213,大飲,114,Q3,-103502.00
1213,大飲,114,Q2,-118181.00
1215,卜蜂,114,Q1,1231477.00
1215,卜蜂,114,Q2,2022005.00
1216,統一,114,Q2,28807410.00
1216,統一,114,Q3,58404212.00
1216,統一,114,Q1,6504088.00
1217,愛之味,114,Q1,-152480.00
1217,愛之味,114,Q2,-309502.00
1218,泰山,114,Q1,-3329.00
1218,泰山,114,Q2,-69520.00
1219,福壽,114,Q1,532280.00
1219,福壽,114,Q2,522395.00
1219,福壽,114,Q3,686998.00
1220,台榮,114,Q2,266007.00
1220,台榮,114,Q1,321602.00
1225,福懋油,114,Q2,819355.00
1225,福懋油,114,Q1,319678.00
1227,佳格,114,Q1,598832.00
1227,佳格,114,Q2,31604.00
1229,聯華,114,Q1,615880.00
1229,聯華,114,Q2,963393.00
1231,聯華食,114,Q2,88359.00
1231,聯華食,114,Q1,25389.00
1232,大統益,114,Q1,890713.00
1232,大統益,114,Q3,1807819.00
1232,大統益,114,Q2,1038169.00
1233,天仁,114,Q1,48850.00
1233,天仁,114,Q3,143815.00
1233,天仁,114,Q2,96208.00
1234,黑松,114,Q1,111668.00
1234,黑松,114,Q2,96387.00
1234,黑松,114,Q3,-57800.00
1235,興泰,114,Q2,-83718.00
1235,興泰,114,Q1,-59093.00
1236,宏亞,114,Q3,100057.00
1236,宏亞,114,Q1,-58128.00
1236,宏亞,114,Q2,12165.00
1240,茂生農經,114,Q1,71955.00
1240,茂生農經,114,Q2,91127.00
1256,鮮活果汁-KY,114,Q1,-42387.00
1256,鮮活果汁-KY,114,Q2,311576.00
1259,安心,114,Q1,159701.00
1259,安心,114,Q2,392189.00
1259,安心,114,Q3,584129.00
1264,德麥,114,Q1,387419.00
1264,德麥,114,Q2,464597.00
1268,漢來美食,114,Q3,629136.00
1268,漢來美食,114,Q1,83027.00
1268,漢來美食,114,Q2,281209.00
1294,漢田生技,114,Q1,29808.00
1294,漢田生技,114,Q2,88350.00
1295,生合,114,Q3,80812.00
1295,生合,114,Q2,53022.00
1295,生合,114,Q1,21184.00
1301,台塑,114,Q1,-106577.00
1301,台塑,114,Q3,6358061.00
1301,台塑,114,Q2,-1035309.00
1303,南亞,114,Q3,14460968.00
1303,南亞,114,Q1,1364094.00
1303,南亞,114,Q2,6637302.00
1304,台聚,114,Q1,-63911.00
1304,台聚,114,Q2,371948.00
1305,華夏,114,Q2,-410947.00
1305,華夏,114,Q3,-628996.00
1305,華夏,114,Q1,-83816.00
1307,三芳,114,Q2,538896.00
1307,三芳,114,Q1,76870.00
1307,三芳,114,Q3,919506.00
1308,亞聚,114,Q3,291038.00
1308,亞聚,114,Q2,35614.00
1308,亞聚,114,Q1,-206378.00
1309,台達化,114,Q3,514944.00
1309,台達化,114,Q2,317464.00
1309,台達化,114,Q1,220477.00
1310,台苯,114,Q3,-54094.00
1310,台苯,114,Q1,28864.00
1310,台苯,114,Q2,-192541.00
1312,國喬,114,Q2,-850901.00
1312,國喬,114,Q1,272507.00
1313,聯成,114,Q3,-470603.00
1313,聯成,114,Q2,58227.00
1313,聯成,114,Q1,-1240931.00
1314,中石化,114,Q1,-1930772.00
1314,中石化,114,Q2,-2379393.00
1315,達新,114,Q2,-28742.00
1315,達新,114,Q1,166076.00
1316,上曜,114,Q2,-556707.00
1316,上曜,114,Q1,-536835.00
1316,上曜,114,Q3,-438669.00
1319,東陽,114,Q1,1966686.00
1319,東陽,114,Q3,3626841.00
1319,東陽,114,Q2,3035517.00
1321,大洋,114,Q1,95400.00
1321,大洋,114,Q3,217516.00
1321,大洋,114,Q2,254941.00
1323,永裕,114,Q1,80973.00
1323,永裕,114,Q3,169965.00
1323,永裕,114,Q2,132570.00
1324,地球,114,Q1,22216.00
1324,地球,114,Q2,13958.00
1324,地球,114,Q3,8415.00
1325,恆大,114,Q2,-47466.00
1325,恆大,114,Q1,-717.00
1326,台化,114,Q3,17125493.00
1326,台化,114,Q1,-2910582.00
1326,台化,114,Q2,10020173.00
1336,台翰,114,Q1,22639.00
1336,台翰,114,Q2,73658.00
1336,台翰,114,Q3,170930.00
1337,再生-KY,114,Q2,-218931.00
1337,再生-KY,114,Q1,-96959.00
1337,再生-KY,114,Q3,-279731.00
1338,廣華-KY,114,Q2,-56405.00
1338,廣華-KY,114,Q1,132508.00
1338,廣華-KY,114,Q3,164821.00
1339,昭輝,114,Q2,282198.00
1339,昭輝,114,Q1,222013.00
1340,勝悅-KY,114,Q1,-1744.00
1340,勝悅-KY,114,Q2,-16894.00
1340,勝悅-KY,114,Q3,-25380.00
1341,富林-KY,114,Q3,275598.00
1341,富林-KY,114,Q1,136947.00
1341,富林-KY,114,Q2,244669.00
1342,八貫,114,Q3,348753.00
1342,八貫,114,Q2,270858.00
1342,八貫,114,Q1,145312.00
1402,遠東新,114,Q2,17873255.00
1402,遠東新,114,Q1,4719473.00
1409,新纖,114,Q1,-2379542.00
1409,新纖,114,Q2,6644827.00
1410,南染,114,Q1,25419.00
1410,南染,114,Q2,19679.00
1410,南染,114,Q3,71965.00
1413,宏洲,114,Q2,202757.00
1413,宏洲,114,Q1,11091.00
1413,宏洲,114,Q3,184081.00
1414,東和,114,Q3,214693.00
1414,東和,114,Q2,173213.00
1414,東和,114,Q1,64878.00
