代號,名稱,年度,季別,除息交易日,收益分配基準日,收益分配發放日,配息,公告年度
0050,元大台灣50,109,M01,109年01月31日,109年02月08日,109年03月06日,2.9,109
0050,元大台灣50,109,M07,109年07月21日,109年07月27日,109年08月24日,0.7,109
0050,元大台灣50,109,M01,110年01月22日,110年01月30日,110年03月09日,3.05,110
0050,元大台灣50,109,M07,110年07月21日,110年07月27日,110年08月24日,0.35,110
0051,元大中型100,109,M11,110年11月19日,110年11月27日,110年12月20日,1.75,110
0051,元大中型100,109,M11,109年11月20日,109年11月28日,109年12月21日,1.1,109
0052,富邦科技,109,M04,109年04月22日,109年04月28日,109年05月29日,1.927,109
0052,富邦科技,109,M04,110年04月20日,110年04月26日,110年05月24日,1.032,110
0053,元大電子,109,M11,110年11月19日,110年11月27日,110年12月20日,1.7,110
0053,元大電子,109,M11,109年11月20日,109年11月28日,109年12月21日,1.3,109
0054,元大台商50,109,M11,109年11月20日,109年11月28日,109年12月21日,0.75,109
0054,元大台商50,109,M11,110年11月19日,110年11月27日,110年12月20日,0.7,110
0055,元大MSCI金融,109,M11,110年11月19日,110年11月27日,110年12月20日,0.75,110
0055,元大MSCI金融,109,M11,109年11月20日,109年11月28日,109年12月21日,0.65,109
0056,元大高股息,109,M10,110年10月22日,110年10月30日,110年11月25日,1.8,110
0056,元大高股息,109,M10,109年10月28日,109年11月03日,109年12月01日,1.6,109
006203,元大MSCI台灣,109,M01,109年01月31日,109年02月08日,109年03月03日,1.4,109
006203,元大MSCI台灣,109,M01,110年01月22日,110年01月30日,110年03月04日,1.15,110
006203,元大MSCI台灣,109,M07,109年07月21日,109年07月27日,109年08月19日,0.28,109
006203,元大MSCI台灣,109,M07,110年07月21日,110年07月27日,110年08月19日,0.19,110
006204,永豐臺灣加權,109,M10,110年10月19日,110年10月25日,110年11月19日,5.3,110
006204,永豐臺灣加權,109,M10,109年10月23日,109年10月31日,109年11月23日,0.76,109
006208,富邦台 50,109,M11,110年11月16日,110年11月22日,110年12月17日,1.641,110
006208,富邦台50,109,M07,110年07月16日,110年07月24日,110年08月18日,0.314,110
006208,富邦台50,109,M11,109年11月17日,109年11月23日,109年12月18日,1.139,109
006208,富邦台50,109,M07,109年07月21日,109年07月27日,109年08月27日,0.481,109
00660,元大歐洲50,109,M10,109年10月28日,109年11月03日,109年11月26日,0.36,109
00687B,國泰20年美債,109,M01,110年01月19日,110年01月25日,110年02月26日,0.19,110
00687B,國泰20年美債,109,M01,110年01月19日,110年01月25日,110年02月26日,0.19,110
00690,兆豐藍籌30ETF,109,M11,109年11月27日,109年12月05日,109年12月28日,0.84,109
00690,兆豐藍籌30ETF,109,M11,110年11月26日,110年12月04日,110年12月27日,0.84,110
00692,富邦公司治理,109,M07,109年07月21日,109年07月27日,109年08月27日,0.231,109
00692,富邦公司治理,109,M11,109年11月17日,109年11月23日,109年12月18日,0.608,109
00692,富邦公司治理,109,M11,110年11月16日,110年11月22日,110年12月17日,1.798,110
00692,富邦公司治理,109,M07,110年07月16日,110年07月24日,110年08月18日,0.172,110
00701,國泰股利精選30,109,M08,110年08月17日,110年08月23日,110年09月17日,0.25,110
00701,國泰股利精選30,109,M01,110年01月19日,110年01月25日,110年02月26日,0.73,110
00701,國泰股利精選30,109,M01,109年01月30日,109年02月07日,109年02月27日,1.66,109
00702,國泰標普低波高息,109,M01,110年01月19日,110年01月25日,110年02月26日,0.18,110
00702,國泰標普低波高息,109,M01,109年01月30日,109年02月07日,109年02月27日,0.23,109
00702,國泰標普低波高息,109,M07,109年07月20日,109年07月26日,109年08月18日,0.21,109
00702,國泰標普低波高息,109,M07,110年07月16日,110年07月24日,110年08月18日,0.28,110
00710B,FH彭博高收益債,109,M12,110年12月21日,110年12月27日,111年01月19日,0.24,110
00710B,FH彭博高收益債,109,M12,109年12月17日,109年12月23日,110年01月15日,0.24,109
00710B,FH彭博高收益債,109,M03,110年03月18日,110年03月24日,110年04月16日,0.24,110
00710B,FH彭博高收益債,109,M06,110年06月22日,110年06月28日,110年07月20日,0.24,110
00710B,FH彭博高收益債,109,M03,109年03月19日,109年03月25日,109年04月20日,0.261,109
00710B,FH彭博高收益債,109,M09,109年09月17日,109年09月23日,109年10月19日,0.26,109
00710B,FH彭博高收益債,109,M06,109年06月17日,109年06月23日,109年07月17日,0.26,109
00710B,FH彭博高收益債,109,M09,110年09月17日,110年09月27日,110年10月19日,0.24,110
00711B,FH彭博新興債,109,M06,109年06月17日,109年06月23日,109年07月17日,0.25,109
00711B,FH彭博新興債,109,M12,110年12月21日,110年12月27日,111年01月19日,0.18,110
00711B,FH彭博新興債,109,M12,109年12月17日,109年12月23日,110年01月15日,0.18,109
00711B,FH彭博新興債,109,M03,110年03月18日,110年03月24日,110年04月16日,0.18,110
00711B,FH彭博新興債,109,M09,110年09月17日,110年09月27日,110年10月19日,0.18,110
00711B,FH彭博新興債,109,M09,109年09月17日,109年09月23日,109年10月19日,0.23,109
00711B,FH彭博新興債,109,M06,110年06月22日,110年06月28日,110年07月20日,0.18,110
00711B,FH彭博新興債,109,M03,109年03月19日,109年03月25日,109年04月20日,0.25,109
00712,FH富時不動產,109,M03,109年03月19日,109年03月25日,109年04月20日,0.278,109
00712,FH富時不動產,109,M09,109年09月17日,109年09月23日,109年10月19日,0.273,109
00712,FH富時不動產,109,M06,110年06月22日,110年06月28日,110年07月20日,0.218,110
00712,FH富時不動產,109,M03,110年03月18日,110年03月24日,110年04月16日,0.173,110
00712,FH富時不動產,109,M12,109年12月17日,109年12月23日,110年01月15日,0.173,109
00712,FH富時不動產,109,M09,110年09月17日,110年09月27日,110年10月19日,0.188,110
00712,FH富時不動產,109,M12,110年12月21日,110年12月27日,111年01月19日,0.187,110
00712,FH富時不動產,109,M06,109年06月17日,109年06月23日,109年07月17日,0.338,109
00713,元大台灣高息低波,109,M11,109年11月20日,109年11月28日,109年12月21日,1.7,109
00713,元大台灣高息低波,109,M11,110年11月19日,110年11月27日,110年12月20日,3.15,110
00714,群益道瓊美國地產,109,M10,109年10月21日,109年10月27日,109年11月16日,0.102,109
00714,群益道瓊美國地產,109,M04,109年04月20日,109年04月26日,109年05月15日,0.12,109
00714,群益道瓊美國地產,109,M07,109年07月16日,109年07月22日,109年08月11日,0.15,109
00714,群益道瓊美國地產,109,M01,110年01月19日,110年01月25日,110年02月23日,0.121,110
00714,群益道瓊美國地產,109,M01,109年01月16日,109年02月03日,109年02月24日,,109
00714,群益道瓊美國地產,109,M07,110年07月16日,110年07月24日,110年08月11日,0.382,110
00714,群益道瓊美國地產,109,M01,109年01月16日,109年01月22日,109年02月24日,0.21,109
00714,群益道瓊美國地產,109,M10,110年10月19日,110年10月25日,110年11月12日,0.376,110
00714,群益道瓊美國地產,109,M04,110年04月20日,110年04月26日,110年05月17日,0.12,110
00717,富邦美國特別股,109,M10,110年10月19日,110年10月25日,110年11月19日,0.135,110
00717,富邦美國特別股,109,M10,109年10月21日,109年10月27日,109年11月23日,0.168,109
00717,富邦美國特別股,109,M07,109年07月21日,109年07月27日,109年08月18日,0.167,109
00717,富邦美國特別股,109,M04,110年04月20日,110年04月26日,110年05月24日,0.162,110
00717,富邦美國特別股,109,M04,109年04月22日,109年04月28日,109年05月29日,0.189,109
00717,富邦美國特別股,109,M07,110年07月16日,110年07月24日,110年08月18日,0.163,110
00717,富邦美國特別股,109,M01,109年01月30日,109年02月05日,109年02月27日,0.2,109
00717,富邦美國特別股,109,M01,110年01月19日,110年01月25日,110年02月25日,0.148,110
00728,第一金工業30,109,M01,110年01月21日,110年01月29日,110年03月03日,1.9,110
00728,第一金工業30,109,M01,109年01月30日,109年02月07日,109年02月27日,0.737,109
00730,富邦臺灣優質高息,109,M10,110年10月19日,110年10月25日,110年11月19日,1.127,110
00730,富邦臺灣優質高息,109,M10,109年10月21日,109年10月27日,109年11月23日,0.843,109
00731,FH富時高息低波,109,M11,110年11月17日,110年11月23日,110年12月14日,4.3,110
00731,FH富時高息低波,109,M11,109年11月18日,109年11月24日,109年12月15日,2.09,109
00733,富邦臺灣中小,109,M10,110年10月19日,110年10月25日,110年11月19日,2.09,110
00733,富邦臺灣中小,109,M10,109年10月21日,109年10月27日,109年11月23日,0.358,109
00735,國泰臺韓科技,109,M01,110年01月19日,110年01月25日,110年02月26日,1.03,110
00735,國泰臺韓科技,109,M07,110年07月16日,110年07月24日,110年08月18日,0.21,110
00735,國泰臺韓科技,109,M01,109年01月30日,109年02月07日,109年02月27日,0.38,109
00736,國泰富時新興市場,109,M01,109年01月30日,109年02月07日,109年02月27日,0.25,109
00736,國泰富時新興市場,109,M01,110年01月19日,110年01月25日,110年02月26日,0.25,110
00736,國泰富時新興市場,109,M07,110年07月16日,110年07月24日,110年08月18日,0.15,110
00739,元大MSCI A股,109,M10,109年10月28日,109年11月03日,109年11月26日,0.5,109
00742,新光內需收益,109,M12,110年12月30日,111年01月08日,111年02月09日,1.1,110
00742,新光內需收益,109,M12,109年12月30日,110年01月08日,110年01月29日,1.0,109
00770,國泰北美科技,109,M01,109年01月30日,109年02月07日,109年02月27日,0.76,109
00770,國泰北美科技,109,M01,110年01月19日,110年01月25日,110年02月26日,0.38,110
