代號,名稱,年度,季別,營業活動之淨現金流入（流出）
1101,台泥,111,Q3,3151747.0
1101,台泥,111,Q4,6180505.0
1101,台泥,111,Q1,2274524.0
1101,台泥,111,Q2,1999120.0
1102,亞泥,111,Q4,15308631.0
1102,亞泥,111,Q3,12191225.0
1102,亞泥,111,Q1,703931.0
1102,亞泥,111,Q2,5677002.0
1103,嘉泥,111,Q2,114120.0
1103,嘉泥,111,Q3,318007.0
1103,嘉泥,111,Q1,66598.0
1103,嘉泥,111,Q4,391837.0
1104,環泥,111,Q2,190093.0
1104,環泥,111,Q4,1013067.0
1104,環泥,111,Q1,31689.0
1104,環泥,111,Q3,579039.0
1108,幸福,111,Q4,644673.0
1108,幸福,111,Q2,410629.0
1108,幸福,111,Q3,584282.0
1108,幸福,111,Q1,359686.0
1109,信大,111,Q3,1506449.0
1109,信大,111,Q2,1022361.0
1109,信大,111,Q1,283093.0
1109,信大,111,Q4,1493858.0
1110,東泥,111,Q1,17397.0
1110,東泥,111,Q4,276638.0
1110,東泥,111,Q3,36867.0
1110,東泥,111,Q2,5248.0
1201,味全,111,Q4,848680.0
1201,味全,111,Q2,42384.0
1201,味全,111,Q3,997919.0
1201,味全,111,Q1,129471.0
1203,味王,111,Q3,61453.0
1203,味王,111,Q4,184910.0
1203,味王,111,Q1,4701.0
1203,味王,111,Q2,153224.0
1210,大成,111,Q1,1331645.0
1210,大成,111,Q3,2746589.0
1210,大成,111,Q2,1183750.0
1210,大成,111,Q4,2340094.0
1213,大飲,111,Q3,7463.0
1213,大飲,111,Q4,9796.0
1213,大飲,111,Q2,10586.0
1213,大飲,111,Q1,8971.0
1215,卜蜂,111,Q4,1402518.0
1215,卜蜂,111,Q3,1590758.0
1215,卜蜂,111,Q1,91384.0
1215,卜蜂,111,Q2,399536.0
1216,統一,111,Q2,23189357.0
1216,統一,111,Q1,2079133.0
1216,統一,111,Q4,62772368.0
1216,統一,111,Q3,44183117.0
1217,愛之味,111,Q4,128573.0
1217,愛之味,111,Q2,235370.0
1217,愛之味,111,Q3,197471.0
1217,愛之味,111,Q1,236851.0
1218,泰山,111,Q3,189591.0
1218,泰山,111,Q2,100297.0
1218,泰山,111,Q1,206174.0
1218,泰山,111,Q4,430901.0
1219,福壽,111,Q2,566475.0
1219,福壽,111,Q1,155881.0
1219,福壽,111,Q4,246026.0
1219,福壽,111,Q3,818741.0
1220,台榮,111,Q4,103425.0
1220,台榮,111,Q3,239773.0
1220,台榮,111,Q2,8839.0
1220,台榮,111,Q1,226577.0
1225,福懋油,111,Q3,175466.0
1225,福懋油,111,Q1,299786.0
1225,福懋油,111,Q2,186008.0
1225,福懋油,111,Q4,537.0
1227,佳格,111,Q1,83563.0
1227,佳格,111,Q3,2918891.0
1227,佳格,111,Q2,478799.0
1227,佳格,111,Q4,1870846.0
1229,聯華,111,Q4,3640573.0
1229,聯華,111,Q1,279417.0
