代號,名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1101,台泥,114,Q1,114/11/12,,34956255.00,29062547.00,0.07
1101,台泥,114,Q3,114/11/12,,109377581.00,89293046.00,-1.28
1101,台泥,114,Q2,114/11/12,,70310678.00,59070124.00,0.07
1102,亞泥,114,Q2,114/11/12,,35260444.00,29515334.00,1.28
1102,亞泥,114,Q1,114/11/12,,16594707.00,14222297.00,0.41
1103,嘉泥,114,Q2,114/11/12,,1521022.00,1271361.00,-0.32
1103,嘉泥,114,Q1,114/11/12,,752475.00,631715.00,0.13
1103,嘉泥,114,Q3,114/11/12,,2244681.00,1882321.00,0.73
1104,環泥,114,Q1,114/11/12,,1928654.00,1536947.00,0.42
1104,環泥,114,Q2,114/11/12,,3897477.00,3068831.00,0.98
1108,幸福,114,Q1,114/11/12,,1212710.00,975687.00,0.32
1108,幸福,114,Q2,114/11/12,,2373296.00,1877462.00,1.72
1109,信大,114,Q2,114/11/12,,2251696.00,1886436.00,0.49
1109,信大,114,Q1,114/11/12,,987534.00,884554.00,0.25
1109,信大,114,Q3,114/11/12,,3312269.00,2767441.00,0.80
1110,東泥,114,Q2,114/11/12,,1488986.00,1279805.00,0.07
1110,東泥,114,Q1,114/11/12,,740524.00,636946.00,0.08
1110,東泥,114,Q3,114/11/12,,2142289.00,1822223.00,0.29
1201,味全,114,Q2,114/11/12,,10731979.00,7760558.00,0.27
1201,味全,114,Q3,114/11/12,,16717790.00,12158273.00,0.43
1201,味全,114,Q1,114/11/12,,5206860.00,3749353.00,0.22
1203,味王,114,Q3,114/11/12,,4337935.00,2816008.00,1.28
1203,味王,114,Q2,114/11/12,,2954993.00,1893554.00,0.64
1203,味王,114,Q1,114/11/12,,1543194.00,969284.00,0.58
1210,大成,114,Q3,114/11/12,,75015426.00,64196717.00,2.67
1210,大成,114,Q2,114/11/12,,50338217.00,43183578.00,1.74
1210,大成,114,Q1,114/11/12,,25466623.00,21548574.00,1.05
1213,大飲,114,Q1,114/11/12,,66141.00,70466.00,-0.23
1213,大飲,114,Q3,114/11/12,,226784.00,231592.00,-0.65
1213,大飲,114,Q2,114/11/12,,135192.00,139618.00,-0.45
1215,卜蜂,114,Q1,114/11/12,,6697082.00,5262393.00,2.38
1215,卜蜂,114,Q2,114/11/12,,13757991.00,10829473.00,4.95
1216,統一,114,Q2,114/11/12,,338837523.00,225380957.00,1.88
1216,統一,114,Q1,114/11/12,,169265026.00,113129023.00,0.91
1216,統一,114,Q3,114/11/12,,515163655.00,342625009.00,2.93
1217,愛之味,114,Q2,114/11/12,,2427739.00,1754534.00,-0.05
1217,愛之味,114,Q1,114/11/12,,1184580.00,867955.00,-0.19
1218,泰山,114,Q2,114/11/12,,4929498.00,4070573.00,0.66
1218,泰山,114,Q1,114/11/12,,2498731.00,2079835.00,0.37
1219,福壽,114,Q1,114/11/12,,3632935.00,3310153.00,0.10
1219,福壽,114,Q2,114/11/12,,7127883.00,6587920.00,0.06
1219,福壽,114,Q3,114/11/12,,10596846.00,9738263.00,0.25
1220,台榮,114,Q2,114/11/12,,1559661.00,1421237.00,-0.11
1220,台榮,114,Q1,114/11/12,,763314.00,714940.00,-0.10
1225,福懋油,114,Q2,114/11/12,,6177586.00,5662519.00,0.80
1225,福懋油,114,Q1,114/11/12,,3190522.00,2923518.00,0.38
1227,佳格,114,Q1,114/11/12,,6880311.00,5134760.00,0.39
1227,佳格,114,Q2,114/11/12,,13055092.00,9622610.00,0.52
1229,聯華,114,Q1,114/11/12,,2426168.00,2050876.00,0.55
1229,聯華,114,Q2,114/11/12,,6531618.00,4621507.00,1.29
1231,聯華食,114,Q1,114/11/12,,3125895.00,2509525.00,0.46
1231,聯華食,114,Q2,114/11/12,,6105448.00,4899893.00,1.30
1232,大統益,114,Q3,114/11/12,,15836433.00,13752067.00,5.84
1232,大統益,114,Q1,114/11/12,,5397170.00,4705331.00,1.93
1232,大統益,114,Q2,114/11/12,,10501378.00,9104931.00,3.93
1233,天仁,114,Q2,114/11/12,,1073441.00,435764.00,0.41
1233,天仁,114,Q3,114/11/12,,1599940.00,646549.00,0.55
1233,天仁,114,Q1,114/11/12,,547920.00,219461.00,0.27
1234,黑松,114,Q2,114/11/12,,4696711.00,3441166.00,0.96
1234,黑松,114,Q1,114/11/12,,2229769.00,1702530.00,0.61
1234,黑松,114,Q3,114/11/12,,7308375.00,5194134.00,1.57
1235,興泰,114,Q2,114/11/12,,68170.00,49575.00,0.71
1235,興泰,114,Q1,114/11/12,,28420.00,19013.00,0.12
1236,宏亞,114,Q3,114/11/12,,1378074.00,1026412.00,-0.23
1236,宏亞,114,Q2,114/11/12,,849982.00,647321.00,-0.52
1236,宏亞,114,Q1,114/11/12,,515973.00,370395.00,0.06
1240,茂生農經,114,Q1,114/11/12,,683656.00,596612.00,1.15
1240,茂生農經,114,Q2,114/11/12,,1347115.00,1176369.00,2.50
1256,鮮活果汁-KY,114,Q2,114/11/12,,1797111.00,1296618.00,4.33
1256,鮮活果汁-KY,114,Q1,114/11/12,,735248.00,559164.00,0.72
1259,安心,114,Q3,114/11/12,,4533517.00,3519577.00,1.03
1259,安心,114,Q2,114/11/12,,2998322.00,2332217.00,0.93
1259,安心,114,Q1,114/11/12,,1469693.00,1146183.00,0.27
1264,德麥,114,Q2,114/11/12,,3291426.00,2217655.00,10.28
1264,德麥,114,Q1,114/11/12,,1662710.00,1117905.00,5.20
1268,漢來美食,114,Q1,114/11/12,,1735459.00,906017.00,4.39
1268,漢來美食,114,Q3,114/11/12,,4617097.00,2505806.00,7.70
1268,漢來美食,114,Q2,114/11/12,,3150533.00,1678276.00,6.15
1294,漢田生技,114,Q1,114/11/12,,174677.00,109414.00,1.17
1294,漢田生技,114,Q2,114/11/12,,369142.00,229544.00,2.35
1295,生合,114,Q1,114/11/12,,233724.00,107997.00,1.26
1295,生合,114,Q3,114/11/12,,754124.00,341126.00,4.07
1295,生合,114,Q2,114/11/12,,542837.00,236991.00,3.18
1301,台塑,114,Q3,114/11/12,,134307258.00,129683090.00,-1.13
1301,台塑,114,Q1,114/11/12,,47202204.00,44741833.00,0.01
1301,台塑,114,Q2,114/11/12,,92589306.00,88541190.00,-1.03
1303,南亞,114,Q3,114/11/12,,195445091.00,179822347.00,-0.05
1303,南亞,114,Q2,114/11/12,,131267601.00,120966118.00,-0.46
1303,南亞,114,Q1,114/11/12,,65551631.00,60928591.00,0.06
1304,台聚,114,Q2,114/11/12,,23721688.00,23077937.00,-1.40
1304,台聚,114,Q1,114/11/12,,12147495.00,11711524.00,-0.59
1305,華夏,114,Q2,114/11/12,,5120293.00,5418070.00,-1.16
1305,華夏,114,Q1,114/11/12,,2462129.00,2567654.00,-0.46
1305,華夏,114,Q3,114/11/12,,7385398.00,7747248.00,-1.34
1307,三芳,114,Q2,114/11/12,,5405637.00,3680655.00,0.96
1307,三芳,114,Q3,114/11/12,,8251584.00,5648838.00,2.01
1307,三芳,114,Q1,114/11/12,,2931014.00,1965652.00,1.08
1308,亞聚,114,Q1,114/11/12,,1534387.00,1432751.00,-0.40
1308,亞聚,114,Q2,114/11/12,,2874834.00,2726489.00,-0.90
1308,亞聚,114,Q3,114/11/12,,4340671.00,4182798.00,-1.16
1309,台達化,114,Q2,114/11/12,,8082368.00,7715349.00,-0.75
1309,台達化,114,Q3,114/11/12,,11474808.00,10981453.00,-0.93
1309,台達化,114,Q1,114/11/12,,4232767.00,4023409.00,-0.14
