"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1580 - 新麥","董事會決議","114年 年度","114/01/01~114/12/31","1","115/03/11","不適用","      1,423,582,433","        622,491,719","      1,927,064,941","      1,507,681,384","8.50000000","0.0","0.0","        419,383,557","0.0","0.0","0.0","                  0","股利分派條次：第廿九條及第廿九條之一公司章程連結網址：https://www.sinmag.com.tw/msg/message-%E9%87%8D%E8%A6%81%E5%85%AC%E5%8F%B8%E5%85%A7%E8%A6%8F-20.html","無",
"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1584 - 精剛","股東會確認","114年 年度","114/01/01~114/12/31","1","115/03/03","115/05/28","        337,685,194","        101,741,246","        415,201,911","        357,084,278","0.25000000","0.0","0.0","         58,117,633","0.0","0.0","0.0","                  0","本公司年終結算如有盈餘，除提付應納稅款外，應先彌補以往年度虧損，次就其餘額提出百分之十為法定盈餘公積，並得視業務需要或法令規定提列特別盈餘公積，如尚有盈餘，加計前期累積未分配盈餘後，由董事會擬定分配案，提請股東會通過後分配之。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之百分之五十。","",
"1586 - 和勤","董事會決議","114年 年度","114/01/01~114/12/31","1","114/03/12","不適用","        140,215,653","        -34,134,105","        109,272,540","        109,272,540","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司&#63886;&#64001;決算如有盈餘，依法繳納稅捐，彌補&#63823;積虧損後，再加計本期稅後淨&#63965;以外項目計入當&#63886;&#64001;未分配盈餘之&#63849;額提存百分之十為法定盈餘公積，但法定盈餘公積已達實收資本總額時，得&#63847;再提&#63900;。其餘再依法&#63912;規定提&#63900;或迴轉特別盈餘公積，如尚有餘額，併同&#63823;積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅&#63965;。
本公司分派股息及紅&#63965;或法定盈餘公積及資本公積之全部或一部如以發放現&#63754;之方式為之，授權董事會以三分之二以上董事之出席，及出席董事過半&#63849;同意後為之，並報告股東會。
本公司股&#63965;政策，係配合目前及未&#63789;之發展計畫、考&#63870;投資環境、資&#63754;需求及國外競爭&#63994;況，並兼顧股東&#63965;&#64023;等因素，每&#63886;就當&#63886;&#64001;新增可供分配盈餘提撥&#63847;低於百分之十分配股東紅&#63965;，惟當&#63886;&#64001;新增可供分配盈餘低於實收資本額百分之一時，得&#63847;予分配。分配股東紅&#63965;時得以股票或現&#63754;方式為之，其中現&#63754;股&#63965;&#63847;低於股&#63965;總額之10%。","無",
"1591 - 駿吉-KY","董事會決議","114年 下半年","114/07/01~114/12/31","1","115/03/12","不適用","         48,122,620","       -104,068,173","        -49,823,388","        -49,823,388","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司分配股利之政策，須視公司目前及未來之投資環
境、資金需求、國內外競爭狀況及資本預算等因素，兼
顧股東利益、平衡股利及公司長期財務規劃等，每年依
法由董事會擬具分派案，提報股東會。","無。",
"1591 - 駿吉-KY","董事會決議","114年 上半年","114/01/01~114/06/30","1","114/08/27","不適用","         48,122,620","        -50,224,596","         -2,101,976","                  0","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","(一)依「公司章程」第100條第二項規定：董事會於上半會計年度終了後得為盈餘分派(“期中股利”)，但應符合下列條件: (I)公司之虧損(包括以前年度之虧損)應先撥補完畢；及(II)分派期中股利以發新股方式為之者，應依第44條(i)款經股東會以特別決議同意。","無",
"1593 - 祺驊","董事會決議","114年 第4季","114/10/01~114/12/31","1","115/03/05","不適用","        115,139,794","         86,910,692","        163,284,774","         83,715,230","2.00000000","0.0","0.0","         79,569,544","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之，盈餘分派以現金發放者，依公司法規定，由董事會決議辦理。
本公司每年決算如有盈餘，應先提繳稅款，彌補虧損及提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；其餘額再依法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，依法令、本章程所訂程序及下列原則，分派股東股息紅利。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將應分派股息及紅利之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將法定盈餘公積及資本公積之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，就可供分配盈餘提撥不低於10%分配股東股息紅利；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之50%。","無",
"1593 - 祺驊","董事會決議","114年 第3季","114/07/01~114/09/30","1","114/11/06","不適用","        115,139,794","         50,978,479","        166,118,273","        166,118,273","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之，盈餘分派以現金發放者，依公司法規定，由董事會決議辦理。
本公司每年決算如有盈餘，應先提繳稅款，彌補虧損及提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；其餘額再依法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，依法令、本章程所訂程序及下列原則，分派股東股息紅利。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將應分派股息及紅利之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將法定盈餘公積及資本公積之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，就可供分配盈餘提撥不低於10%分配股東股息紅利；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之50%。","無",
