出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","107","3","2801","彰銀","17392663.00","7293665.00","1558366.00","11673502.00","11454460.00","1486334.00","9968126.00","--","--","9968126.00","829029.00","10797155.00","--","--","--","--","--","--","1.02"
"114/10/29","107","3","2812","台中銀","6255711.00","2398152.00","308538.00","4889903.00","3455422.00","466374.00","2989048.00","0.00","--","2989048.00","181124.00","3170172.00","2989048.00","0.00","0.00","3170172.00","0.00","0.00","0.89"
"114/10/29","107","3","2820","華票","750143.00","763131.00","-131512.00","369397.00","1275389.00","226626.00","1048763.00","0.00","0.00","1048763.00","-143014.00","905749.00","--","--","--","--","--","--","0.78"
"114/10/29","107","3","2834","臺企銀","12914572.00","4557338.00","674006.00","9616262.00","7181642.00","1167764.00","6013878.00","0.00","--","6013878.00","962117.00","6975995.00","6013878.00","0.00","0.00","6975995.00","0.00","0.00","0.94"
"114/10/29","107","3","2836","高雄銀","1964877.00","701144.00","631517.00","1712429.00","322075.00","-44305.00","366380.00","--","--","366380.00","-101561.00","264819.00","--","--","--","--","--","--","0.35"
"114/10/29","107","3","2838","聯邦銀","5075476.00","4702228.00","349623.00","6640215.00","2787866.00","385565.00","2402301.00","--","--","2402301.00","485048.00","2887349.00","2401362.00","--","939.00","2886688.00","--","661.00","0.86"
"114/10/29","107","3","2845","遠東銀","4222451.00","4217349.00","442867.00","4924175.00","3072758.00","346005.00","2726753.00","--","--","2726753.00","-244911.00","2481842.00","2726753.00","--","--","2481842.00","--","--","0.83"
"114/10/29","107","3","2849","安泰銀","2870735.00","1873368.00","685424.00","2138523.00","1920156.00","473282.00","1446874.00","0.00","--","1446874.00","-33084.00","1413790.00","--","--","--","--","--","--","0.83"
"114/10/29","107","3","2897","王道銀行","3165569.00","2659029.00","261447.00","3427137.00","2136014.00","637943.00","1498071.00","2958.00","--","1501029.00","-81213.00","1419816.00","727614.00","--","773415.00","741526.00","--","678290.00","0.30"
"114/10/29","107","3","5876","上海商銀","20134454.00","7383910.00","517510.00","9914726.00","17086128.00","3469687.00","13616441.00","--","--","13616441.00","4574776.00","18191217.00","10218026.00","--","3398415.00","12088660.00","--","6102557.00","2.51"
