出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","107","2","2801","彰銀","11568226.00","4843602.00","1154016.00","7785710.00","7472102.00","907190.00","6564912.00","--","--","6564912.00","488169.00","7053081.00","--","--","--","--","--","--","0.67"
"114/10/29","107","2","2812","台中銀","4100475.00","1559436.00","267019.00","3208076.00","2184816.00","274391.00","1910425.00","0.00","--","1910425.00","109224.00","2019649.00","1910425.00","0.00","0.00","2019649.00","0.00","0.00","0.57"
"114/10/29","107","2","2820","華票","513069.00","482922.00","-124240.00","251474.00","868757.00","146469.00","722288.00","--","--","722288.00","-146218.00","576070.00","--","--","--","--","--","--","0.54"
"114/10/29","107","2","2834","臺企銀","8731403.00","3075138.00","567623.00","6492332.00","4746586.00","821288.00","3925298.00","--","--","3925298.00","609452.00","4534750.00","3925298.00","0.00","0.00","4534750.00","0.00","0.00","0.64"
"114/10/29","107","2","2836","高雄銀","1291475.00","518526.00","517601.00","1141731.00","150669.00","-60769.00","211438.00","--","--","211438.00","-120994.00","90444.00","--","--","--","--","--","--","0.21"
"114/10/29","107","2","2838","聯邦銀","3348801.00","3058185.00","237876.00","4445669.00","1723441.00","212191.00","1511250.00","--","--","1511250.00","9882.00","1521132.00","1507670.00","--","3580.00","1517752.00","--","3380.00","0.53"
"114/10/29","107","2","2845","遠東銀","2714222.00","2712422.00","303699.00","3245794.00","1877151.00","173538.00","1703613.00","--","--","1703613.00","-192836.00","1510777.00","1703613.00","--","--","1510777.00","--","--","0.54"
"114/10/29","107","2","2849","安泰銀","1911795.00","1353534.00","653719.00","1378229.00","1233381.00","284423.00","948958.00","0.00","--","948958.00","-3849.00","945109.00","--","--","--","--","--","--","0.55"
"114/10/29","107","2","2897","王道銀行","2109561.00","1758485.00","154739.00","2233908.00","1479399.00","437012.00","1042387.00","953.00","--","1043340.00","-25384.00","1017956.00","511621.00","--","531719.00","583569.00","--","434387.00","0.21"
"114/10/29","107","2","5876","上海商銀","13051993.00","4989922.00","365634.00","6437253.00","11239028.00","2390967.00","8848061.00","--","--","8848061.00","3584122.00","12432183.00","6649703.00","--","2198358.00","8065363.00","--","4366820.00","1.63"
