出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/11/22","112","1","2880","華南金","7550066.00","6719912.00","14269978.00","396955.00","451034.00","7355275.00","6066714.00","1066643.00","5000071.00","--","5000071.00","3165688.00","8165759.00","5000054.00","--","17.00","8165728.00","--","31.00","0.37"
"114/11/22","112","1","2881","富邦金","39865422.00","-7827121.00","32038301.00","1086073.00","-1413982.00","18342327.00","14023883.00","151093.00","13872790.00","--","13872790.00","134706129.00","148578919.00","13983146.00","--","-110356.00","147507517.00","--","1071402.00","1.13"
"114/11/22","112","1","2882","國泰金","59513266.00","8896981.00","68410247.00","-346238.00","38219189.00","23299872.00","7237424.00","64040.00","7173384.00","--","7173384.00","76967269.00","84140653.00","7009028.00","--","164356.00","83553949.00","--","586704.00","0.48"
"114/11/22","112","1","2883","凱基金","17809232.00","-6044620.00","11764612.00","-90316.00","846221.00","7662634.00","3346073.00","-158501.00","3504574.00","--","3504574.00","20700903.00","24205477.00","3502425.00","--","2149.00","24202739.00","--","2738.00","0.21"
"114/11/22","112","1","2884","玉山金","6624332.00","9175878.00","15800210.00","-1884.00","--","8266322.00","7535772.00","1489186.00","6046586.00","--","6046586.00","1291198.00","7337784.00","6042191.00","--","4395.00","7333431.00","--","4353.00","0.42"
"114/11/22","112","1","2885","元大金","7317380.00","16273487.00","23590867.00","-256275.00","4095727.00","11721313.00","8030102.00","1625122.00","6404980.00","--","6404980.00","5603817.00","12008797.00","5772301.00","--","632679.00","12086767.00","--","-77970.00","0.46"
"114/11/22","112","1","2886","兆豐金","9131324.00","9146290.00","18277614.00","395212.00","-2113501.00","7749624.00","12246279.00","1470410.00","10775869.00","--","10775869.00","4531923.00","15307792.00","10775869.00","--","0.00","15307792.00","--","0.00","0.77"
"114/11/22","112","1","2887","台新新光金","7333337.00","11889316.00","19222653.00","243800.00","5274898.00","7749025.00","5954930.00","890513.00","5064417.00","--","5064417.00","2934658.00","7999075.00","5064440.00","--","-23.00","7999098.00","--","-23.00","0.38"
"114/11/22","112","1","2889","國票金","358394.00","1455550.00","1813944.00","5497.00","--","897505.00","910942.00","215300.00","695642.00","--","695642.00","764426.00","1460068.00","605589.00","--","90053.00","1362875.00","--","97193.00","0.18"
"114/11/22","112","1","2890","永豐金","6311404.00","6506710.00","12818114.00","431800.00","--","6860672.00","5525642.00","777085.00","4748557.00","--","4748557.00","3593261.00","8341818.00","4748557.00","--","0.00","8341818.00","--","0.00","0.41"
"114/11/22","112","1","2891","中信金","32654277.00","-9116304.00","23537973.00","1188222.00","-13919806.00","20473820.00","15795737.00","2293742.00","13501995.00","--","13501995.00","18448038.00","31950033.00","12959386.00","--","542609.00","31726528.00","--","223505.00","0.66"
"114/11/22","112","1","2892","第一金","7973158.00","9767737.00","17740895.00","1166632.00","1099237.00","7174927.00","8300099.00","1669681.00","6630418.00","--","6630418.00","5718966.00","12349384.00","6630418.00","--","--","12349384.00","--","--","0.50"
"114/11/22","112","1","5880","合庫金","8587186.00","6160208.00","14747394.00","1054408.00","652753.00","7081168.00","5959065.00","922430.00","5036635.00","--","5036635.00","6452134.00","11488769.00","4886540.00","--","150095.00","11211838.00","--","276931.00","0.35"
