出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/11/22","112","3","2801","彰銀","16672962.00","12698268.00","2308076.00","14300038.00","12763116.00","2526494.00","10236622.00","--","--","10236622.00","7475875.00","--","17712497.00","10236622.00","--","--","17712497.00","--","--","0.94"
"114/11/22","112","3","2812","台中銀","8527807.00","4419911.00","1318569.00","5739970.00","5889179.00","983515.00","4905664.00","--","--","4905664.00","668497.00","--","5574161.00","4905664.00","--","--","5574161.00","--","--","0.94"
"114/11/22","112","3","2820","華票","184509.00","1487507.00","-6796.00","377864.00","1300948.00","211881.00","1089067.00","--","--","1089067.00","978689.00","--","2067756.00","--","--","--","--","--","--","0.81"
"114/11/22","112","3","2834","臺企銀","14309928.00","9842693.00","2215048.00","11930353.00","10007220.00","1638331.00","8368889.00","--","--","8368889.00","3538739.00","--","11907628.00","8368889.00","--","--","11907628.00","--","--","1.02"
"114/11/22","112","3","2836","高雄銀","1920813.00","1007322.00","-94840.00","2076141.00","946834.00","255275.00","691559.00","--","--","691559.00","550061.00","--","1241620.00","--","--","--","--","--","--","0.56"
"114/11/22","112","3","2838","聯邦銀","6340317.00","7269424.00","524143.00","8708006.00","4377592.00","714442.00","3663150.00","--","--","3663150.00","1809697.00","--","5472847.00","3657329.00","--","5821.00","5467025.00","--","5822.00","0.84"
"114/11/22","112","3","2845","遠東銀","4989867.00","4820130.00","331331.00","5560098.00","3918568.00","481005.00","3437563.00","--","--","3437563.00","968436.00","--","4405999.00","3437563.00","--","--","4405999.00","--","--","0.84"
"114/11/22","112","3","2849","安泰銀","2653780.00","1810866.00","1265422.00","2354737.00","844487.00","78434.00","766053.00","0.00","--","766053.00","-83354.00","--","682699.00","--","--","--","--","--","--","0.39"
"114/11/22","112","3","2897","王道銀行","1649477.00","5857547.00","393336.00","3515767.00","3597921.00","647537.00","2950384.00","--","--","2950384.00","1482961.00","--","4433345.00","2142957.00","--","807427.00","2901259.00","--","1532086.00","0.74"
"114/11/22","112","3","5876","上海商銀","29133969.00","8938132.00","2182552.00","13775593.00","22113956.00","3898083.00","18215873.00","--","--","18215873.00","9883313.00","--","28099186.00","14681813.00","--","3534060.00","20415722.00","--","7683464.00","3.03"
