出表日期,年度,季別,公司代號,公司名稱,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/11/23","114","3","1409","新纖","30439401.00","28305974.00","2133427.00","170214.00","1963213.00","--","1963213.00","1111488.00","3074701.00","1560373.00","--","402840.00","2637950.00","--","436751.00","0.97"
"114/11/23","114","3","1718","中纖","34082553.00","27470004.00","6612549.00","1352442.00","5260107.00","--","5260107.00","1322789.00","6582896.00","255033.00","--","5005074.00","835655.00","--","5747241.00","0.19"
"114/11/23","114","3","2207","和泰車","211936740.00","191523393.00","20413347.00","4097968.00","16315379.00","--","16315379.00","-2132890.00","14182489.00","13847332.00","--","2468047.00","11964231.00","--","2218258.00","24.86"
"114/11/23","114","3","2905","三商","132013997.00","131030605.00","983392.00","-394056.00","1377448.00","--","1377448.00","-2511157.00","-1133709.00","557803.00","--","819645.00","-355727.00","--","-777982.00","0.53"
