出表日期,年度,季別,公司代號,公司名稱,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/09/04","114","4","1409","新纖","39386078.00","36477508.00","2908570.00","431813.00","2476757.00","--","2476757.00","2575693.00","5052450.00","1922533.00","--","554224.00","4369333.00","--","683117.00","1.19"
"115/09/04","114","4","1718","中纖","45272858.00","36565179.00","8707679.00","1814369.00","6893310.00","--","6893310.00","1122217.00","8015527.00","118827.00","--","6774483.00","696309.00","--","7319218.00","0.09"
"115/09/04","114","4","2207","和泰車","282608974.00","255187678.00","27421296.00","4952129.00","22469167.00","--","22469167.00","101062.00","22570229.00","18900453.00","--","3568714.00","18968537.00","--","3601692.00","33.93"
"115/09/04","114","4","2905","三商","160442001.00","159209722.00","1232279.00","-589840.00","1822119.00","--","1822119.00","-3238924.00","-1416805.00","755071.00","--","1067048.00","-421009.00","--","-995796.00","0.71"
