出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/09/04","114","4","2801","彰銀","27106352.00","18203737.00","2866439.00","21326927.00","21116723.00","3341857.00","17774866.00","--","--","17774866.00","6757680.00","--","24532546.00","17774866.00","--","--","24532546.00","--","--","1.51"
"115/09/04","114","4","2812","台中銀","13288080.00","7353535.00","648694.00","9128659.00","10864262.00","1806769.00","9057493.00","--","--","9057493.00","813239.00","--","9870732.00","9057493.00","--","--","9870732.00","--","--","1.53"
"115/09/04","114","4","2820","華票","924012.00","2054563.00","108857.00","614291.00","2255427.00","459348.00","1796079.00","--","--","1796079.00","1858199.00","--","3654278.00","--","--","--","--","--","--","1.34"
"115/09/04","114","4","2834","臺企銀","20605925.00","14482114.00","2324422.00","17518655.00","15244962.00","3013143.00","12231819.00","0.00","--","12231819.00","5080702.00","--","17312521.00","12231819.00","0.00","0.00","17312521.00","--","--","1.26"
"115/09/04","114","4","2836","高雄銀","3560482.00","1460842.00","387149.00","3067328.00","1566847.00","288972.00","1277875.00","--","--","1277875.00","973760.00","--","2251635.00","--","--","--","--","--","--","0.68"
"115/09/04","114","4","2838","聯邦銀","9218753.00","11499985.00","925419.00","12546317.00","7247002.00","1164605.00","6082397.00","--","--","6082397.00","3754671.00","--","9837068.00","6101732.00","--","-19335.00","9856383.00","--","-19315.00","1.29"
"115/09/04","114","4","2845","遠東銀","6803609.00","6065046.00","253010.00","7956152.00","4659493.00","488078.00","4171415.00","--","--","4171415.00","1207528.00","--","5378943.00","4171415.00","--","--","5378943.00","--","--","0.93"
"115/09/04","114","4","2849","安泰銀","3065858.00","2697946.00","443983.00","3615883.00","1703938.00","164955.00","1538983.00","0.00","--","1538983.00","1089498.00","--","2628481.00","--","--","--","--","--","--","0.79"
"115/09/04","114","4","2897","王道銀行","2495726.00","7470744.00","652292.00","5162060.00","4152118.00","1002847.00","3149271.00","--","--","3149271.00","2534015.00","--","5683286.00","1830666.00","--","1318605.00","3049810.00","--","2633476.00","0.61"
"115/09/04","114","4","5876","上海商銀","36798341.00","16505989.00","14128485.00","20657803.00","18518042.00","1598482.00","16919560.00","--","--","16919560.00","118492.00","--","17038052.00","14827654.00","--","2091906.00","15579664.00","--","1458388.00","3.06"
