出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/11/22","114","3","2801","彰銀","19797974.00","14681082.00","1664416.00","15877820.00","16936820.00","2786369.00","14150451.00","--","--","14150451.00","2540629.00","--","16691080.00","14150451.00","--","--","16691080.00","--","--","1.20"
"114/11/22","114","3","2812","台中銀","9787290.00","5414272.00","269103.00","6894643.00","8037816.00","1351444.00","6686372.00","--","--","6686372.00","1138570.00","--","7824942.00","6686372.00","--","--","7824942.00","--","--","1.13"
"114/11/22","114","3","2820","華票","630809.00","1623644.00","14947.00","457816.00","1781690.00","369928.00","1411762.00","--","--","1411762.00","1565282.00","--","2977044.00","--","--","--","--","--","--","1.05"
"114/11/22","114","3","2834","臺企銀","15097241.00","11929968.00","2125946.00","12969513.00","11931750.00","2145850.00","9785900.00","--","--","9785900.00","3871569.00","--","13657469.00","9785900.00","--","--","13657469.00","--","--","1.01"
"114/11/22","114","3","2836","高雄銀","2623738.00","1113949.00","258168.00","2328155.00","1151364.00","212164.00","939200.00","--","--","939200.00","984446.00","--","1923646.00","--","--","--","--","--","--","0.49"
"114/11/22","114","3","2838","聯邦銀","6974941.00","8299197.00","617107.00","9335027.00","5322004.00","860029.00","4461975.00","--","--","4461975.00","2558456.00","--","7020431.00","4477852.00","--","-15877.00","7036289.00","--","-15858.00","0.91"
"114/11/22","114","3","2845","遠東銀","4959768.00","4650331.00","334107.00","5861760.00","3414232.00","352896.00","3061336.00","--","--","3061336.00","749208.00","--","3810544.00","3061336.00","--","--","3810544.00","--","--","0.70"
"114/11/22","114","3","2849","安泰銀","2153486.00","2065419.00","276507.00","2657189.00","1285209.00","140699.00","1144510.00","0.00","--","1144510.00","870817.00","--","2015327.00","--","--","--","--","--","--","0.58"
"114/11/22","114","3","2897","王道銀行","1689579.00","5973373.00","455748.00","3808887.00","3398317.00","769318.00","2628999.00","--","--","2628999.00","1855844.00","--","4484843.00","1593250.00","--","1035749.00","2367143.00","--","2117700.00","0.53"
"114/11/22","114","3","5876","上海商銀","26624897.00","13709277.00","9309241.00","15022757.00","16002176.00","1631558.00","14370618.00","--","--","14370618.00","-8725979.00","--","5644639.00","12413688.00","--","1956930.00","7848056.00","--","-2203417.00","2.56"
