出表日期,年度,季別,公司代號,公司名稱,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/03/12","114","4","5864","致和證","1414894.00","295068.00","1119826.00","58431.00","1178257.00","16379.00","1161878.00","0.00","0.00","1161878.00","-65974.00","0.00","1095904.00","--","--","--","--","--","--","2.56"
"115/03/12","114","4","6023","元大期貨","3662905.00","4689681.00","-1026776.00","4282933.00","3256157.00","600712.00","2655445.00","--","--","2655445.00","140085.00","--","2795530.00","2655445.00","--","--","2795530.00","--","--","8.45"
