出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/28","110","4","5864","致和證","-528386.00","-19230.00","555221.00","--","7605.00","88472.00","96077.00"
"114/10/28","110","4","6015","宏遠證","1579994.00","-272700.00","579573.00","--","1886867.00","1219126.00","3105993.00"
"114/10/28","110","4","6016","康和證","747601.00","-620451.00","-1911514.00","5480.00","-1778884.00","3434150.00","1655266.00"
"114/10/28","110","4","6020","大展證","1045020.00","-15895.00","-184146.00","--","844979.00","1001673.00","1846652.00"
"114/10/28","110","4","6021","美好證","-541568.00","-251781.00","828548.00","--","35199.00","295089.00","330288.00"
"114/10/28","110","4","6023","元大期貨","1688382.00","-191500.00","632258.00","-14264.00","2114876.00","7189210.00","9304086.00"
"114/10/28","110","4","6026","福邦證","-179297.00","-5742.00","319476.00","0.00","134437.00","449529.00","583966.00"
