出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"115/02/28","114","4","1232","大統益","2064197.00","-420063.00","-1190080.00","--","454054.00","2235897.00","2689951.00"
"115/02/28","114","4","1236","宏亞","126670.00","312081.00","-476042.00","0.00","-37291.00","74287.00","36996.00"
"115/02/28","114","4","1342","八貫","427110.00","-96798.00","-613641.00","--","-283329.00","641080.00","357751.00"
"115/02/28","114","4","1436","華友聯","-1448796.00","-22778.00","2117204.00","--","645630.00","1391826.00","2037456.00"
"115/02/28","114","4","1459","聯發","224829.00","750062.00","-538347.00","-4215.00","432329.00","368687.00","801016.00"
"115/02/28","114","4","1515","力山","119778.00","-718266.00","239224.00","6663.00","-352601.00","2372119.00","2019518.00"
"115/02/28","114","4","1535","中宇","962050.00","-108022.00","-473872.00","-63346.00","316810.00","1203566.00","1520376.00"
"115/02/28","114","4","1597","直得","123746.00","-125724.00","-163591.00","7695.00","-157874.00","864632.00","706758.00"
"115/02/28","114","4","1605","華新","5269740.00","-11310973.00","8995717.00","272386.00","3226870.00","10988441.00","14215311.00"
"115/02/28","114","4","1712","興農","2022720.00","-865962.00","-1269750.00","6163.00","-106829.00","2096179.00","1989350.00"
"115/02/28","114","4","1720","生達","1766827.00","-1073166.00","-378101.00","-1942.00","313618.00","1520128.00","1833746.00"
"115/02/28","114","4","1723","中碳","879285.00","-369443.00","-547916.00","527.00","-37547.00","1151306.00","1113759.00"
"115/02/28","114","4","1730","花仙子","428277.00","-288134.00","-232723.00","-767.00","-93347.00","1101159.00","1007812.00"
"115/02/28","114","4","1731","美吾華","223243.00","22123.00","-196474.00","803.00","49695.00","175367.00","225062.00"
"115/02/28","114","4","1752","南光","464078.00","-281935.00","-138016.00","0.00","44127.00","301542.00","345669.00"
"115/02/28","114","4","2002","中鋼","49299218.00","-31962684.00","-15881584.00","298703.00","1753653.00","15065137.00","16818790.00"
"115/02/28","114","4","2006","東和鋼鐵","8642137.00","-1413441.00","-7325488.00","-155255.00","-252047.00","1519082.00","1267035.00"
"115/02/28","114","4","2013","中鋼構","3060312.00","-122999.00","-2146821.00","--","790492.00","467748.00","1258240.00"
"115/02/28","114","4","2014","中鴻","2450880.00","-394051.00","-1978928.00","--","77901.00","673982.00","751883.00"
"115/02/28","114","4","2015","豐興","5188299.00","-576599.00","-2803750.00","--","1807950.00","1171339.00","2979289.00"
"115/02/28","114","4","2049","上銀","4277241.00","-2817875.00","-1278070.00","89146.00","270442.00","7353929.00","7624371.00"
"115/02/28","114","4","2059","川湖","11333685.00","-926810.00","-3363157.00","-452452.00","6591266.00","17488354.00","24079620.00"
"115/02/28","114","4","2062","橋椿","1187410.00","-1012784.00","-179427.00","3514.00","-1287.00","1160519.00","1159232.00"
"115/02/28","114","4","2301","光寶科","14532847.00","-7394760.00","-23098917.00","-3748425.00","-19709255.00","100683607.00","80974352.00"
"115/02/28","114","4","2303","聯電","99864187.00","-53154432.00","-39203859.00","-1846070.00","5659826.00","105000226.00","110660052.00"
"115/02/28","114","4","2308","台達電","98474281.00","-53214206.00","-9401397.00","-2145753.00","33712925.00","117459250.00","151172175.00"
"115/02/28","114","4","2329","華泰","1678081.00","-2605581.00","-793166.00","-5862.00","-1726528.00","4445344.00","2718816.00"
"115/02/28","114","4","2330","台積電","2274975625.00","-1144393407.00","-440344692.00","-50008167.00","640229359.00","2127627043.00","2767856402.00"
"115/02/28","114","4","2340","台亞","-300947.00","-963984.00","1515485.00","--","250554.00","2296957.00","2547511.00"
"115/02/28","114","4","2344","華邦電","11182762.00","-7657846.00","-1561411.00","-330127.00","1633378.00","14100396.00","15733774.00"
"115/02/28","114","4","2379","瑞昱","23015343.00","-16380285.00","-7615838.00","-765812.00","-1746592.00","14812459.00","13065867.00"
"115/02/28","114","4","2395","研華","9902694.00","-4220521.00","-7845594.00","-136345.00","-2299766.00","13617045.00","11317279.00"
"115/02/28","114","4","2412","中華電","77445547.00","-28283839.00","-48456928.00","-20263.00","684517.00","36259689.00","36944206.00"
"115/02/28","114","4","2419","仲琦","17538.00","32104.00","1106227.00","-1874.00","1153995.00","2352742.00","3506737.00"
"115/02/28","114","4","2423","固緯","463157.00","-158073.00","-298912.00","10178.00","16350.00","482256.00","498606.00"
"115/02/28","114","4","2439","美律","1117876.00","-1283003.00","1490633.00","-114468.00","1211038.00","8586894.00","9797932.00"
"115/02/28","114","4","2450","神腦","391169.00","-14223.00","-388533.00","-3.00","-11590.00","1897404.00","1885814.00"
"115/02/28","114","4","2454","聯發科","162792872.00","-37753968.00","-87674751.00","-5769963.00","31594190.00","203695892.00","235290082.00"
"115/02/28","114","4","2455","全新","639572.00","-363725.00","-495621.00","-11061.00","-230835.00","1175832.00","944997.00"
"115/02/28","114","4","2480","敦陽科","549732.00","-212744.00","-399463.00","1146.00","-61329.00","1174515.00","1113186.00"
"115/02/28","114","4","2488","漢平","568149.00","236804.00","-258511.00","-42599.00","503843.00","654346.00","1158189.00"
"115/02/28","114","4","2548","華固","10542324.00","1475035.00","-8107332.00","4332.00","3914359.00","3754611.00","7668970.00"
"115/02/28","114","4","2633","台灣高鐵","20691035.00","-9558091.00","-10634042.00","13569.00","512471.00","4287402.00","4799873.00"
"115/02/28","114","4","2762","世界健身-KY","3226593.00","-1417037.00","-1372252.00","-105.00","437199.00","569661.00","1006860.00"
"115/02/28","114","4","2912","統一超","36509726.00","-21838846.00","-14355820.00","-1400638.00","-1085578.00","51267712.00","50182134.00"
"115/02/28","114","4","3004","豐達科","137056.00","-931818.00","846976.00","-8153.00","44061.00","181167.00","225228.00"
"115/02/28","114","4","3006","晶豪科","1502209.00","-544720.00","-913749.00","-1896.00","41844.00","4485019.00","4526863.00"
"115/02/28","114","4","3008","大立光","26080226.00","-9235725.00","-13457659.00","-1103492.00","2283350.00","113658347.00","115941697.00"
"115/02/28","114","4","3029","零壹","1840964.00","558150.00","-1058925.00","-21249.00","1318940.00","1772606.00","3091546.00"
"115/02/28","114","4","3030","德律","1727447.00","-96943.00","-1212391.00","878.00","418991.00","873590.00","1292581.00"
"115/02/28","114","4","3035","智原","929555.00","-1099558.00","-831774.00","-28260.00","-1030037.00","8310879.00","7280842.00"
"115/02/28","114","4","3037","欣興","14967094.00","-23017614.00","19072908.00","96108.00","11118496.00","43753285.00","54871781.00"
"115/02/28","114","4","3054","立萬利","-71754.00","-29593.00","-377.00","-84.00","-101808.00","248178.00","146370.00"
"115/02/28","114","4","3092","鴻碩","-358106.00","-438469.00","491150.00","15907.00","-289518.00","960832.00","671314.00"
"115/02/28","114","4","3130","一零四","824828.00","-1062179.00","-511782.00","213.00","-748920.00","1260401.00","511481.00"
"115/02/28","114","4","3189","景碩","8092985.00","-7868506.00","-3270318.00","-38577.00","-3084416.00","15365653.00","12281237.00"
"115/02/28","114","4","3311","閎暉","202870.00","-1786391.00","1468920.00","35770.00","-78831.00","777477.00","698646.00"
"115/02/28","114","4","3321","同泰","-250868.00","-59725.00","295517.00","9214.00","-5862.00","220722.00","214860.00"
"115/02/28","114","4","3380","明泰","676553.00","-139000.00","469876.00","-47125.00","960304.00","3957279.00","4917583.00"
"115/02/28","114","4","3416","融程電","496552.00","-129037.00","-432665.00","7681.00","-57469.00","719244.00","661775.00"
"115/02/28","114","4","3443","創意","-1143103.00","-397639.00","-2226667.00","-10326.00","-3777735.00","10427431.00","6649696.00"
"115/02/28","114","4","3454","晶睿","380943.00","-125332.00","-469442.00","-12208.00","-226039.00","1771206.00","1545167.00"
"115/02/28","114","4","3504","揚明光","332454.00","-25230.00","-100032.00","3193.00","210385.00","1018824.00","1229209.00"
"115/02/28","114","4","3515","華擎","1272878.00","-499059.00","1946777.00","-197237.00","2523359.00","3581001.00","6104360.00"
"115/02/28","114","4","3545","敦泰","172237.00","-1192515.00","-2865290.00","-176629.00","-4062197.00","8247879.00","4185682.00"
"115/02/28","114","4","3563","牧德","856128.00","-221054.00","-359500.00","4791.00","280365.00","770992.00","1051357.00"
"115/02/28","114","4","3592","瑞鼎","1198633.00","-2340935.00","-1245376.00","-1269.00","-2388947.00","5485507.00","3096560.00"
"115/02/28","114","4","3596","智易","3734555.00","-4582280.00","-2672896.00","56615.00","-3464006.00","8156296.00","4692290.00"
"115/02/28","114","4","3679","新至陞","841545.00","292933.00","-282642.00","58472.00","910308.00","3351920.00","4262228.00"
"115/02/28","114","4","4133","亞諾法","-4192.00","-6218.00","-60006.00","-297.00","-70713.00","448545.00","377832.00"
"115/02/28","114","4","4576","大銀微系統","442591.00","-188708.00","-165874.00","35606.00","123615.00","682014.00","805629.00"
"115/02/28","114","4","4583","台灣精銳","1162405.00","-2204708.00","-993380.00","--","-2035683.00","3387458.00","1351775.00"
"115/02/28","114","4","4915","致伸","3222633.00","-2550946.00","-2054228.00","-214063.00","-1596604.00","13885985.00","12289381.00"
"115/02/28","114","4","4919","新唐","-289575.00","-1210876.00","3323104.00","-324035.00","1498618.00","5703893.00","7202511.00"
"115/02/28","114","4","4952","凌通","213479.00","-21721.00","-193198.00","-884.00","-2324.00","874576.00","872252.00"
"115/02/28","114","4","5203","訊連","-425202.00","415029.00","24565.00","-11997.00","2395.00","587718.00","590113.00"
"115/02/28","114","4","5225","東科-KY","382239.00","-252159.00","-829123.00","-93237.00","-792280.00","2588960.00","1796680.00"
"115/02/28","114","4","5234","達興材料","980820.00","-212374.00","-715958.00","--","52488.00","194873.00","247361.00"
"115/02/28","114","4","6120","達運","581411.00","-354315.00","-1319206.00","80026.00","-1012084.00","5871695.00","4859611.00"
"115/02/28","114","4","6155","鈞寶","64516.00","138758.00","-261890.00","149.00","-58467.00","345838.00","287371.00"
"115/02/28","114","4","6176","瑞儀","5389383.00","-5172549.00","2164195.00","-758822.00","1622207.00","33065727.00","34687934.00"
"115/02/28","114","4","6183","關貿","678479.00","-495753.00","-493609.00","-463.00","-311346.00","1078821.00","767475.00"
"115/02/28","114","4","6202","盛群","380453.00","435094.00","-219846.00","-3501.00","592200.00","903004.00","1495204.00"
"115/02/28","114","4","6558","興能高","113206.00","-44269.00","-10369.00","1317.00","59885.00","385584.00","445469.00"
"115/02/28","114","4","6579","研揚","2876.00","-907926.00","-912792.00","-22366.00","-1840208.00","4270200.00","2429992.00"
"115/02/28","114","4","6658","聯策","2232.00","-127715.00","222315.00","-6159.00","90673.00","677163.00","767836.00"
"115/02/28","114","4","6669","緯穎","-624481.00","-13766152.00","56187788.00","-191810.00","41605345.00","48328503.00","89933848.00"
"115/02/28","114","4","6719","力智","971924.00","-718455.00","-167808.00","2597.00","88258.00","1346612.00","1434870.00"
"115/02/28","114","4","6770","力積電","7823459.00","3553596.00","-5516912.00","-393.00","5859750.00","18355000.00","24214750.00"
"115/02/28","114","4","6782","視陽","1352327.00","-732146.00","-699023.00","29758.00","-49084.00","757453.00","708369.00"
"115/02/28","114","4","6789","采鈺","3671576.00","-1762750.00","-3796548.00","--","-1887722.00","13422209.00","11534487.00"
"115/02/28","114","4","6790","永豐實","1251261.00","-1271864.00","-493215.00","-51025.00","-564843.00","1969521.00","1404678.00"
"115/02/28","114","4","6799","來頡","357407.00","-334056.00","-46694.00","-794.00","-24137.00","340932.00","316795.00"
"115/02/28","114","4","6834","天二科技","129041.00","-173812.00","51066.00","-685.00","5610.00","321464.00","327074.00"
"115/02/28","114","4","6962","奕力-KY","249364.00","-4272955.00","-1131573.00","629.00","-5154535.00","7072138.00","1917603.00"
"115/02/28","114","4","7711","永擎","1128219.00","-31675.00","2284204.00","-4.00","3380744.00","738665.00","4119409.00"
"115/02/28","114","4","7765","中華資安","416698.00","-532460.00","674450.00","--","558688.00","639772.00","1198460.00"
"115/02/28","114","4","8028","昇陽半導體","1401133.00","-3188983.00","1500765.00","--","-287085.00","1287357.00","1000272.00"
"115/02/28","114","4","8046","南電","3026994.00","-1722662.00","-886749.00","-308775.00","108808.00","8480692.00","8589500.00"
"115/02/28","114","4","8150","南茂","3996440.00","-3739487.00","-607194.00","-9895.00","-360136.00","15219039.00","14858903.00"
"115/02/28","114","4","8215","明基材","402684.00","-1778955.00","1410767.00","10697.00","45193.00","684063.00","729256.00"
"115/02/28","114","4","8261","富鼎","576955.00","452739.00","-368229.00","-5603.00","655862.00","662988.00","1318850.00"
"115/02/28","114","4","8271","宇瞻","-2053538.00","873786.00","978454.00","-18540.00","-219838.00","1072751.00","852913.00"
"115/02/28","114","4","8940","新天地","237308.00","-103805.00","-174863.00","--","-41360.00","305708.00","264348.00"
"115/02/28","114","4","9802","鈺齊-KY","1939493.00","-2314019.00","-629545.00","-9665.00","-1013736.00","3378425.00","2364689.00"
"115/02/28","114","4","9930","中聯資源","1890583.00","-433281.00","-1577738.00","-17123.00","-137559.00","490442.00","352883.00"
