出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","113","3","2801","彰銀","16822910.00","15248408.00","2947215.00","15126617.00","13997486.00","2748528.00","11248958.00","--","--","11248958.00","6542865.00","--","17791823.00","11248958.00","--","--","17791823.00","--","--","1.00"
"114/10/28","113","3","2812","台中銀","8946148.00","5525412.00","862667.00","6094976.00","7513917.00","1166521.00","6347396.00","--","--","6347396.00","877926.00","--","7225322.00","6347396.00","--","--","7225322.00","--","--","1.15"
"114/10/28","113","3","2820","華票","243176.00","1501904.00","23042.00","435599.00","1286439.00","197389.00","1089050.00","--","--","1089050.00","351017.00","--","1440067.00","--","--","--","--","--","--","0.81"
"114/10/28","113","3","2834","臺企銀","14230580.00","12271208.00","3198550.00","12313677.00","10989561.00","2122703.00","8866858.00","--","--","8866858.00","3028271.00","--","11895129.00","8866858.00","--","--","11895129.00","--","--","0.97"
"114/10/28","113","3","2836","高雄銀","2119297.00","1168205.00","104870.00","2216059.00","966573.00","255612.00","710961.00","--","--","710961.00","789497.00","--","1500458.00","--","--","--","--","--","--","0.41"
"114/10/28","113","3","2838","聯邦銀","6061256.00","9320857.00","722239.00","9658563.00","5001311.00","689811.00","4311500.00","--","--","4311500.00","3618563.00","--","7930063.00","4301395.00","--","10105.00","7919955.00","--","10108.00","0.94"
"114/10/28","113","3","2845","遠東銀","4475661.00","5437800.00","45615.00","5883050.00","3984796.00","453696.00","3531100.00","--","--","3531100.00","180229.00","--","3711329.00","3531100.00","--","--","3711329.00","--","--","0.83"
"114/10/28","113","3","2849","安泰銀","2356328.00","1856135.00","458352.00","2549909.00","1204202.00","94708.00","1109494.00","0.00","--","1109494.00","478185.00","--","1587679.00","--","--","--","--","--","--","0.57"
"114/10/28","113","3","2897","王道銀行","1317868.00","6880746.00","521723.00","3849545.00","3827346.00","749636.00","3077710.00","--","--","3077710.00","831079.00","--","3908789.00","2274804.00","--","802906.00","2831815.00","--","1076974.00","0.79"
"114/10/28","113","3","5876","上海商銀","28744177.00","10318405.00","10195520.00","14796075.00","14070987.00","2687507.00","11383480.00","--","--","11383480.00","13297484.00","--","24680964.00","10551333.00","--","832147.00","18753695.00","--","5927269.00","2.18"
