出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","107","2","5864","致和證","-543348.00","109350.00","401573.00","--","-32425.00","152592.00","120167.00"
"114/10/29","107","2","6015","宏遠證","-447287.00","-7527.00","-9904.00","--","-464718.00","1800643.00","1335925.00"
"114/10/29","107","2","6016","康和證","-546640.00","61392.00","281033.00","2364.00","-201851.00","1954564.00","1752713.00"
"114/10/29","107","2","6020","大展證","-16786.00","-5014.00","--","--","-21800.00","1852037.00","1830237.00"
"114/10/29","107","2","6021","美好證","716133.00","135104.00","46680.00","--","897917.00","352553.00","1250470.00"
"114/10/29","107","2","6023","元大期貨","843060.00","-58696.00","-464553.00","17754.00","337565.00","4776563.00","5114128.00"
"114/10/29","107","2","6026","福邦證","-67930.00","-113802.00","-27358.00","10.00","-209080.00","1058407.00","849327.00"
