出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","107","3","2880","華南金","-9587789.00","-1209394.00","-2926842.00","141747.00","-13582278.00","152814535.00","139232257.00"
"114/10/29","107","3","2881","富邦金","-65283057.00","-4912577.00","3707393.00","1174840.00","-65313401.00","358310694.00","292997293.00"
"114/10/29","107","3","2882","國泰金","7828023.00","-24619488.00","12975060.00","-943496.00","-4759901.00","415218017.00","410458116.00"
"114/10/29","107","3","2883","凱基金","114867883.00","-53434583.00","-20227531.00","383637.00","41589406.00","132256162.00","173845568.00"
"114/10/29","107","3","2884","玉山金","-4751259.00","-4776505.00","3028860.00","2161857.00","-4337047.00","58050616.00","53713569.00"
"114/10/29","107","3","2885","元大金","-6553531.00","-7951349.00","3135606.00","-108982.00","-11478256.00","125679223.00","114200967.00"
"114/10/29","107","3","2886","兆豐金","-18024125.00","-906642.00","-2290677.00","858296.00","-20363148.00","536876729.00","516513581.00"
"114/10/29","107","3","2887","台新新光金","-6604921.00","-721107.00","-4080510.00","-429204.00","-11835742.00","43616998.00","31781256.00"
"114/10/29","107","3","2889","國票金","1458468.00","-165976.00","-393273.00","-17422.00","881797.00","2570325.00","3452122.00"
"114/10/29","107","3","2890","永豐金","8007098.00","-922567.00","-22828694.00","-349274.00","-16093437.00","118170657.00","102077220.00"
"114/10/29","107","3","2891","中信金","60642472.00","489426.00","-49574366.00","295493.00","11853025.00","379305243.00","391158268.00"
"114/10/29","107","3","2892","第一金","39099540.00","-1487764.00","-2966850.00","516463.00","35161389.00","192515575.00","227676964.00"
"114/10/29","107","3","5880","合庫金","10277656.00","-2354056.00","-19875683.00","835339.00","-11116744.00","106195547.00","95078803.00"
