出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","107","1","2816","旺旺保","-347878.00","-985.00","--","1437.00","-347426.00","2588349.00","2240923.00"
"114/10/29","107","1","2832","台產","295146.00","3338.00","-355.00","--","298129.00","3338629.00","3636758.00"
"114/10/29","107","1","2850","新產","1883396.00","-10538.00","0.00","--","1872858.00","6913037.00","8785895.00"
"114/10/29","107","1","2851","中再保","-1259356.00","-2859.00","--","11791.00","-1250424.00","16772180.00","15521756.00"
"114/10/29","107","1","2852","第一保","582899.00","-909.00","--","--","581990.00","1157174.00","1739164.00"
"114/10/29","107","1","2867","三商壽","-8582341.00","-15096386.00","810346.00","0.00","-22868381.00","60499600.00","37631219.00"
