出表日期,年度,季別,公司代號,公司名稱,保險服務結果,財務結果,其他營業結果,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,所得稅費用（利益）,繼續營業單位本期純益（純損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘
"115/08/26","115","2","2851","中再保","1217945.00","6487300.00","-438695.00","7266550.00","23780.00","7290330.00","961481.00","6328849.00","--","--","6328849.00","22901.00","--","6351750.00","--","--","--","--","--","--","7.91"
"115/08/26","115","2","2867","三商壽","1045386.00","7902320.00","-2156987.00","6790719.00","-1063268.00","5727451.00","602179.00","5125272.00","--","--","5125272.00","50223442.00","--","55348714.00","--","--","--","--","--","--","0.87"
