出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險其他營業成本,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/05/22","115","1","2884","玉山金","11865143.00","13304278.00","25169421.00","1006751.00","--","11455963.00","12706707.00","2639201.00","10067506.00","--","10067506.00","1340426.00","11407932.00","10056957.00","--","10549.00","11397335.00","--","10597.00","0.62"
"115/05/22","115","1","2886","兆豐金","10111366.00","10657076.00","20768442.00","413832.00","9550.00","9125466.00","11219594.00","1822242.00","9397352.00","--","9397352.00","502924.00","9900276.00","9397352.00","--","--","9900276.00","--","--","0.63"
"115/05/22","115","1","2889","國票金","510235.00","2160382.00","2670617.00","60641.00","--","1291010.00","1318966.00","191865.00","1127101.00","--","1127101.00","-462708.00","664393.00","897373.00","--","229728.00","407919.00","--","256474.00","0.25"
