出表日期,年度,季別,公司代號,公司名稱,保險服務結果,財務結果,其他營業結果,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,所得稅費用（利益）,繼續營業單位本期純益（純損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘
"115/05/15","115","1","2850","新產","1365605.00","220999.00","-79254.00","1507350.00","854.00","1508204.00","248433.00","1259771.00","0.00","--","1259771.00","219133.00","--","1478904.00","--","--","--","--","--","--","3.99"
"115/05/15","115","1","2852","第一保","438956.00","15504.00","-59498.00","394962.00","738.00","395700.00","93803.00","301897.00","--","--","301897.00","-40810.00","--","261087.00","--","--","--","--","--","--","1.00"
