出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/05/09","115","1","1259","安心","1522360.00","1175806.00","--","--","346554.00","--","--","346554.00","337622.00","--","8932.00","-6101.00","2831.00","798.00","2033.00","--","--","2033.00","-411591.00","--","-409558.00","1827.00","--","206.00","-409764.00","--","206.00","0.06"
"115/05/09","115","1","1268","漢來美食","1988327.00","1016193.00","--","--","972134.00","--","--","972134.00","656334.00","--","315800.00","-5239.00","310561.00","62528.00","248033.00","--","--","248033.00","1032.00","--","249065.00","248033.00","--","--","249065.00","--","--","5.87"
"115/05/09","115","1","1565","精華","899543.00","716775.00","--","--","182768.00","--","--","182768.00","111979.00","--","70789.00","17047.00","87836.00","17580.00","70256.00","--","--","70256.00","481.00","--","70737.00","70256.00","--","--","70737.00","--","--","1.39"
"115/05/09","115","1","1570","力肯","119453.00","92449.00","--","--","27004.00","--","--","27004.00","18165.00","--","8839.00","5550.00","14389.00","2293.00","12096.00","--","--","12096.00","12379.00","--","24475.00","12096.00","--","--","24475.00","--","--","0.23"
"115/05/09","115","1","1584","精剛","513036.00","457630.00","--","--","55406.00","--","--","55406.00","37975.00","--","17431.00","5251.00","22682.00","2910.00","19772.00","--","--","19772.00","-33459.00","--","-13687.00","20537.00","--","-765.00","-12922.00","--","-765.00","0.09"
"115/05/09","115","1","1599","宏佳騰","642632.00","501117.00","--","--","141515.00","--","--","141515.00","134845.00","--","6670.00","12431.00","19101.00","7356.00","11745.00","--","--","11745.00","-4239.00","--","7506.00","20037.00","--","-8292.00","15798.00","--","-8292.00","0.28"
"115/05/09","115","1","1777","生泰","275573.00","164379.00","--","--","111194.00","--","--","111194.00","33459.00","--","77735.00","11829.00","89564.00","17913.00","71651.00","--","--","71651.00","--","--","71651.00","--","--","--","--","--","--","1.61"
"115/05/09","115","1","1796","金穎生技","153198.00","125127.00","--","--","28071.00","--","--","28071.00","35624.00","--","-7553.00","1074.00","-6479.00","212.00","-6691.00","--","--","-6691.00","480.00","--","-6211.00","-6691.00","--","--","-6211.00","--","--","-0.16"
"115/05/09","115","1","2035","唐榮公司","2473778.00","2369240.00","--","--","104538.00","--","--","104538.00","73652.00","--","30886.00","81286.00","112172.00","-1949.00","114121.00","--","--","114121.00","-468.00","--","113653.00","--","--","--","--","--","--","0.33"
"115/05/09","115","1","2064","晉椿","442937.00","415540.00","--","--","27397.00","42.00","--","27355.00","30960.00","--","-3605.00","3587.00","-18.00","153.00","-171.00","--","--","-171.00","-2367.00","--","-2538.00","-175.00","--","4.00","-2542.00","--","4.00","0.00"
