出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/04/29","115","1","1340","勝悅-KY","11435.00","32163.00","--","--","-20728.00","--","--","-20728.00","22381.00","--","-43109.00","-2531.00","-45640.00","0.00","-45640.00","0.00","--","-45640.00","85964.00","--","40324.00","-45640.00","--","--","40324.00","--","--","-0.30"
"115/04/29","115","1","1723","中碳","1277807.00","958057.00","--","--","319750.00","--","--","319750.00","138527.00","--","181223.00","35863.00","217086.00","38207.00","178879.00","--","--","178879.00","53219.00","--","232098.00","178879.00","--","--","232098.00","--","--","0.77"
"115/04/29","115","1","1773","勝一","3044317.00","1901163.00","--","--","1143154.00","--","--","1143154.00","432156.00","--","710998.00","48148.00","759146.00","153398.00","605748.00","--","--","605748.00","18646.00","--","624394.00","605771.00","--","-23.00","624417.00","--","-23.00","2.02"
"115/04/29","115","1","2006","東和鋼鐵","13602390.00","11598009.00","--","--","2004381.00","--","--","2004381.00","613619.00","--","1390762.00","130372.00","1521134.00","302993.00","1218141.00","--","--","1218141.00","9401.00","--","1227542.00","1211982.00","--","6159.00","1221157.00","--","6385.00","1.66"
"115/04/29","115","1","2535","達欣工","7158996.00","6135097.00","--","--","1023899.00","--","--","1023899.00","264439.00","--","759460.00","157661.00","917121.00","168741.00","748380.00","--","--","748380.00","6360.00","--","754740.00","748785.00","--","-405.00","746902.00","--","7838.00","2.88"
"115/04/29","115","1","2617","台航","1083585.00","628601.00","--","--","454984.00","--","--","454984.00","34828.00","--","420156.00","-47642.00","372514.00","74470.00","298044.00","--","--","298044.00","155100.00","--","453144.00","298044.00","--","--","453144.00","--","--","0.71"
"115/04/29","115","1","3023","信邦","8292838.00","6260412.00","--","--","2032426.00","--","--","2032426.00","1076506.00","--","955920.00","159811.00","1115731.00","253177.00","862554.00","--","--","862554.00","348632.00","--","1211186.00","865006.00","--","-2452.00","1210319.00","--","867.00","3.60"
"115/04/29","115","1","3037","欣興","37446455.00","30720413.00","--","--","6726042.00","--","--","6726042.00","3993420.00","24012.00","2756634.00","3542211.00","6298845.00","918107.00","5380738.00","--","--","5380738.00","1179634.00","--","6560372.00","5042976.00","--","337762.00","6077305.00","--","483067.00","3.28"
"115/04/29","115","1","3054","立萬利","135881.00","33111.00","--","--","102770.00","--","--","102770.00","29791.00","--","72979.00","50237.00","123216.00","9449.00","113767.00","--","--","113767.00","171184.00","--","284951.00","113767.00","--","--","284951.00","--","--","1.41"
"115/04/29","115","1","3321","同泰","440905.00","433476.00","--","--","7429.00","--","--","7429.00","66055.00","--","-58626.00","1011.00","-57615.00","2163.00","-59778.00","--","--","-59778.00","14370.00","--","-45408.00","-59778.00","--","--","-45408.00","--","--","-0.69"
"115/04/29","115","1","3504","揚明光","684957.00","560114.00","--","--","124843.00","--","--","124843.00","134345.00","--","-9502.00","16895.00","7393.00","1414.00","5979.00","--","--","5979.00","27750.00","--","33729.00","5979.00","--","0.00","33729.00","--","0.00","0.05"
"115/04/29","115","1","4583","台灣精銳","858339.00","402330.00","--","--","456009.00","--","--","456009.00","151150.00","--","304859.00","47038.00","351897.00","66480.00","285417.00","--","--","285417.00","--","--","285417.00","285417.00","--","--","285417.00","--","--","3.56"
"115/04/29","115","1","6176","瑞儀","12046097.00","9349041.00","--","--","2697056.00","--","--","2697056.00","1340694.00","82780.00","1439142.00","110446.00","1549588.00","497467.00","1052121.00","--","--","1052121.00","804637.00","--","1856758.00","1052121.00","--","--","1856758.00","--","--","2.29"
