出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險其他營業成本,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"115/08/30","115","2","2880","華南金","16030332.00","24700750.00","40731082.00","1521964.00","-47604.00","18469859.00","20786863.00","3423689.00","17363174.00","--","17363174.00","6751616.00","24114790.00","17363019.00","--","155.00","24114567.00","--","223.00","1.24"
"115/08/30","115","2","2881","富邦金","112076678.00","60391584.00","172468262.00","5446990.00","14832164.00","37940252.00","114248856.00","16468262.00","97780594.00","--","97780594.00","337847400.00","435627994.00","97391130.00","--","389464.00","434555403.00","--","1072591.00","6.67"
"115/08/30","115","2","2883","凱基金","42850799.00","19168703.00","62019502.00","165013.00","5181957.00","23605279.00","33067253.00","4619235.00","28448018.00","--","28448018.00","126862691.00","155310709.00","28440126.00","--","7892.00","155299347.00","--","11362.00","1.64"
"115/08/30","115","2","2884","玉山金","24431151.00","29412155.00","53843306.00","2808828.00","--","24265128.00","26769350.00","5303923.00","21465427.00","--","21465427.00","9644307.00","31109734.00","21434369.00","--","31058.00","31078893.00","--","30841.00","1.32"
"115/08/30","115","2","2885","元大金","24154988.00","77444787.00","101599775.00","1524635.00","-447484.00","53729893.00","46792731.00","7783834.00","39008897.00","--","39008897.00","29306296.00","68315193.00","36572168.00","--","2436729.00","66953698.00","--","1361495.00","2.64"
"115/08/30","115","2","2886","兆豐金","21211248.00","25081307.00","46292555.00","1477626.00","25854.00","18982219.00","25806856.00","4499636.00","21307220.00","--","21307220.00","14953903.00","36261123.00","21307220.00","--","--","36261123.00","--","--","1.44"
"115/08/30","115","2","2889","國票金","1057974.00","6374528.00","7432502.00","245567.00","--","3352492.00","3834443.00","269187.00","3565256.00","--","3565256.00","903676.00","4468932.00","2782992.00","--","782264.00","3289930.00","--","1179002.00","0.77"
"115/08/30","115","2","2890","永豐金","24628048.00","30653596.00","55281644.00","1840284.00","--","24718083.00","28723277.00","4197472.00","24525805.00","22092.00","24547897.00","986580.00","25534477.00","24492524.00","--","55373.00","25446535.00","--","87942.00","1.66"
"115/08/30","115","2","2891","中信金","84427855.00","34169646.00","118597501.00","9122320.00","6336971.00","53922058.00","49216152.00","8757770.00","40458382.00","--","40458382.00","210563630.00","251022012.00","39537275.00","--","921107.00","251511670.00","--","-489658.00","1.96"
"115/08/30","115","2","2892","第一金","19368871.00","21789040.00","41157911.00","1747465.00","220867.00","17566398.00","21623181.00","3825115.00","17798066.00","--","17798066.00","13519480.00","31317546.00","17798066.00","--","--","31317546.00","--","--","1.24"
"115/08/30","115","2","5880","合庫金","18590621.00","16415926.00","35006547.00","1782364.00","-80538.00","16300344.00","17004377.00","3612851.00","13391526.00","--","13391526.00","10980829.00","24372355.00","12880163.00","--","511363.00","23895607.00","--","476748.00","0.80"
