出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","109","3","2801","彰銀","14320744.00","6653410.00","2386914.00","11814443.00","6772797.00","1118315.00","5654482.00","--","--","5654482.00","-314323.00","--","5340159.00","5654482.00","--","--","5340159.00","--","--","0.54"
"114/10/29","109","3","2812","台中銀","6150488.00","2364790.00","398611.00","4643596.00","3473071.00","536032.00","2937039.00","--","--","2937039.00","429668.00","--","3366707.00","2937039.00","--","--","3366707.00","--","--","0.75"
"114/10/29","109","3","2820","華票","800533.00","1061443.00","-3686.00","360303.00","1505359.00","311366.00","1193993.00","0.00","0.00","1193993.00","593622.00","--","1787615.00","--","--","--","--","--","--","0.89"
"114/10/29","109","3","2834","臺企銀","12035941.00","4318875.00","3226772.00","9298808.00","3829236.00","366271.00","3462965.00","0.00","--","3462965.00","-197200.00","--","3265765.00","3462965.00","0.00","0.00","3265765.00","0.00","0.00","0.46"
"114/10/29","109","3","2836","高雄銀","1927091.00","897146.00","272768.00","1876706.00","674763.00","97074.00","577689.00","--","--","577689.00","67145.00","--","644834.00","--","--","--","--","--","--","0.53"
"114/10/29","109","3","2838","聯邦銀","5648401.00","4923160.00","287187.00","7461693.00","2822681.00","348663.00","2474018.00","--","--","2474018.00","-270106.00","--","2203912.00","2473961.00","--","57.00","2203854.00","--","58.00","0.64"
"114/10/29","109","3","2845","遠東銀","4462558.00","4071696.00","872850.00","5022571.00","2638833.00","307759.00","2331074.00","--","--","2331074.00","377617.00","--","2708691.00","2331074.00","--","--","2708691.00","--","--","0.68"
"114/10/29","109","3","2849","安泰銀","2584366.00","1825317.00","468068.00","2093818.00","1847797.00","302164.00","1545633.00","0.00","--","1545633.00","56817.00","--","1602450.00","--","--","--","--","--","--","0.79"
"114/10/29","109","3","2897","王道銀行","2885075.00","3122511.00","464476.00","3254012.00","2289098.00","510430.00","1778668.00","-11722.00","--","1766946.00","385948.00","--","2152894.00","895622.00","--","871324.00","871048.00","--","1281846.00","0.32"
"114/10/29","109","3","5876","上海商銀","19877463.00","9164993.00","1097160.00","11267054.00","16678242.00","2993307.00","13684935.00","--","--","13684935.00","-3507872.00","--","10177063.00","10320947.00","--","3363988.00","8621459.00","--","1555604.00","2.31"
