出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","109","1","2880","華南金","6428206.00","-553733.00","5874473.00","-99467.00","337243.00","6269999.00","-633302.00","815195.00","-1448497.00","--","-1448497.00","-7932234.00","-9380731.00","-1448542.00","--","45.00","-9380789.00","--","58.00","-0.12"
"114/10/29","109","1","2881","富邦金","33955426.00","99311706.00","133267132.00","1442316.00","90809737.00","15194745.00","25820334.00","2647276.00","23173058.00","--","23173058.00","-128234476.00","-105061418.00","22962778.00","--","210280.00","-104408896.00","--","-652522.00","2.24"
"114/10/29","109","1","2882","國泰金","48280157.00","113811595.00","162091752.00","333575.00","116254574.00","19193991.00","26309612.00","2796298.00","23513314.00","--","23513314.00","-135336005.00","-111822691.00","23289684.00","--","223630.00","-112299662.00","--","476971.00","1.77"
"114/10/29","109","1","2883","凱基金","16364989.00","35727832.00","52092821.00","-4806.00","43118811.00","6446232.00","2532584.00","770358.00","1762226.00","--","1762226.00","-53344148.00","-51581922.00","-488110.00","--","2250336.00","-22954043.00","--","-28627879.00","-0.03"
"114/10/29","109","1","2884","玉山金","5053581.00","8909905.00","13963486.00","347063.00","--","8023819.00","5592604.00","1049915.00","4542689.00","--","4542689.00","-1506247.00","3036442.00","4540583.00","--","2106.00","3034319.00","--","2123.00","0.39"
"114/10/29","109","1","2885","元大金","6542230.00","18232368.00","24774598.00","671182.00","8646818.00","10240053.00","5216545.00","829551.00","4386994.00","--","4386994.00","-8279364.00","-3892370.00","4095740.00","--","291254.00","-3494045.00","--","-398325.00","0.35"
"114/10/29","109","1","2886","兆豐金","8269225.00","2527149.00","10796374.00","1184182.00","169129.00","7054197.00","2388866.00","459720.00","1929146.00","--","1929146.00","-1192325.00","736821.00","1929146.00","--","0.00","736821.00","--","0.00","0.14"
"114/10/29","109","1","2887","台新新光金","5242880.00","4681336.00","9924216.00","703534.00","--","6067855.00","3152827.00","593053.00","2559774.00","--","2559774.00","-2161719.00","398055.00","2561148.00","--","-1374.00","399429.00","--","-1374.00","0.20"
"114/10/29","109","1","2889","國票金","475760.00","1024319.00","1500079.00","3936.00","--","770827.00","725316.00","261977.00","463339.00","--","463339.00","-1442630.00","-979291.00","465631.00","--","-2292.00","-897921.00","--","-81370.00","0.16"
"114/10/29","109","1","2890","永豐金","4329394.00","4453296.00","8782690.00","615796.00","--","5342100.00","2824794.00","470440.00","2354354.00","--","2354354.00","-4745748.00","-2391394.00","2354354.00","--","0.00","-2391394.00","--","0.00","0.21"
"114/10/29","109","1","2891","中信金","27590054.00","35261701.00","62851755.00","1931925.00","31675751.00","15005810.00","14238269.00","2077182.00","12161087.00","--","12161087.00","-51484176.00","-39323089.00","12159951.00","--","1136.00","-39311001.00","--","-12088.00","0.62"
"114/10/29","109","1","2892","第一金","7466929.00","6149225.00","13616154.00","983323.00","3391000.00","5600955.00","3640876.00","703355.00","2937521.00","--","2937521.00","-7469986.00","-4532465.00","2937521.00","--","--","-4532465.00","--","--","0.24"
"114/10/29","109","1","5880","合庫金","8899855.00","2413897.00","11313752.00","910156.00","-674600.00","6180442.00","4897754.00","793342.00","4104412.00","--","4104412.00","-3829932.00","274480.00","3937225.00","--","167187.00","576128.00","--","-301648.00","0.30"
