出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","1","2880","華南金","43033565.00","182171431.00","67150258.00","127877236.00","970.00","343475.00","53459891.00","321464.00","0.00","1573935459.00","4529226.00","382455119.00","56766.00","--","59198007.00","9663067.00","32377695.00","517328.00","2185729.00","4443755.00","2543720441.00","116906360.00","--","17013823.00","11115.00","37743203.00","17206924.00","34344122.00","1164877.00","--","2062217585.00","53447142.00","1474000.00","--","18279164.00","13337954.00","6117776.00","3346484.00","2382610529.00","105204951.00","17758986.00","38760324.00","-615899.00","--","--","161108362.00","1550.00","161109912.00","--","0.00","0.00","15.31"
"114/11/30","106","1","2881","富邦金","149646810.00","255458709.00","160746486.00","1615506187.00","1861538.00","80333417.00","153422250.00","1835141.00","46519.00","1626574048.00","24134562.00","387614566.00","23598556.00","--","1542961630.00","178022353.00","56837348.00","27987454.00","16126499.00","58156239.00","6360870312.00","90741556.00","8522733.00","60035189.00","3872591.00","129594583.00","10344092.00","91273317.00","13735826.00","--","2084254754.00","178500088.00","2220000.00","--","3040632684.00","174947561.00","12123934.00","23432594.00","5924231502.00","108336040.00","103736424.00","248424517.00","-24200591.00","--","--","436296390.00","342420.00","436638810.00","0.00","0.00","0.00","40.27"
"114/11/30","106","1","2882","國泰金","209232345.00","72394108.00","314809668.00","1585571797.00","280751.00","61953035.00","152444064.00","4256014.00","--","2076486703.00","8364309.00","81975222.00","35539192.00","--","3051784517.00","311052082.00","165484947.00","57823449.00","29923074.00","60142386.00","8279517663.00","141378470.00","0.00","85619723.00","--","63502517.00","42248055.00","56288473.00","7000902.00","--","2014819837.00","51900000.00","--","--","4630696469.00","569313109.00","36229328.00","37227970.00","7736224853.00","133965102.00","130452105.00","263312832.00","9299114.00","--","--","537029153.00","6263657.00","543292810.00","0.00","0.00","0.00","40.09"
"114/11/30","106","1","2883","凱基金","21532859.00","45409694.00","146766015.00","147934772.00","--","50467734.00","94616689.00","744706.00","--","266583134.00","--","300000.00","13406599.00","26202813.00","68944801.00","2207815.00","14433547.00","7724610.00","4812722.00","14486989.00","926575499.00","23598929.00","--","67999129.00","--","128582698.00","27471075.00","60249447.00","883048.00","--","319129016.00","21701957.00","21898081.00","--","1350734.00","65313775.00","1559570.00","17796784.00","757534243.00","149757428.00","1106998.00","18600801.00","-1694003.00","-2376747.00","--","165394477.00","3646779.00","169041256.00","--","0.00","323231938.00","11.29"
"114/11/30","106","1","2884","玉山金","37295942.00","65487831.00","376634049.00","148630790.00","--","0.00","78010824.00","10757.00","--","1137048914.00","--","3154662.00","--","--","30962662.00","1932494.00","26864158.00","6050720.00","1155020.00","5769058.00","1919007881.00","79274557.00","--","40903922.00","--","14379536.00","4040690.00","24826957.00","2845459.00","--","1556628359.00","50050000.00","3581165.00","--","434507.00","6560146.00","688438.00","1811502.00","1786025238.00","87842680.00","20821877.00","23535417.00","150143.00","--","--","132350117.00","632526.00","132982643.00","--","0.00","0.00","15.10"
"114/11/30","106","1","2885","元大金","50239673.00","73275495.00","419067565.00","350782881.00","--","39988034.00","158396131.00","1271719.00","10679040.00","770396931.00","402596.00","118457462.00","1986911.00","8960696.00","101544474.00","6178217.00","20543387.00","36351549.00","6335364.00","23319125.00","2198177250.00","22379191.00","--","92850726.00","0.00","194407762.00","41722537.00","160172297.00","4398600.00","7405093.00","1060704135.00","76170680.00","51289568.00","3921211.00","165332120.00","69124915.00","4113906.00","21739693.00","1975732434.00","119986478.00","37956289.00","43463984.00","3912398.00","-1498603.00","--","203820546.00","18624270.00","222444816.00","0.00","0.00","125875001.00","17.17"
"114/11/30","106","1","2886","兆豐金","89938398.00","536133067.00","187814065.00","371053791.00","--","4796378.00","80549622.00","699870.00","0.00","1655493748.00","4537545.00","292068163.00","3154303.00","--","14349163.00","1707875.00","21691242.00","313259.00","5532371.00","4361611.00","3274194471.00","291939660.00","46443892.00","11111764.00","--","236700045.00","16927182.00","67309358.00","9090291.00","--","2203101201.00","41935540.00","1642256.00","--","25137052.00","13305979.00","2319504.00","7699621.00","2974663345.00","135998240.00","68194233.00","97362315.00","-2065742.00","0.00","0.00","299489046.00","42080.00","299531126.00","--","0.00","0.00","22.02"
"114/11/30","106","1","2887","台新新光金","18195547.00","47639938.00","88964857.00","330588676.00","--","6233935.00","111073283.00","534642.00","--","908436075.00","--","6126.00","37288154.00","--","12850144.00","863804.00","18578783.00","2181512.00","3360729.00","10289621.00","1597085826.00","55894713.00","--","26777742.00","--","88298200.00","9669259.00","27352391.00","2057970.00","--","1106534978.00","75000000.00","6954982.00","--","1161012.00","42448909.00","56192.00","3687741.00","1445894089.00","103551901.00","26509975.00","21320711.00","-315264.00","--","--","151067323.00","124414.00","151191737.00","--","49579737.00","0.00","14.58"
"114/11/30","106","1","2889","國票金","2327679.00","227748.00","114839785.00","105585723.00","--","2044964.00","19205910.00","488517.00","--","--","--","0.00","1653596.00","--","4668469.00","--","1888132.00","361376.00","98372.00","1031479.00","254421750.00","--","28616893.00","439548.00","--","167530298.00","9967106.00","8404433.00","228106.00","--","--","--","--","--","1395916.00","1542217.00","24741.00","482795.00","218632053.00","27460748.00","100068.00","4089055.00","313294.00","-316245.00","--","31646920.00","4142777.00","35789697.00","0.00","0.00","40000000.00","11.69"
"114/11/30","106","1","2890","永豐金","21015662.00","113118233.00","127466569.00","235399526.00","--","12639695.00","91613379.00","212057.00","--","917773584.00","--","73337409.00","393458.00","--","45227473.00","2627894.00","12502286.00","3084182.00","2975079.00","17669183.00","1677055669.00","53843732.00","--","23527547.00","13831.00","44853779.00","50540318.00","37739106.00","936233.00","--","1212797497.00","44028822.00","29236857.00","18437.00","3151659.00","32556833.00","1463681.00","7102870.00","1541811202.00","106763797.00","2228771.00","26381679.00","-186460.00","--","--","135187787.00","56680.00","135244467.00","--","0.00","0.00","12.66"
