出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","2","3059","華晶科","9834493.00","4906946.00","14741439.00","5134552.00","525339.00","5659891.00","2739088.00","2112898.00","4261888.00","-315186.00","-129393.00","8669295.00","--","--","412253.00","9081548.00","0.00","0.00","4413973.00","32.17"
"114/11/30","106","2","3060","銘異","5262653.00","2524061.00","7786714.00","2737770.00","611120.00","3348890.00","1742020.00","1748231.00","1504549.00","-706023.00","-81296.00","4207481.00","--","--","230343.00","4437824.00","0.00","0.00","2248000.00","24.47"
"114/11/30","106","2","3062","建漢","5440615.00","2464236.00","7904851.00","2333921.00","103894.00","2437815.00","3288454.00","562829.00","1615717.00","36.00","--","5467036.00","--","--","--","5467036.00","--","0.00","0.00","16.62"
"114/11/30","106","2","3090","日電貿","5712664.00","1050997.00","6763661.00","3650841.00","148806.00","3799647.00","1669693.00","419797.00","680079.00","167835.00","0.00","2937404.00","--","--","26610.00","2964014.00","--","0.00","0.00","17.59"
"114/11/30","106","2","3092","鴻碩","1908816.00","846599.00","2755415.00","1153816.00","175906.00","1329722.00","698008.00","273528.00","513974.00","-57101.00","-2716.00","1425693.00","--","--","--","1425693.00","0.00","0.00","181000.00","22.53"
"114/11/30","106","2","3094","聯傑","915214.00","307834.00","1223048.00","51753.00","16742.00","68495.00","832551.00","232402.00","91389.00","-2068.00","--","1154274.00","--","--","279.00","1154553.00","0.00","0.00","0.00","13.86"
"114/11/30","106","2","3130","一零四","2258996.00","247168.00","2506164.00","1129201.00","3793.00","1132994.00","332257.00","399485.00","644128.00","-9405.00","--","1366465.00","--","--","6705.00","1373170.00","0.00","0.00","0.00","41.13"
"114/11/30","106","2","3138","耀登","589823.00","319758.00","909581.00","274641.00","70507.00","345148.00","408230.00","40786.00","156809.00","-24272.00","-17120.00","564433.00","--","--","0.00","564433.00","0.00","0.00","1005000.00","14.18"
"114/11/30","106","2","3149","正達","2048982.00","3453207.00","5502189.00","2882804.00","1348930.00","4231734.00","1696013.00","104856.00","-756331.00","225917.00","--","1270455.00","--","--","0.00","1270455.00","--","0.00","0.00","7.49"
"114/11/30","106","2","3150","鈺寶-創","259618.00","22556.00","282174.00","43647.00","--","43647.00","375820.00","1223.00","-138014.00","-502.00","--","--","--","--","--","238527.00","0.00","0.00","0.00","6.35"
"114/11/30","106","2","3164","景岳","492447.00","976147.00","1468594.00","101423.00","9871.00","111294.00","889119.00","396031.00","41372.00","-2734.00","--","1323788.00","--","--","33512.00","1357300.00","0.00","0.00","0.00","14.89"
"114/11/30","106","2","3167","大量","3673217.00","508424.00","4181641.00","2295256.00","356688.00","2651944.00","799786.00","138046.00","625370.00","-54303.00","--","1508899.00","--","--","20798.00","1529697.00","--","0.00","0.00","18.87"
"114/11/30","106","2","3168","眾福科","1135358.00","530088.00","1665446.00","1042889.00","62395.00","1105284.00","493996.00","0.00","86520.00","-20354.00","--","560162.00","--","--","--","560162.00","--","0.00","0.00","11.34"
"114/11/30","106","2","3189","景碩","19345878.00","22010753.00","41356631.00","10456476.00","1273518.00","11729994.00","4460000.00","5947303.00","17366982.00","-97417.00","-32885.00","27643983.00","--","--","1982654.00","29626637.00","0.00","0.00","550000.00","62.06"
"114/11/30","106","2","3209","全科","9685415.00","513398.00","10198813.00","7872501.00","197214.00","8069715.00","1454525.00","239072.00","373341.00","-20781.00","--","2046157.00","--","--","82941.00","2129098.00","--","0.00","0.00","14.77"
"114/11/30","106","2","3229","晟鈦","692040.00","408146.00","1100186.00","201935.00","99019.00","300954.00","935159.00","21097.00","-158699.00","1675.00","--","799232.00","--","--","0.00","799232.00","0.00","0.00","0.00","8.55"
"114/11/30","106","2","3231","緯創","219199178.00","56169104.00","275368282.00","194497111.00","16927956.00","211425067.00","27498607.00","21823439.00","18905256.00","-2765836.00","-2378264.00","63083202.00","--","--","860013.00","63943215.00","--","0.00","110807300.00","24.61"
"114/11/30","106","2","3257","虹冠電","1250591.00","520627.00","1771218.00","182981.00","6392.00","189373.00","693803.00","562024.00","346570.00","-20552.00","--","1581845.00","--","--","--","1581845.00","--","0.00","0.00","24.28"
"114/11/30","106","2","3266","昇陽","7197034.00","2156872.00","9353906.00","2582127.00","1174045.00","3756172.00","3523143.00","802339.00","721029.00","-27979.00","--","5018532.00","--","--","579202.00","5597734.00","--","0.00","0.00","14.24"
"114/11/30","106","2","3296","勝德","1986016.00","355313.00","2341329.00","813117.00","22896.00","836013.00","982244.00","276981.00","308928.00","-62837.00","0.00","1505316.00","--","--","0.00","1505316.00","0.00","0.00","0.00","15.33"
"114/11/30","106","2","3305","昇貿","4781027.00","1932363.00","6713390.00","2164059.00","820171.00","2984230.00","1214893.00","1230947.00","1380953.00","-78629.00","-88149.00","3660015.00","--","--","69145.00","3729160.00","0.00","0.00","3224000.00","30.95"
"114/11/30","106","2","3308","聯德","1691349.00","550676.00","2242025.00","830252.00","357115.00","1187367.00","999496.00","253362.00","-184336.00","-2861.00","-11003.00","1054658.00","--","--","--","1054658.00","--","0.00","1380000.00","10.70"
"114/11/30","106","2","3311","閎暉","3019810.00","1594081.00","4613891.00","760842.00","100958.00","861800.00","1893838.00","535425.00","1742252.00","-185956.00","-234654.00","3750905.00","--","--","1186.00","3752091.00","--","0.00","10000000.00","20.91"
"114/11/30","106","2","3312","弘憶股","2872595.00","41705.00","2914300.00","1785595.00","82205.00","1867800.00","1285008.00","74977.00","-294984.00","-18501.00","--","1046500.00","--","--","0.00","1046500.00","0.00","0.00","0.00","8.14"
"114/11/30","106","2","3321","同泰","1536636.00","1790362.00","3326998.00","913813.00","1386284.00","2300097.00","890000.00","260230.00","-47608.00","-38319.00","-37402.00","1026901.00","--","--","--","1026901.00","0.00","0.00","1454000.00","11.73"
"114/11/30","106","2","3338","泰碩","2023976.00","410750.00","2434726.00","1484254.00","0.00","1484254.00","696122.00","118310.00","179371.00","-38628.00","-4703.00","950472.00","--","--","--","950472.00","0.00","0.00","215000.00","13.70"
