出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","2","2880","華南金","38727283.00","211091384.00","66849710.00","136307787.00","645.00","335729.00","53236028.00","345226.00","0.00","1570067254.00","4359851.00","360712540.00","55875.00","--","44174207.00","9677525.00","32261383.00","534842.00","2252799.00","6104008.00","2537094076.00","103759700.00","--","13263879.00","8449.00","38198405.00","17898948.00","36932040.00","1297556.00","--","2070234199.00","53447575.00","1549000.00","--","18291645.00","12696112.00","6101760.00","4770047.00","2378449315.00","110465199.00","17758986.00","29832930.00","586106.00","--","--","158643221.00","1540.00","158644761.00","--","0.00","0.00","15.08"
"114/11/30","106","2","2881","富邦金","180688313.00","220975669.00","139641431.00","1705735247.00","1668719.00","60609347.00","149597499.00","1839894.00","46464.00","1667108436.00","23427947.00","426967001.00","24216694.00","--","1647349261.00","180591200.00","56785707.00","28048624.00","13464076.00","55823314.00","6584584843.00","101188288.00","8510516.00","53416914.00","3581819.00","136520904.00","8648674.00","117038768.00","12730920.00","--","2174807374.00","181492941.00","3754840.00","--","3114761017.00","184884277.00","9262521.00","26467313.00","6137067086.00","108336040.00","103683066.00","235736405.00","-633779.00","--","--","447121732.00","396025.00","447517757.00","0.00","0.00","0.00","41.27"
"114/11/30","106","2","2882","國泰金","355314233.00","131991151.00","278016689.00","1530850336.00","283105.00","88893548.00","163280334.00","4248603.00","--","2020044431.00","8112480.00","90474000.00","35376451.00","--","3140887410.00","315363484.00","165248420.00","57227936.00","28555154.00","49379798.00","8463547563.00","75187547.00","--","90918060.00","--","74325892.00","47617019.00","83879474.00","11619571.00","--","2025898760.00","98350000.00","--","--","4747503802.00","594609900.00","31414973.00","19801985.00","7901126983.00","133965102.00","130452104.00","253672347.00","37952635.00","0.00","0.00","556042188.00","6378392.00","562420580.00","0.00","0.00","0.00","41.51"
"114/11/30","106","2","2883","凱基金","27423457.00","43762617.00","143084925.00","163291013.00","--","31215380.00","95619610.00","958766.00","--","276521855.00","--","300000.00","14318552.00","27357080.00","61906856.00","2346787.00","14404188.00","7568685.00","4572385.00","14406447.00","929058603.00","29482333.00","--","64337288.00","--","125874397.00","27206408.00","72823079.00","729382.00","--","320884564.00","22719875.00","19751368.00","--","1343711.00","62790723.00","1537408.00","15121843.00","764602379.00","149757428.00","1109577.00","12842799.00","-343506.00","-2376747.00","--","160989551.00","3466673.00","164456224.00","--","0.00","323231938.00","10.99"
"114/11/30","106","2","2884","玉山金","44295197.00","72538316.00","375625594.00","172711588.00","--","0.00","96306026.00","14382.00","--","1176464671.00","--","3145712.00","--","--","15246360.00","1952843.00","27366621.00","6101403.00","745394.00","4738977.00","1997253084.00","68708435.00","--","40049234.00","--","12592835.00","4067966.00","31666334.00","1665098.00","--","1638228817.00","45050000.00","3159575.00","--","447072.00","5603836.00","770923.00","2072231.00","1854082356.00","101855000.00","24529129.00","15662863.00","595461.00","--","--","142642453.00","528275.00","143170728.00","--","0.00","0.00","15.07"
"114/11/30","106","2","2885","元大金","59588335.00","51443005.00","426622958.00","359642119.00","--","34079731.00","169853211.00","1445123.00","9479421.00","786055230.00","464366.00","123419310.00","1974634.00","3352138.00","101343072.00","6071127.00","22250112.00","36396797.00","5890127.00","37344166.00","2236714982.00","29007965.00","--","111469079.00","0.00","169539967.00","48375506.00","172467223.00","4984538.00","6113818.00","1076633417.00","68599436.00","55043366.00","3946627.00","171580198.00","70814449.00","3983379.00","22786798.00","2015345766.00","119986478.00","37961447.00","41906957.00","4678250.00","-1498603.00","--","203034529.00","18334687.00","221369216.00","0.00","0.00","125875002.00","17.10"
"114/11/30","106","2","2886","兆豐金","107157464.00","521256557.00","173126699.00","388446168.00","--","2397332.00","81941032.00","288051.00","--","1689801684.00","4315597.00","346800970.00","3124670.00","--","14521536.00","1704325.00","21890568.00","358064.00","5686190.00","4421229.00","3367238136.00","287085310.00","31034861.00","11137173.00","--","206005571.00","10336597.00","85383253.00","9306861.00","--","2349990200.00","41946917.00","1246466.00","--","24999616.00","11821172.00","2256607.00","5973434.00","3078524038.00","135998240.00","68194233.00","85169243.00","-689477.00","0.00","0.00","288672239.00","41859.00","288714098.00","--","0.00","0.00","21.23"
"114/11/30","106","2","2887","台新新光金","17206283.00","47979169.00","88294561.00","301547462.00","--","6496598.00","123997304.00","962590.00","--","928370767.00","--","6126.00","37288897.00","--","11384040.00","861543.00","18671352.00","2188849.00","2845711.00","8528652.00","1596629904.00","53587498.00","--","18286506.00","--","80204188.00","9669834.00","30668233.00","1938243.00","--","1136658698.00","61700000.00","7889447.00","--","1172297.00","42249352.00","56241.00","3315878.00","1447396415.00","107725298.00","26457160.00","15085736.00","-167380.00","--","--","149100814.00","132675.00","149233489.00","--","293000.00","0.00","14.39"
"114/11/30","106","2","2889","國票金","2518066.00","162.00","105505434.00","105792204.00","--","685158.00","20016814.00","488555.00","--","--","--","0.00","1627122.00","--","5142284.00","--","1993382.00","357758.00","110616.00","1011295.00","245248850.00","--","29524201.00","321393.00","--","157510503.00","9408407.00","9177009.00","207911.00","--","--","--","--","--","1399175.00","1732642.00","31020.00","660558.00","209972819.00","27866659.00","122240.00","2736054.00","526838.00","-158123.00","--","31093668.00","4182363.00","35276031.00","--","0.00","20000000.00","11.41"
"114/11/30","106","2","2890","永豐金","34907734.00","114112235.00","121980108.00","244043969.00","--","10468667.00","80217792.00","259205.00","--","917115761.00","--","68871527.00","401155.00","--","43277507.00","2622941.00","12468313.00","3051425.00","2980131.00","19206870.00","1675985340.00","36038227.00","--","20447675.00","13540.00","71056714.00","47795638.00","37001178.00","811041.00","--","1212168797.00","45569763.00","25049294.00","18437.00","3138238.00","32959782.00","1469288.00","8478033.00","1542015645.00","110500530.00","2228771.00","20932601.00","304331.00","--","--","133966233.00","3462.00","133969695.00","--","0.00","0.00","12.55"
