出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/11/30","106","2","2801","彰銀","36820615.00","208852078.00","22691133.00","229525.00","--","21415261.00","78012.00","--","--","1340346323.00","80419598.00","217334897.00","--","--","17719149.00","20726679.00","13750692.00","380121.00","2518562.00","526260.00","1983808905.00","109225697.00","--","15560485.00","--","3193792.00","27687577.00","779542.00","--","1628136755.00","41722327.00","--","--","3419366.00","4351089.00","6770700.00","3424512.00","1844271842.00","94130007.00","--","45484127.00","-77071.00","0.00","--","--","--","--","139537063.00","--","0.00","0.00","15.57"
"114/11/30","106","2","2812","台中銀","10161962.00","29687077.00","32318600.00","0.00","5050050.00","11016318.00","5829.00","0.00","0.00","429598494.00","31920312.00","75725625.00","129747.00","253120.00","1097732.00","9444558.00","78148.00","149526.00","706217.00","2226569.00","639569884.00","5543260.00","5075087.00","310045.00","0.00","3175518.00","8003696.00","295507.00","0.00","559367560.00","13000000.00","0.00","0.00","1393398.00","1323985.00","111021.00","653542.00","598252619.00","32931789.00","684156.00","7640817.00","60503.00","0.00","41317265.00","--","--","0.00","41317265.00","0.00","0.00","0.00","12.76"
"114/11/30","106","2","2820","華票","324376.00","0.00","103197822.00","--","5120810.00","1392322.00","134361.00","--","--","--","97571310.00","--","--","--","175734.00","157786.00","--","--","109577.00","3026006.00","211210104.00","18824396.00","--","21056.00","--","163430016.00","1487298.00","32004.00","--","--","--","--","--","3499176.00","1530697.00","159.00","156255.00","188981057.00","13429600.00","2474.00","8311461.00","485512.00","0.00","--","--","--","--","22229047.00","--","0.00","0.00","16.55"
"114/11/30","106","2","2834","臺企銀","36290575.00","99631506.00","1408925.00","--","14729453.00","24078054.00","47424.00","--","--","1058565368.00","65744834.00","199661259.00","--","--","2132107.00","14126820.00","--","197377.00","1337272.00","3443188.00","1521394162.00","88903726.00","22440.00","192176.00","--","1109736.00","27081004.00","341374.00","--","1265956646.00","47000000.00","--","--","10874672.00","3646447.00","882052.00","1453217.00","1447463490.00","61479617.00","0.00","12947164.00","-496109.00","0.00","73930672.00","0.00","--","0.00","73930672.00","0.00","0.00","0.00","12.39"
"114/11/30","106","2","2836","高雄銀","3158888.00","10551385.00","1003940.00","--","3300452.00","998075.00","57809.00","--","--","168777258.00","29646141.00","23848717.00","--","--","1191198.00","2945686.00","--","127188.00","167285.00","128199.00","245902221.00","8804266.00","--","16605.00","--","1261533.00","3155961.00","3796.00","--","214204777.00","4000000.00","--","--","11263.00","321128.00","--","107566.00","231886895.00","10032238.00","1657705.00","2380410.00","-55027.00","--","14015326.00","--","--","0.00","14015326.00","0.00","0.00","0.00","13.97"
"114/11/30","106","2","2838","聯邦銀","9195969.00","59062793.00","14130543.00","--","32064969.00","17847599.00","78112.00","--","--","286711898.00","36023492.00","8122314.00","53256.00","--","51098434.00","8087746.00","5360229.00","2168888.00","1342414.00","7790407.00","539139063.00","4331032.00","--","92766.00","--","33640690.00","4718183.00","115567.00","--","438389198.00","11700000.00","1119709.00","--","4359346.00","238161.00","852008.00","2907223.00","502463883.00","26051524.00","32413.00","8785204.00","1543748.00","--","36412889.00","--","--","262291.00","36675180.00","--","0.00","0.00","13.98"
"114/11/30","106","2","2845","遠東銀","5666809.00","24212108.00","36637100.00","--","14854957.00","23422411.00","101.00","--","--","346902722.00","100343677.00","2781872.00","1691651.00","--","11122994.00","2898692.00","--","1737826.00","581106.00","244356.00","573098382.00","3827712.00","--","6631451.00","--","13018301.00","6856782.00","121197.00","--","470502589.00","22230136.00","--","--","6759399.00","1197579.00","--","468828.00","531613974.00","31829286.00","456426.00","9232696.00","-34000.00","--","41484408.00","--","--","--","41484408.00","--","0.00","0.00","13.33"
"114/11/30","106","2","2849","安泰銀","4121189.00","23493581.00","22514216.00","--","1298407.00","3503120.00","21390.00","89967.00","--","185912041.00","29789035.00","31896610.00","--","--","244807.00","758231.00","--","214450.00","1826244.00","1155220.00","306838508.00","5839133.00","--","741593.00","--","0.00","2694731.00","0.00","--","252172996.00","10000000.00","--","1164447.00","2887579.00","427212.00","31503.00","145854.00","276105048.00","16796775.00","1712427.00","12243225.00","-18967.00","0.00","--","--","--","--","30733460.00","0.00","0.00","0.00","18.30"
"114/11/30","106","2","2897","王道銀行","6714626.00","15640323.00","146121637.00","--","5120810.00","19871693.00","200369.00","0.00","--","169896728.00","137322959.00","499762.00","0.00","135133.00","1674648.00","3996428.00","0.00","1419247.00","558178.00","4300655.00","513473196.00","57621561.00","--","1133273.00","--","173317016.00","6166247.00","142610.00","0.00","188114477.00","16650000.00","--","--","20860530.00","1828353.00","203734.00","1839988.00","467877789.00","24130063.00","7730.00","4807245.00","327285.00","0.00","29272323.00","--","--","16323084.00","45595407.00","--","0.00","0.00","12.13"
"114/11/30","106","2","5876","上海商銀","96837554.00","206291043.00","8383889.00","--","120038.00","17667941.00","203352.00","--","--","894905740.00","357772780.00","82030421.00","1473756.00","--","13778.00","21880754.00","5407773.00","--","819504.00","2647804.00","1696456127.00","44944615.00","0.00","728095.00","--","21335644.00","32302868.00","1789316.00","--","1371926426.00","43150000.00","--","--","3299552.00","1812785.00","10741990.00","2951204.00","1534982495.00","40791031.00","4647655.00","66643562.00","7762633.00","-83144.00","119761737.00","--","--","41711895.00","161473632.00","--","11397439.00","0.00","29.44"
