出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","4","1409","新纖","88708993.00","55746818.00","144455811.00","99396820.00","9690486.00","109087306.00","16184093.00","1575732.00","7295821.00","2351119.00","-29834.00","27376931.00","--","7991574.00","35368505.00","--","0.00","4680487.00","16.97"
"114/11/30","106","4","1718","中纖","542862601.00","148866619.00","691729220.00","611282167.00","27047662.00","638329829.00","14294934.00","1677818.00","6394939.00","-210802.00","-1227909.00","20928980.00","--","32470411.00","53399391.00","--","0.00","291816145.00","18.40"
"114/11/30","106","4","2207","和泰車","145284874.00","61316876.00","206601750.00","118180726.00","33544876.00","151725602.00","5461792.00","263060.00","40236347.00","694102.00","--","46655301.00","--","8220847.00","54876148.00","0.00","0.00","0.00","85.42"
"114/11/30","106","4","2905","三商","152552568.00","919922699.00","1072475267.00","14218340.00","1017405443.00","1031623783.00","7654617.00","1012896.00","8410394.00","370780.00","-532672.00","16916015.00","0.00","23935469.00","40851484.00","0.00","0.00","44215000.00","23.45"
