出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","2","1240","茂生農經","782719.00","642069.00","1424788.00","605766.00","35747.00","641513.00","300580.00","13794.00","192427.00","276474.00","0.00","--","0.00","--","--","783275.00","--","0.00","0.00","26.06"
"114/11/30","106","2","1259","安心","2309702.00","488009.00","2797711.00","1047246.00","30568.00","1077814.00","323895.00","809816.00","547468.00","-5223.00","-10123.00","1665833.00","--","--","54064.00","1719897.00","0.00","0.00","117000.00","51.62"
"114/11/30","106","2","1264","德麥","2164815.00","877053.00","3041868.00","668936.00","62404.00","731340.00","336960.00","706936.00","942720.00","-35927.00","--","1950689.00","--","--","359839.00","2310528.00","0.00","0.00","0.00","63.68"
"114/11/30","106","2","1268","漢來美食","1572693.00","1026281.00","2598974.00","1314280.00","94600.00","1408880.00","347310.00","511165.00","340328.00","-8709.00","--","1190094.00","--","--","--","1190094.00","--","0.00","0.00","35.29"
"114/11/30","106","2","1336","台翰","1003093.00","1190983.00","2194076.00","929633.00","83776.00","1013409.00","627532.00","670434.00","-38832.00","-78467.00","--","1180667.00","--","--","--","1180667.00","--","0.00","0.00","18.81"
"114/11/30","106","2","1565","精華","5287415.00","2807093.00","8094508.00","3115107.00","471709.00","3586816.00","504165.00","526000.00","3477030.00","497.00","--","4507692.00","--","--","--","4507692.00","0.00","0.00","0.00","89.41"
"114/11/30","106","2","1569","濱川","2405141.00","2331456.00","4736597.00","1964465.00","574933.00","2539398.00","1007177.00","766157.00","454452.00","-128511.00","--","2099275.00","--","--","97924.00","2197199.00","0.00","183032.00","0.00","20.84"
"114/11/30","106","2","1570","力肯","657202.00","245883.00","903085.00","246754.00","10823.00","257577.00","515008.00","0.00","132913.00","-2413.00","--","645508.00","--","--","0.00","645508.00","0.00","0.00","0.00","12.53"
"114/11/30","106","2","1580","新麥","2181266.00","898080.00","3079346.00","1204852.00","201299.00","1406151.00","485316.00","74943.00","1185313.00","-122973.00","--","1622599.00","--","--","50596.00","1673195.00","0.00","0.00","0.00","33.43"
"114/11/30","106","2","1584","精剛","899290.00","1529481.00","2428771.00","646503.00","733380.00","1379883.00","824705.00","286883.00","-35244.00","-70615.00","0.00","1005729.00","--","--","43159.00","1048888.00","--","0.00","0.00","12.20"
"114/11/30","106","2","1586","和勤","1677109.00","1116280.00","2793389.00","1406165.00","73150.00","1479315.00","704304.00","428518.00","259594.00","-78342.00","0.00","1314074.00","--","--","--","1314074.00","0.00","0.00","0.00","18.73"
"114/11/30","106","2","1591","駿吉-KY","244133.00","357053.00","601186.00","180751.00","64328.00","245079.00","331648.00","22159.00","145644.00","-143344.00","--","356107.00","--","--","0.00","356107.00","0.00","0.00","0.00","11.81"
"114/11/30","106","2","1593","祺驊","677902.00","343058.00","1020960.00","290045.00","7360.00","297405.00","303006.00","259726.00","192835.00","-35180.00","0.00","720387.00","--","--","3168.00","723555.00","0.00","0.00","0.00","23.77"
"114/11/30","106","2","1595","川寶","1887073.00","712263.00","2599336.00","777275.00","20053.00","797328.00","406218.00","212941.00","1190251.00","-7402.00","--","1802008.00","--","--","--","1802008.00","--","0.00","0.00","44.36"
"114/11/30","106","2","1599","宏佳騰","1199943.00","733870.00","1933813.00","578247.00","27748.00","605995.00","620025.00","487161.00","300930.00","-62958.00","-17340.00","1327818.00","--","--","--","1327818.00","0.00","0.00","353000.00","25.85"
"114/11/30","106","2","1742","台蠟","497879.00","381565.00","879444.00","260374.00","53932.00","314306.00","722406.00","4530.00","-168185.00","6387.00","--","565138.00","--","--","--","565138.00","0.00","0.00","0.00","7.82"
"114/11/30","106","2","1777","生泰","773374.00","668046.00","1441420.00","420843.00","62588.00","483431.00","300595.00","314322.00","343734.00","-662.00","--","--","--","--","--","957989.00","0.00","0.00","0.00","31.87"
"114/11/30","106","2","1781","合世","336209.00","244139.00","580348.00","164066.00","977.00","165043.00","474076.00","0.00","-51101.00","-7670.00","--","415305.00","--","--","--","415305.00","0.00","0.00","0.00","8.76"
"114/11/30","106","2","1784","訊聯","799696.00","1019099.00","1818795.00","144531.00","301385.00","445916.00","496889.00","623541.00","7834.00","-6220.00","-1797.00","1120247.00","--","--","252632.00","1372879.00","0.00","0.00","62000.00","22.57"
