出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","3","5864","致和證","3392177.00","1550882.00","4943059.00","1813789.00","37368.00","1851157.00","2122835.00","123904.00","925514.00","-80351.00","--","--","--","--","3091902.00","0.00","0.00","0.00","14.56"
"114/11/30","106","3","6015","宏遠證","9930954.00","750752.00","10681706.00","6240726.00","8314.00","6249040.00","3700008.00","239580.00","453956.00","51316.00","-12194.00","4432666.00","--","--","4432666.00","0.00","0.00","1768000.00","12.04"
"114/11/30","106","3","6016","康和證","25762056.00","2958361.00","28720417.00","21080763.00","263361.00","21344124.00","6333368.00","191918.00","1130047.00","-34260.00","-289762.00","7331311.00","--","--","7376293.00","0.00","0.00","38000000.00","12.31"
"114/11/30","106","3","6020","大展證","4189998.00","687527.00","4877525.00","1001663.00","8329.00","1009992.00","2523532.00","461.00","1343054.00","0.00","--","3867047.00","--","--","3867533.00","0.00","0.00","0.00","15.32"
"114/11/30","106","3","6021","美好證","7029746.00","1432120.00","8461866.00","3852212.00","51010.00","3903222.00","3067559.00","12157.00","1457512.00","21416.00","--","4558644.00","--","--","4558644.00","0.00","0.00","0.00","14.86"
"114/11/30","106","3","6023","元大期貨","55564986.00","2586432.00","58151418.00","50841577.00","68363.00","50909940.00","2322763.00","940976.00","3032029.00","945710.00","--","7241478.00","--","--","7241478.00","0.00","0.00","0.00","31.18"
"114/11/30","106","3","6026","福邦證","4142933.00","677893.00","4820826.00","1384434.00","235.00","1384669.00","2417000.00","18002.00","608382.00","85.00","0.00","3043469.00","0.00","--","3436157.00","0.00","0.00","0.00","12.59"
