出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","1","1101","台泥","76640360.00","182905418.00","259545778.00","55787736.00","56209721.00","111997457.00","36921759.00","13534162.00","48169768.00","9135908.00","--","107761597.00","--","--","39786724.00","147548321.00","--","0.00","0.00","29.19"
"114/11/30","106","1","1102","亞泥","44074607.00","198481250.00","242555857.00","49363721.00","54818688.00","104182409.00","33614472.00","1167882.00","91831621.00","-5393600.00","--","121220375.00","0.00","--","17153073.00","138373448.00","--","0.00","0.00","36.06"
"114/11/30","106","1","1103","嘉泥","8299482.00","17456338.00","25755820.00","1534639.00","7487697.00","9022336.00","7747805.00","617579.00","8224103.00","-454395.00","-1149426.00","14985666.00","--","--","1747818.00","16733484.00","--","0.00","131226000.00","23.29"
"114/11/30","106","1","1104","環泥","3710344.00","16609903.00","20320247.00","2573433.00","1349611.00","3923044.00","6345720.00","47112.00","9933913.00","-56440.00","--","16270305.00","--","--","126898.00","16397203.00","--","0.00","0.00","25.64"
"114/11/30","106","1","1108","幸福","5288809.00","2315224.00","7604033.00","2230857.00","565313.00","2796170.00","4047380.00","8.00","715673.00","14786.00","0.00","4777847.00","--","--","30016.00","4807863.00","--","0.00","0.00","11.80"
"114/11/30","106","1","1109","信大","2576155.00","5698234.00","8274389.00","1061584.00","937209.00","1998793.00","3789007.00","22299.00","1601275.00","-35390.00","0.00","5377191.00","--","--","898405.00","6275596.00","0.00","0.00","0.00","14.19"
"114/11/30","106","1","1110","東泥","1945925.00","7368546.00","9314471.00","264311.00","314845.00","579156.00","5720008.00","185044.00","2032478.00","678637.00","-12185.00","8603982.00","--","--","131333.00","8735315.00","--","0.00","2112865.00","15.10"
"114/11/30","106","1","1201","味全","19955974.00","13824032.00","33780006.00","19170412.00","7541172.00","26711584.00","5060629.00","688.00","-316269.00","-222732.00","--","4522316.00","--","--","2546106.00","7068422.00","0.00","0.00","0.00","8.94"
"114/11/30","106","1","1203","味王","3886358.00","4763423.00","8649781.00","1699079.00","1588555.00","3287634.00","2400000.00","112965.00","1904894.00","26663.00","-38464.00","4406058.00","--","--","956089.00","5362147.00","0.00","0.00","2293865.00","18.54"
"114/11/30","106","1","1210","大成","20184033.00","17803871.00","37987904.00","15883874.00","1706911.00","17590785.00","7363944.00","2471529.00","4888564.00","657728.00","-306199.00","15075566.00","--","--","5321553.00","20397119.00","--","0.00","52894691.00","22.06"
"114/11/30","106","1","1213","大飲","382554.00","448801.00","831355.00","100139.00","31801.00","131940.00","566226.00","21938.00","111374.00","-123.00","--","699415.00","--","--","--","699415.00","0.00","0.00","0.00","12.35"
"114/11/30","106","1","1215","卜蜂","4905028.00","6592140.00","11497168.00","3594768.00","994399.00","4589167.00","2679910.00","967.00","2633857.00","1337076.00","--","6651810.00","--","--","256191.00","6908001.00","0.00","0.00","0.00","24.82"
"114/11/30","106","1","1216","統一","121662493.00","232301580.00","353964073.00","127952285.00","71354961.00","199307246.00","56820154.00","3901709.00","39977343.00","-5004944.00","--","95694262.00","--","--","58962565.00","154656827.00","0.00","0.00","0.00","16.84"
"114/11/30","106","1","1217","愛之味","1969735.00","9532264.00","11501999.00","2805411.00","2741198.00","5546609.00","4945134.00","256837.00","290166.00","-228812.00","0.00","5263325.00","--","--","692065.00","5955390.00","0.00","0.00","0.00","10.64"
"114/11/30","106","1","1218","泰山","2517376.00","4742760.00","7260136.00","1921385.00","1854549.00","3775934.00","3533360.00","23770.00","150756.00","-25355.00","-203876.00","3478655.00","--","--","5547.00","3484202.00","0.00","0.00","13680042.00","10.24"
"114/11/30","106","1","1219","福壽","3978422.00","4130628.00","8109050.00","2130445.00","2103450.00","4233895.00","3188256.00","32946.00","671309.00","-4961.00","--","3887550.00","--","--","-12395.00","3875155.00","0.00","0.00","0.00","12.19"
