出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","3","2880","華南金","43130299.00","168689659.00","77760131.00","149003781.00","230.00","379749.00","50909728.00","522491.00","0.00","1590333509.00","4254468.00","390729671.00","56308.00","--","44023159.00","9463885.00","32528309.00","534038.00","2247916.00","5705769.00","2570273100.00","104454897.00","--","10163847.00","5996.00","41516210.00","26603468.00","72358888.00","933991.00","--","2059173790.00","53448013.00","956200.00","--","18232669.00","7383223.00","6103168.00","6566011.00","2407900371.00","110465199.00","17758986.00","33604905.00","542080.00","--","--","162371170.00","1559.00","162372729.00","--","0.00","0.00","14.70"
"114/11/30","106","3","2881","富邦金","158767975.00","205213069.00","138265225.00","1721897723.00","1810465.00","83459606.00","151899943.00","1978965.00","4736266.00","1686688344.00","22371726.00","452055413.00","23834907.00","--","1739802060.00","176374844.00","57894340.00","28254600.00","13083159.00","59629026.00","6728017656.00","118781187.00","5146730.00","51027153.00","3321448.00","152228667.00","18904484.00","104846741.00","11741440.00","--","2191131640.00","183781592.00","3297926.00","--","3178322697.00","189746291.00","10988816.00","32925044.00","6256191856.00","108336040.00","103638570.00","261344355.00","-1863435.00","--","--","471455530.00","370270.00","471825800.00","0.00","0.00","0.00","43.52"
"114/11/30","106","3","2882","國泰金","351613826.00","83013476.00","363338182.00","1590466228.00","268938.00","82057127.00","151642224.00","4257876.00","--","2082515792.00","7648254.00","91264880.00","35783164.00","--","3259309619.00","317230408.00","165324422.00","56577627.00","28642623.00","51654132.00","8722608798.00","92450905.00","--","91877061.00","--","101911686.00","51417901.00","97233634.00","10499909.00","--","2059148915.00","98350000.00","456639.00","--","4857962293.00","614416562.00","33289151.00","19883903.00","8128898559.00","133965102.00","130452105.00","275380902.00","44240253.00","0.00","0.00","584038362.00","9671877.00","593710239.00","0.00","0.00","0.00","43.60"
"114/11/30","106","3","2883","凱基金","46078141.00","31743330.00","127147740.00","543656220.00","--","49814511.00","112606455.00","992407.00","--","324255959.00","427116.00","180846786.00","15599729.00","31587678.00","770932896.00","25685511.00","23492315.00","36523298.00","8875487.00","35154144.00","2365419723.00","31705437.00","--","57316965.00","--","109287228.00","19849922.00","89534835.00","5285880.00","--","351671796.00","32737989.00","25454266.00","--","1252492736.00","123111745.00","3331685.00","25523867.00","2127304351.00","149763034.00","1170689.00","18273570.00","-2880748.00","-4211305.00","--","162115240.00","76000132.00","238115372.00","--","560536.00","519861842.00","11.21"
"114/11/30","106","3","2884","玉山金","47710894.00","80922381.00","408167915.00","149206654.00","--","0.00","92277269.00","10378.00","--","1201527936.00","--","3102914.00","--","--","13178238.00","1967970.00","27702474.00","6188298.00","673936.00","4979612.00","2037616869.00","77057088.00","--","39374762.00","--","11851796.00","4537955.00","25173057.00","1336060.00","--","1676526024.00","42550000.00","2849482.00","--","444648.00","6836470.00","944881.00","2269586.00","1891751809.00","101855000.00","24529129.00","18867131.00","509703.00","--","--","145760963.00","104097.00","145865060.00","--","0.00","0.00","14.31"
"114/11/30","106","3","2885","元大金","60216338.00","55289105.00","407924286.00","365672645.00","--","36102296.00","168753536.00","1873534.00","35451.00","790742715.00","545612.00","126058241.00","1819942.00","3508592.00","102704120.00","6101113.00","22535560.00","36128442.00","4427062.00","45045333.00","2235483923.00","23684224.00","--","124196269.00","0.00","167290510.00","39098413.00","162926002.00","4909951.00","--","1067091414.00","68648145.00","66336266.00","3972208.00","180765588.00","69604910.00","2630437.00","29453510.00","2010607847.00","119986478.00","38158922.00","47763635.00","4818263.00","-1489119.00","--","209238179.00","15637897.00","224876076.00","0.00","0.00","125071297.00","17.62"
"114/11/30","106","3","2886","兆豐金","107556526.00","680970211.00","181252355.00","440741382.00","--","1997420.00","86634254.00","388817.00","--","1686191079.00","3957742.00","304661017.00","3128790.00","--","14362159.00","1701562.00","21884697.00","374882.00","5835815.00","3445656.00","3545084364.00","457600896.00","35363814.00","10488584.00","--","217035151.00","21538989.00","69873575.00","6864666.00","--","2338693509.00","41958415.00","1448472.00","--","24536306.00","11880025.00","2319185.00","8788711.00","3248390298.00","135998240.00","68194233.00","92818893.00","-358810.00","0.00","--","296652556.00","41510.00","296694066.00","--","0.00","0.00","21.81"
"114/11/30","106","3","2887","台新新光金","21370160.00","53681351.00","100277714.00","300600388.00","--","5094067.00","137525716.00","484112.00","--","955148074.00","--","6095.00","38081246.00","--","13552642.00","746717.00","19002884.00","2202392.00","3046097.00","9886768.00","1660706423.00","61657997.00","--","18899742.00","--","88802244.00","15382978.00","32341823.00","1778323.00","--","1172025216.00","61700000.00","9553186.00","--","1236224.00","40562588.00","56194.00","3853879.00","1507850394.00","107739979.00","26456744.00","18671229.00","-145342.00","--","--","152722610.00","133419.00","152856029.00","--","1740000.00","0.00","14.17"
"114/11/30","106","3","2889","國票金","2262483.00","90.00","110540172.00","104953487.00","--","464966.00","19799552.00","488592.00","--","--","--","0.00","1658388.00","--","6393340.00","--","1856237.00","364649.00","117493.00","1148172.00","250047621.00","--","35375815.00","787506.00","--","154944787.00","9945064.00","8149569.00","200048.00","--","--","--","--","--","1350906.00","2728931.00","31860.00","466225.00","213980711.00","27866659.00","122240.00","3352587.00","619767.00","-158123.00","--","31803130.00","4263780.00","36066910.00","0.00","0.00","20000000.00","11.50"
"114/11/30","106","3","2890","永豐金","26134668.00","91786055.00","126713517.00","252405791.00","--","18572331.00","85059310.00","319905.00","--","886869396.00","--","59826321.00","363615.00","--","35348215.00","2643562.00","12371589.00","2500914.00","2163358.00","23541834.00","1626620381.00","31626425.00","--","22909753.00","0.00","70657793.00","45601688.00","41187792.00","824248.00","--","1165206608.00","45568658.00","19664091.00","18437.00","3007983.00","29392215.00","1272951.00","12970338.00","1489908980.00","110500530.00","2228771.00","23449000.00","529604.00","--","--","136707905.00","3496.00","136711401.00","--","0.00","0.00","12.37"
