出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","1","1259","安心","2185174.00","481488.00","2666662.00","902884.00","30084.00","932968.00","323895.00","809816.00","594791.00","-6996.00","-10123.00","1711383.00","--","--","22311.00","1733694.00","0.00","0.00","117000.00","53.03"
"114/11/30","106","1","1264","德麥","2122599.00","841072.00","2963671.00","415356.00","64700.00","480056.00","306327.00","737569.00","1138332.00","-42280.00","--","2139948.00","--","--","343667.00","2483615.00","0.00","0.00","0.00","69.86"
"114/11/30","106","1","1268","漢來美食","1511329.00","1025408.00","2536737.00","1141168.00","98713.00","1239881.00","336000.00","505536.00","483810.00","-28490.00","--","1296856.00","--","--","--","1296856.00","--","0.00","0.00","38.60"
"114/11/30","106","1","1336","台翰","989441.00","1212468.00","2201909.00","953197.00","106042.00","1059239.00","627532.00","670434.00","-72379.00","-82917.00","--","1142670.00","--","--","--","1142670.00","--","0.00","0.00","18.21"
"114/11/30","106","1","1565","精華","4895641.00","2403475.00","7299116.00","1390932.00","493399.00","1884331.00","504165.00","526000.00","4385001.00","-381.00","--","5414785.00","--","--","--","5414785.00","0.00","0.00","0.00","107.40"
"114/11/30","106","1","1569","濱川","2371920.00","2141033.00","4512953.00","1740791.00","654820.00","2395611.00","1002267.00","760182.00","443305.00","-171536.00","--","2034218.00","--","--","83124.00","2117342.00","0.00","49107.00","0.00","20.30"
"114/11/30","106","1","1570","力肯","624961.00","244889.00","869850.00","207911.00","10310.00","218221.00","515008.00","0.00","139574.00","-2953.00","0.00","651629.00","--","--","0.00","651629.00","0.00","0.00","0.00","12.65"
"114/11/30","106","1","1580","新麥","2024232.00","868108.00","2892340.00","754574.00","207909.00","962483.00","485316.00","74943.00","1462623.00","-145725.00","--","1877157.00","--","--","52700.00","1929857.00","0.00","0.00","0.00","38.68"
"114/11/30","106","1","1584","精剛","867820.00","1539517.00","2407337.00","599848.00","731892.00","1331740.00","824705.00","286750.00","-12704.00","-66815.00","--","1031936.00","--","--","43661.00","1075597.00","--","0.00","0.00","12.51"
"114/11/30","106","1","1586","和勤","1631292.00","1051612.00","2682904.00","1276980.00","112041.00","1389021.00","701601.00","424305.00","263708.00","-95731.00","0.00","1293883.00","--","--","--","1293883.00","--","0.00","0.00","18.60"
"114/11/30","106","1","1591","駿吉-KY","215453.00","357839.00","573292.00","151252.00","67907.00","219159.00","301498.00","22159.00","178675.00","-148199.00","--","354133.00","--","--","--","354133.00","0.00","0.00","0.00","11.75"
"114/11/30","106","1","1593","祺驊","655944.00","343409.00","999353.00","205463.00","7626.00","213089.00","303006.00","277906.00","240080.00","-38123.00","0.00","782869.00","--","--","3395.00","786264.00","0.00","0.00","0.00","25.84"
"114/11/30","106","1","1595","川寶","1851757.00","705544.00","2557301.00","722947.00","22590.00","745537.00","406218.00","253563.00","1161200.00","-9217.00","--","1811764.00","--","--","--","1811764.00","--","0.00","0.00","44.60"
"114/11/30","106","1","1599","宏佳騰","1188924.00","717631.00","1906555.00","461458.00","28898.00","490356.00","517276.00","487161.00","490973.00","-61871.00","-17340.00","1416199.00","--","--","--","1416199.00","0.00","0.00","353000.00","27.57"
"114/11/30","106","1","1742","台蠟","425876.00","382802.00","808678.00","189727.00","54099.00","243826.00","722406.00","4530.00","-168517.00","6433.00","--","564852.00","--","--","--","564852.00","0.00","0.00","0.00","7.82"
"114/11/30","106","1","1777","生泰","705610.00","626828.00","1332438.00","239645.00","62573.00","302218.00","300595.00","314322.00","415965.00","-662.00","--","--","--","--","--","1030220.00","0.00","0.00","0.00","34.27"
"114/11/30","106","1","1781","合世","351993.00","246523.00","598516.00","170851.00","970.00","171821.00","474076.00","66311.00","-102637.00","-11055.00","--","426695.00","--","--","--","426695.00","0.00","0.00","0.00","9.00"
"114/11/30","106","1","1784","訊聯","821386.00","1012585.00","1833971.00","144039.00","308594.00","452633.00","496889.00","625411.00","12054.00","-6227.00","-1797.00","1126330.00","--","--","255008.00","1381338.00","0.00","0.00","62000.00","22.70"
"114/11/30","106","1","1785","光洋科","8922999.00","9220156.00","18143155.00","4524829.00","9703076.00","14227905.00","4055323.00","499450.00","-489547.00","-96685.00","-222557.00","3745984.00","--","--","169266.00","3915250.00","--","0.00","10139000.00","9.47"
"114/11/30","106","1","1788","杏昌","1884640.00","533528.00","2418168.00","791887.00","13407.00","805294.00","350000.00","658219.00","606280.00","-3672.00","--","1610827.00","--","--","2047.00","1612874.00","0.00","0.00","0.00","46.02"
