出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","3","1101","台泥","85320202.00","184137694.00","269457896.00","65268003.00","51223324.00","116491327.00","36921759.00","13535897.00","46932681.00","14831885.00","--","112222222.00","--","--","40744347.00","152966569.00","--","0.00","0.00","30.39"
"114/11/30","106","3","1102","亞泥","47911706.00","198340284.00","246251990.00","53007414.00","49216659.00","102224073.00","33614472.00","1168417.00","92335392.00","-835250.00","--","126283031.00","--","--","17744886.00","144027917.00","--","0.00","0.00","37.57"
"114/11/30","106","3","1103","嘉泥","8486539.00","19120776.00","27607315.00","1866524.00","6950994.00","8817518.00","7747805.00","641493.00","8137413.00","1569841.00","-1149426.00","16947126.00","--","--","1842671.00","18789797.00","--","0.00","131226016.00","26.33"
"114/11/30","106","3","1104","環泥","3726077.00","16717571.00","20443648.00","2831441.00","1350157.00","4181598.00","6536092.00","46951.00","9722203.00","-165478.00","--","16139768.00","--","--","122282.00","16262050.00","--","0.00","0.00","24.69"
"114/11/30","106","3","1108","幸福","5086181.00","2188185.00","7274366.00","2005914.00","712390.00","2718304.00","4047380.00","8.00","476063.00","5571.00","0.00","4529022.00","--","--","27040.00","4556062.00","0.00","0.00","0.00","11.19"
"114/11/30","106","3","1109","信大","2841309.00","5666888.00","8508197.00","1226137.00","828048.00","2054185.00","3599557.00","22379.00","1800090.00","10814.00","0.00","5432840.00","--","--","1021172.00","6454012.00","0.00","0.00","0.00","15.09"
"114/11/30","106","3","1110","東泥","1931616.00","7326021.00","9257637.00","394878.00","316710.00","711588.00","5720008.00","188001.00","1957351.00","652106.00","-12185.00","8505281.00","--","--","40768.00","8546049.00","--","0.00","2112865.00","14.92"
"114/11/30","106","3","1201","味全","20365873.00","14016569.00","34382442.00","19866400.00","7356498.00","27222898.00","5060629.00","688.00","-276833.00","-121228.00","--","4663256.00","--","--","2496288.00","7159544.00","0.00","0.00","0.00","9.21"
"114/11/30","106","3","1203","味王","4293561.00","4726846.00","9020407.00","1979971.00","1595492.00","3575463.00","2400000.00","112965.00","1930464.00","60478.00","-38464.00","4465443.00","--","--","979501.00","5444944.00","0.00","0.00","2293865.00","18.79"
"114/11/30","106","3","1210","大成","19531764.00","19131037.00","38662801.00","15844994.00","1997431.00","17842425.00","7363944.00","2551069.00","4814566.00","860944.00","-306199.00","15284324.00","--","--","5536052.00","20820376.00","--","0.00","52894691.00","22.36"
"114/11/30","106","3","1213","大飲","477907.00","447012.00","924919.00","187395.00","31770.00","219165.00","566226.00","21938.00","117784.00","-194.00","--","705754.00","--","--","--","705754.00","0.00","0.00","0.00","12.46"
"114/11/30","106","3","1215","卜蜂","4843615.00","8413549.00","13257164.00","5170705.00","1324543.00","6495248.00","2679910.00","967.00","2463466.00","1348556.00","--","6492899.00","--","--","269017.00","6761916.00","0.00","0.00","0.00","24.23"
"114/11/30","106","3","1216","統一","130475488.00","229307555.00","359783043.00","133448472.00","71489197.00","204937669.00","56820154.00","3917586.00","38463817.00","-3336143.00","--","95865414.00","--","--","58979960.00","154845374.00","0.00","0.00","0.00","16.87"
"114/11/30","106","3","1217","愛之味","2433245.00","10161419.00","12594664.00","3595121.00","2980897.00","6576018.00","4945134.00","257074.00","316981.00","-199464.00","0.00","5319725.00","--","--","698921.00","6018646.00","0.00","0.00","0.00","10.76"
"114/11/30","106","3","1218","泰山","3157140.00","4599326.00","7756466.00","2021295.00","1968984.00","3990279.00","3533360.00","23770.00","449935.00","-42236.00","-203876.00","3760953.00","--","--","5234.00","3766187.00","0.00","0.00","13680042.00","11.07"
"114/11/30","106","3","1219","福壽","4035944.00","4249344.00","8285288.00","2233022.00","2183659.00","4416681.00","3220139.00","32946.00","567504.00","-3002.00","--","3817587.00","--","--","51020.00","3868607.00","0.00","0.00","0.00","11.86"
"114/11/30","106","3","1220","台榮","1866117.00","1059214.00","2925331.00","358059.00","203153.00","561212.00","1770779.00","1413.00","477277.00","-51649.00","0.00","2197820.00","--","--","166299.00","2364119.00","--","0.00","0.00","12.41"
"114/11/30","106","3","1225","福懋油","3952887.00","2537889.00","6490776.00","1986576.00","886537.00","2873113.00","2187030.00","121015.00","939483.00","-55378.00","--","3192150.00","--","--","425513.00","3617663.00","--","0.00","0.00","14.60"
"114/11/30","106","3","1227","佳格","13720500.00","7227276.00","20947776.00","6114406.00","464977.00","6579383.00","9150897.00","83769.00","5196082.00","-268296.00","-21182.00","14141270.00","--","--","227123.00","14368393.00","0.00","0.00","6669471.00","15.57"
"114/11/30","106","3","1229","聯華","2447249.00","25637333.00","28084582.00","2864077.00","1172246.00","4036323.00","9564847.00","753524.00","9906399.00","3759915.00","-2393.00","23982292.00","--","--","65967.00","24048259.00","--","0.00","105000.00","25.08"
"114/11/30","106","3","1231","聯華食","3192612.00","3347634.00","6540246.00","2030566.00","1483917.00","3514483.00","1598858.00","72657.00","1319653.00","17213.00","--","3008381.00","--","--","17382.00","3025763.00","--","0.00","0.00","18.82"
"114/11/30","106","3","1232","大統益","4282540.00","619913.00","4902453.00","1221711.00","64732.00","1286443.00","1599749.00","23784.00","1942214.00","--","--","3565747.00","--","--","50263.00","3616010.00","0.00","0.00","0.00","22.29"
"114/11/30","106","3","1233","天仁","770789.00","1166423.00","1937212.00","421723.00","119695.00","541418.00","905919.00","45204.00","520796.00","-77653.00","-2754.00","1391512.00","--","--","4282.00","1395794.00","0.00","0.00","60000.00","15.37"
"114/11/30","106","3","1234","黑松","8025553.00","15368183.00","23393736.00","3545945.00","2358092.00","5904037.00","4018711.00","184583.00","13276587.00","9818.00","0.00","17489699.00","--","--","0.00","17489699.00","--","0.00","0.00","43.52"
"114/11/30","106","3","1235","興泰","4044816.00","1514506.00","5559322.00","1463162.00","55007.00","1518169.00","606623.00","41515.00","764223.00","2638341.00","-9953.00","4040749.00","--","--","404.00","4041153.00","--","0.00","1978138.00","68.86"
"114/11/30","106","3","1236","宏亞","712111.00","2179053.00","2891164.00","383458.00","770039.00","1153497.00","1083425.00","33396.00","368698.00","252148.00","0.00","1737667.00","--","--","0.00","1737667.00","0.00","0.00","0.00","16.04"
"114/11/30","106","3","1256","鮮活果汁-KY","1945258.00","743007.00","2688265.00","1102755.00","122933.00","1225688.00","307656.00","461485.00","765368.00","-76448.00","--","1458061.00","--","--","4516.00","1462577.00","--","0.00","0.00","47.39"
"114/11/30","106","3","1301","台塑","182118678.00","286153876.00","468272554.00","69223024.00","63397525.00","132620549.00","63657408.00","11428922.00","169896569.00","90669106.00","--","335652005.00","--","--","--","335652005.00","0.00","0.00","0.00","52.73"
"114/11/30","106","3","1303","南亞","199341298.00","324691413.00","524032711.00","69613489.00","102264967.00","171878456.00","79308216.00","25051425.00","192167375.00","43940303.00","--","340467319.00","--","--","11686936.00","352154255.00","0.00","0.00","0.00","42.93"
"114/11/30","106","3","1304","台聚","29538148.00","33780599.00","63318747.00","14267065.00","14805485.00","29072550.00","11654544.00","234752.00","6531592.00","3032.00","-475606.00","17948314.00","--","--","16297883.00","34246197.00","--","0.00","114181936.00","17.07"
"114/11/30","106","3","1305","華夏","5584489.00","6566272.00","12150761.00","1639416.00","2690153.00","4329569.00","4919996.00","8218.00","2499180.00","21699.00","--","7449093.00","0.00","--","372099.00","7821192.00","0.00","0.00","0.00","15.14"
"114/11/30","106","3","1307","三芳","8751284.00","6331091.00","15082375.00","4150614.00","2555886.00","6706500.00","3978181.00","139055.00","4378312.00","-119673.00","--","8375875.00","--","--","--","8375875.00","--","0.00","0.00","21.05"
